date,region,count
2021-02-23,NPTS,<20
2021-02-23,QC,<20
2021-02-24,MB,<20
2021-02-24,NPTS,<20
2021-02-24,QC,<20
2021-02-25,MB,<20
2021-02-25,NPTS,<20
2021-02-25,NT,<20
2021-02-25,QC,<20
2021-02-26,MB,<20
2021-02-26,NPTS,<20
2021-02-26,NT,<20
2021-02-26,ON,<20
2021-02-26,QC,<20
2021-02-27,MB,<20
2021-02-27,NPTS,<20
2021-02-27,NT,<20
2021-02-27,ON,<20
2021-02-27,QC,<20
2021-02-28,MB,<20
2021-02-28,NPTS,<20
2021-02-28,NT,<20
2021-02-28,ON,<20
2021-02-28,QC,<20
2021-03-01,MB,<20
2021-03-01,NPTS,<20
2021-03-01,NT,<20
2021-03-01,ON,<20
2021-03-01,QC,<20
2021-03-02,NPTS,<20
2021-03-02,NT,<20
2021-03-02,ON,<20
2021-03-02,QC,<20
2021-03-03,NPTS,<20
2021-03-03,NT,<20
2021-03-03,ON,<20
2021-03-03,QC,<20
2021-03-04,NPTS,<20
2021-03-04,ON,<20
2021-03-05,MB,<20
2021-03-05,NPTS,<20
2021-03-05,NT,<20
2021-03-05,ON,<20
2021-03-06,NT,<20
2021-03-06,ON,<20
2021-03-06,QC,<20
2021-03-07,NT,<20
2021-03-07,ON,<20
2021-03-07,QC,<20
2021-03-08,NT,<20
2021-03-08,ON,<20
2021-03-08,QC,<20
2021-03-09,NPTS,<20
2021-03-09,ON,<20
2021-03-10,NPTS,<20
2021-03-10,ON,<20
2021-03-11,NPTS,<20
2021-03-11,ON,<20
2021-03-12,NPTS,<20
2021-03-12,ON,<20
2021-03-13,ON,<20
2021-03-13,QC,<20
2021-03-14,NS,<20
2021-03-14,ON,<20
2021-03-14,QC,<20
2021-03-15,NPTS,<20
2021-03-15,NS,<20
2021-03-15,ON,<20
2021-03-15,QC,<20
2021-03-16,NPTS,31
2021-03-16,NS,<20
2021-03-16,ON,<20
2021-03-16,QC,<20
2021-03-17,NPTS,26
2021-03-17,NS,<20
2021-03-17,ON,<20
2021-03-17,QC,<20
2021-03-18,MB,<20
2021-03-18,NPTS,<20
2021-03-18,NS,<20
2021-03-18,ON,<20
2021-03-18,QC,<20
2021-03-19,NPTS,<20
2021-03-19,NS,<20
2021-03-19,ON,<20
