date,region,appos,count
2021-02-28,MB,ios,<20
2021-02-28,NPTS,android,<20
2021-02-28,NPTS,ios,<20
2021-02-28,NT,ios,<20
2021-02-28,ON,android,<20
2021-02-28,ON,ios,<20
2021-02-28,QC,android,<20
2021-02-28,QC,ios,<20
2021-03-07,MB,ios,<20
2021-03-07,NPTS,android,<20
2021-03-07,NPTS,ios,<20
2021-03-07,NT,ios,<20
2021-03-07,ON,android,<20
2021-03-07,ON,ios,<20
2021-03-07,QC,ios,<20
2021-03-14,NPTS,android,<20
2021-03-14,NPTS,ios,<20
2021-03-14,NS,ios,<20
2021-03-14,NT,ios,<20
2021-03-14,ON,android,<20
2021-03-14,ON,ios,<20
2021-03-14,QC,ios,<20
2021-03-21,MB,android,<20
2021-03-21,NPTS,android,94
2021-03-21,NS,ios,<20
2021-03-21,ON,android,29
2021-03-21,QC,android,<20
