date,count
2021-02-24,<20
2021-02-25,27
2021-02-26,15413
2021-02-27,1562671
2021-02-28,2494999
2021-03-01,2780902
2021-03-02,2869891
2021-03-03,2928131
2021-03-04,2963492
2021-03-05,2988179
2021-03-06,3007148
2021-03-07,3023935
2021-03-08,3048049
2021-03-09,3064227
2021-03-10,3078624
2021-03-11,3088017
2021-03-12,3097320
2021-03-13,3092604
2021-03-14,3093936
2021-03-15,3105011
2021-03-16,3111084
2021-03-17,3118007
2021-03-18,3122400
2021-03-19,3124549
2021-03-20,3117559
2021-03-21,3116016
2021-03-22,3129016
2021-03-23,3139256
2021-03-24,3144301
2021-03-25,3156305
2021-03-26,3159942
2021-03-27,3151772
2021-03-28,3145994
