date,region,appos,count
2021-02-24,AB,android,<20
2021-02-24,AB,ios,<20
2021-02-24,BC,android,<20
2021-02-24,BC,ios,<20
2021-02-24,MB,android,<20
2021-02-24,MB,ios,<20
2021-02-24,NB,android,<20
2021-02-24,NB,ios,<20
2021-02-24,NL,android,<20
2021-02-24,NL,ios,<20
2021-02-24,NT,android,<20
2021-02-24,NT,ios,<20
2021-02-24,NS,android,<20
2021-02-24,NS,ios,<20
2021-02-24,NU,android,<20
2021-02-24,NU,ios,<20
2021-02-24,ON,android,<20
2021-02-24,ON,ios,<20
2021-02-24,PE,android,<20
2021-02-24,PE,ios,<20
2021-02-24,QC,android,<20
2021-02-24,QC,ios,<20
2021-02-24,SK,android,<20
2021-02-24,SK,ios,<20
2021-02-24,YT,android,<20
2021-02-24,YT,ios,<20
2021-02-24,NPTS,android,<20
2021-02-24,NPTS,ios,<20
2021-02-25,AB,android,<20
2021-02-25,AB,ios,<20
2021-02-25,BC,android,<20
2021-02-25,BC,ios,<20
2021-02-25,MB,android,<20
2021-02-25,MB,ios,<20
2021-02-25,NB,android,<20
2021-02-25,NB,ios,<20
2021-02-25,NL,android,<20
2021-02-25,NL,ios,<20
2021-02-25,NT,android,<20
2021-02-25,NT,ios,<20
2021-02-25,NS,android,<20
2021-02-25,NS,ios,<20
2021-02-25,NU,android,<20
2021-02-25,NU,ios,<20
2021-02-25,ON,android,<20
2021-02-25,ON,ios,<20
2021-02-25,PE,android,<20
2021-02-25,PE,ios,<20
2021-02-25,QC,android,<20
2021-02-25,QC,ios,<20
2021-02-25,SK,android,<20
2021-02-25,SK,ios,<20
2021-02-25,YT,android,<20
2021-02-25,YT,ios,<20
2021-02-25,NPTS,android,<20
2021-02-25,NPTS,ios,<20
2021-02-26,AB,android,53
2021-02-26,AB,ios,596
2021-02-26,BC,android,81
2021-02-26,BC,ios,1112
2021-02-26,MB,android,44
2021-02-26,MB,ios,543
2021-02-26,NB,android,43
2021-02-26,NB,ios,238
2021-02-26,NL,android,50
2021-02-26,NL,ios,227
2021-02-26,NT,android,<20
2021-02-26,NT,ios,<20
2021-02-26,NS,android,65
2021-02-26,NS,ios,425
2021-02-26,NU,android,<20
2021-02-26,NU,ios,<20
2021-02-26,ON,android,922
2021-02-26,ON,ios,6369
2021-02-26,PE,android,<20
2021-02-26,PE,ios,61
2021-02-26,QC,android,484
2021-02-26,QC,ios,2656
2021-02-26,SK,android,33
2021-02-26,SK,ios,297
2021-02-26,YT,android,<20
2021-02-26,YT,ios,<20
2021-02-26,NPTS,android,67
2021-02-26,NPTS,ios,1010
2021-02-27,AB,android,5501
2021-02-27,AB,ios,44807
2021-02-27,BC,android,11220
2021-02-27,BC,ios,90590
2021-02-27,MB,android,8329
2021-02-27,MB,ios,56784
2021-02-27,NB,android,7453
2021-02-27,NB,ios,31744
2021-02-27,NL,android,9593
2021-02-27,NL,ios,48883
2021-02-27,NT,android,180
2021-02-27,NT,ios,1014
2021-02-27,NS,android,9836
2021-02-27,NS,ios,46459
2021-02-27,NU,android,55
2021-02-27,NU,ios,222
2021-02-27,ON,android,123110
2021-02-27,ON,ios,568236
2021-02-27,PE,android,1513
2021-02-27,PE,ios,7355
2021-02-27,QC,android,65600
