date,appos,appversion,count
2021-02-25,android,235,<20
2021-02-25,android,239,<20
2021-02-25,android,241,<20
2021-02-25,android,244,<20
2021-02-25,ios,238,<20
2021-02-25,ios,239,<20
2021-02-25,ios,241,<20
2021-02-25,ios,244,<20
2021-02-26,android,235,<20
2021-02-26,android,239,<20
2021-02-26,android,241,<20
2021-02-26,android,246,1830
2021-02-26,android,248,22
2021-02-26,android,252,<20
2021-02-26,ios,238,<20
2021-02-26,ios,239,<20
2021-02-26,ios,241,<20
2021-02-26,ios,244,<20
2021-02-26,ios,246,13539
2021-02-26,ios,248,<20
2021-02-27,android,235,<20
2021-02-27,android,241,<20
2021-02-27,android,246,255296
2021-02-27,android,248,2205
2021-02-27,android,252,294
2021-02-27,android,267,<20
2021-02-27,ios,238,<20
2021-02-27,ios,241,<20
2021-02-27,ios,246,1304161
2021-02-27,ios,248,638
2021-02-27,ios,252,40
2021-02-28,android,235,<20
2021-02-28,android,241,<20
2021-02-28,android,246,467222
2021-02-28,android,248,4859
2021-02-28,android,252,582
2021-02-28,android,267,<20
2021-02-28,ios,238,<20
2021-02-28,ios,241,<20
2021-02-28,ios,246,2014639
2021-02-28,ios,248,7570
2021-02-28,ios,252,79
2021-02-28,ios,267,<20
2021-03-01,android,235,<20
2021-03-01,android,241,<20
2021-03-01,android,246,546740
2021-03-01,android,248,6987
2021-03-01,android,252,694
2021-03-01,android,267,21
2021-03-01,ios,238,<20
2021-03-01,ios,241,<20
2021-03-01,ios,246,2213458
2021-03-01,ios,248,12833
2021-03-01,ios,252,130
2021-03-01,ios,267,<20
2021-03-02,android,246,586016
2021-03-02,android,248,9177
2021-03-02,android,252,878
2021-03-02,android,267,<20
2021-03-02,ios,241,<20
2021-03-02,ios,246,2257382
2021-03-02,ios,248,16206
2021-03-02,ios,252,169
2021-03-02,ios,267,<20
2021-03-03,android,241,<20
2021-03-03,android,246,602676
2021-03-03,android,248,12166
2021-03-03,android,252,900
2021-03-03,android,267,22
2021-03-03,ios,241,<20
2021-03-03,ios,246,2292532
2021-03-03,ios,248,19590
2021-03-03,ios,252,194
2021-03-03,ios,267,<20
2021-03-04,android,241,<20
2021-03-04,android,246,603967
2021-03-04,android,247,100
2021-03-04,android,248,17348
2021-03-04,android,252,1029
2021-03-04,android,267,<20
2021-03-04,ios,233,<20
2021-03-04,ios,241,<20
2021-03-04,ios,246,2316151
2021-03-04,ios,248,24609
2021-03-04,ios,252,214
2021-03-04,ios,267,<20
2021-03-05,android,246,593824
2021-03-05,android,247,<20
2021-03-05,android,248,32220
2021-03-05,android,252,1124
2021-03-05,android,267,<20
2021-03-05,ios,241,<20
2021-03-05,ios,246,2323721
2021-03-05,ios,247,<20
2021-03-05,ios,248,36978
2021-03-05,ios,252,245
2021-03-05,ios,267,<20
2021-03-06,android,246,485807
2021-03-06,android,248,149739
2021-03-06,android,252,1002
2021-03-06,android,267,<20
2021-03-06,ios,241,<20
2021-03-06,ios,246,2212417
2021-03-06,ios,247,<20
2021-03-06,ios,248,157862
2021-03-06,ios,252,262
2021-03-06,ios,267,<20
2021-03-07,android,246,194322
2021-03-07,android,248,456639
2021-03-07,android,252,756
2021-03-07,android,267,<20
2021-03-07,ios,241,<20
2021-03-07,ios,246,780554
2021-03-07,ios,247,<20
2021-03-07,ios,248,1591371
2021-03-07,ios,252,252
2021-03-07,ios,267,<20
2021-03-08,android,246,89719
2021-03-08,android,248,574148
2021-03-08,android,252,714
2021-03-08,android,267,<20
2021-03-08,ios,241,<20
2021-03-08,ios,246,269782
2021-03-08,ios,247,<20
2021-03-08,ios,248,2113406
2021-03-08,ios,252,242
2021-03-08,ios,267,<20
2021-03-09,android,246,41082
2021-03-09,android,247,<20
2021-03-09,android,248,629100
2021-03-09,android,252,888
2021-03-09,android,267,<20
2021-03-09,ios,241,<20
2021-03-09,ios,246,165696
2021-03-09,ios,248,2227127
2021-03-09,ios,252,293
2021-03-09,ios,267,<20
2021-03-10,android,246,18918
2021-03-10,android,248,657355
2021-03-10,android,252,1001
2021-03-10,android,267,<20
2021-03-10,ios,241,<20
2021-03-10,ios,246,130828
2021-03-10,ios,248,2270127
2021-03-10,ios,252,355
2021-03-10,ios,267,<20
2021-03-11,android,246,12557
2021-03-11,android,248,666429
2021-03-11,android,252,1424
2021-03-11,android,267,<20
2021-03-11,ios,241,<20
2021-03-11,ios,246,100815
2021-03-11,ios,248,2306318
2021-03-11,ios,252,435
2021-03-11,ios,267,<20
2021-03-12,android,246,10064
2021-03-12,android,248,666458
2021-03-12,android,252,7763
2021-03-12,android,267,<20
2021-03-12,ios,241,<20
2021-03-12,ios,246,81808
2021-03-12,ios,248,2328964
2021-03-12,ios,252,2212
2021-03-12,ios,267,<20
2021-03-13,android,246,8357
2021-03-13,android,248,531341
2021-03-13,android,252,139473
2021-03-13,android,267,<20
2021-03-13,ios,241,<20
2021-03-13,ios,246,69817
2021-03-13,ios,248,2252219
2021-03-13,ios,252,91341
2021-03-13,ios,267,<20
2021-03-14,android,246,7324
2021-03-14,android,248,190229
2021-03-14,android,252,480734
2021-03-14,android,267,<20
2021-03-14,ios,241,<20
2021-03-14,ios,246,61392
2021-03-14,ios,248,639702
2021-03-14,ios,252,1714506
2021-03-14,ios,267,<20
2021-03-15,android,246,6695
2021-03-15,android,248,92797
2021-03-15,android,252,582977
2021-03-15,android,267,<20
2021-03-15,ios,241,<20
2021-03-15,ios,246,54920
2021-03-15,ios,248,241243
2021-03-15,ios,252,2126315
2021-03-15,ios,267,<20
2021-03-16,android,246,5963
2021-03-16,android,248,43201
2021-03-16,android,252,634755
2021-03-16,android,267,<20
2021-03-16,ios,241,<20
2021-03-16,ios,246,49353
2021-03-16,ios,248,164521
2021-03-16,ios,252,2213234
2021-03-16,ios,267,<20
2021-03-17,android,246,5497
2021-03-17,android,248,20968
2021-03-17,android,252,660103
2021-03-17,android,267,<20
2021-03-17,ios,241,<20
2021-03-17,ios,246,44791
2021-03-17,ios,248,127590
2021-03-17,ios,252,2258975
2021-03-17,ios,267,<20
2021-03-18,android,246,5113
2021-03-18,android,248,14577
2021-03-18,android,252,668704
2021-03-18,android,267,<20
2021-03-18,ios,241,<20
2021-03-18,ios,246,40932
2021-03-18,ios,248,97350
2021-03-18,ios,252,2295625
2021-03-18,ios,267,<20
2021-03-19,android,246,4715
2021-03-19,android,248,11845
2021-03-19,android,252,671611
2021-03-19,android,267,28
2021-03-19,ios,241,<20
2021-03-19,ios,246,37774
2021-03-19,ios,248,79806
2021-03-19,ios,252,2318686
2021-03-19,ios,267,<20
2021-03-20,android,246,4448
2021-03-20,android,248,9890
2021-03-20,android,252,668787
2021-03-20,android,267,45
2021-03-20,ios,241,<20
2021-03-20,ios,246,34679
2021-03-20,ios,248,67859
2021-03-20,ios,252,2331733
2021-03-20,ios,267,<20
2021-03-21,android,246,4110
2021-03-21,android,248,8571
2021-03-21,android,252,667966
2021-03-21,android,267,35
2021-03-21,ios,241,<20
2021-03-21,ios,246,32432
2021-03-21,ios,248,59378
2021-03-21,ios,252,2343380
2021-03-21,ios,267,<20
2021-03-22,android,246,3912
2021-03-22,android,248,8278
2021-03-22,android,252,676077
2021-03-22,android,267,55
2021-03-22,ios,241,<20
2021-03-22,ios,246,30719
2021-03-22,ios,248,53039
2021-03-22,ios,252,2356756
2021-03-22,ios,267,26
2021-03-23,android,246,3855
2021-03-23,android,248,7593
2021-03-23,android,252,684320
2021-03-23,android,267,89
2021-03-23,ios,241,<20
2021-03-23,ios,246,29028
2021-03-23,ios,248,47596
2021-03-23,ios,252,2366491
2021-03-23,ios,267,32
2021-03-24,android,246,3672
2021-03-24,android,248,6716
2021-03-24,android,252,689032
2021-03-24,android,265,97
2021-03-24,android,267,184
2021-03-24,ios,241,<20
2021-03-24,ios,246,27382
2021-03-24,ios,248,43059
2021-03-24,ios,252,2373766
2021-03-24,ios,267,45
2021-03-25,android,246,3639
2021-03-25,android,248,6397
2021-03-25,android,252,699326
2021-03-25,android,266,95
2021-03-25,android,267,614
2021-03-25,ios,241,<20
2021-03-25,ios,246,25958
2021-03-25,ios,248,39230
2021-03-25,ios,252,2380324
2021-03-25,ios,267,81
2021-03-26,android,246,3394
2021-03-26,android,248,5928
2021-03-26,android,252,696786
2021-03-26,android,267,5828
2021-03-26,ios,241,<20
2021-03-26,ios,246,24680
2021-03-26,ios,248,36222
2021-03-26,ios,252,2384110
2021-03-26,ios,267,1637
2021-03-27,android,246,3073
2021-03-27,android,248,5321
2021-03-27,android,252,554281
2021-03-27,android,265,<20
2021-03-27,android,267,141393
2021-03-27,ios,241,<20
2021-03-27,ios,246,23284
2021-03-27,ios,248,33476
2021-03-27,ios,252,2290059
2021-03-27,ios,267,95849
