date,os-se,count-nombre
2021-02-25,android,<20
2021-02-25,ios,<20
2021-02-26,android,1861
2021-02-26,ios,13555
2021-02-27,android,258197
2021-02-27,ios,1304924
2021-02-28,android,473218
2021-02-28,ios,2022434
2021-03-01,android,555015
2021-03-01,ios,2226577
2021-03-02,android,596759
2021-03-02,ios,2273957
2021-03-03,android,616491
2021-03-03,ios,2312518
2021-03-04,android,623231
2021-03-04,ios,2341190
2021-03-05,android,627949
2021-03-05,ios,2361175
2021-03-06,android,637255
2021-03-06,ios,2370770
2021-03-07,android,652231
2021-03-07,ios,2372332
2021-03-08,android,665064
2021-03-08,ios,2383550
2021-03-09,android,671532
2021-03-09,ios,2393221
2021-03-10,android,677761
2021-03-10,ios,2401413
2021-03-11,android,680889
2021-03-11,ios,2407680
2021-03-12,android,684790
2021-03-12,ios,2413119
2021-03-13,android,679720
2021-03-13,ios,2413496
2021-03-14,android,678806
2021-03-14,ios,2415713
2021-03-15,android,683015
2021-03-15,ios,2422595
2021-03-16,android,684477
2021-03-16,ios,2427236
2021-03-17,android,687180
2021-03-17,ios,2431510
2021-03-18,android,689089
2021-03-18,ios,2434073
2021-03-19,android,688940
2021-03-19,ios,2436470
2021-03-20,android,683948
2021-03-20,ios,2434490
2021-03-21,android,681542
2021-03-21,ios,2435451
2021-03-22,android,689286
2021-03-22,ios,2440864
2021-03-23,android,697072
2021-03-23,ios,2443551
2021-03-24,android,701173
2021-03-24,ios,2444761
2021-03-25,android,712050
2021-03-25,ios,2446279
2021-03-26,android,715027
2021-03-26,ios,2447574
2021-03-27,android,711071
2021-03-27,ios,2444638
2021-03-28,android,710254
2021-03-28,ios,2443598
2021-03-29,android,719149
2021-03-29,ios,2448786
2021-03-30,android,723594
2021-03-30,ios,2452021
2021-03-31,android,726310
2021-03-31,ios,2453933
2021-04-01,android,729932
2021-04-01,ios,2455911
2021-04-02,android,726968
2021-04-02,ios,2453552
2021-04-03,android,726558
2021-04-03,ios,2451336
2021-04-04,android,726835
2021-04-04,ios,2450537
2021-04-05,android,735610
2021-04-05,ios,2454580
2021-04-06,android,744863
2021-04-06,ios,2460601
2021-04-07,android,749109
2021-04-07,ios,2462109
2021-04-08,android,754293
2021-04-08,ios,2463414
2021-04-09,android,754530
2021-04-09,ios,2461464
2021-04-10,android,754581
2021-04-10,ios,2458723
2021-04-11,android,755564
2021-04-11,ios,2459555
2021-04-12,android,765147
2021-04-12,ios,2464384
2021-04-13,android,767814
2021-04-13,ios,2466181
2021-04-14,android,768632
2021-04-14,ios,2464500
2021-04-15,android,769194
2021-04-15,ios,2465517
2021-04-16,android,771716
2021-04-16,ios,2466587
2021-04-17,android,766416
2021-04-17,ios,2462556
2021-04-18,android,766805
2021-04-18,ios,2462185
2021-04-19,android,776783
2021-04-19,ios,2468123
2021-04-20,android,776226
2021-04-20,ios,2467412
2021-04-21,android,777414
2021-04-21,ios,2467843
2021-04-22,android,778029
2021-04-22,ios,2467988
2021-04-23,android,778614
2021-04-23,ios,2467572
2021-04-24,android,774524
2021-04-24,ios,2463383
2021-04-25,android,772597
2021-04-25,ios,2463274
2021-04-26,android,779420
2021-04-26,ios,2467538
2021-04-27,android,780983
2021-04-27,ios,2467837
2021-04-28,android,780508
2021-04-28,ios,2468103
2021-04-29,android,780101
2021-04-29,ios,2468134
2021-04-30,android,780712
2021-04-30,ios,2467630
2021-05-01,android,774365
2021-05-01,ios,2462087
2021-05-02,android,773345
2021-05-02,ios,2460412
2021-05-03,android,780399
2021-05-03,ios,2464170
2021-05-04,android,781465
2021-05-04,ios,2464934
2021-05-05,android,780960
2021-05-05,ios,2464604
2021-05-06,android,781828
2021-05-06,ios,2463640
2021-05-07,android,781534
2021-05-07,ios,2462457
2021-05-08,android,775290
2021-05-08,ios,2456167
2021-05-09,android,774229
2021-05-09,ios,2455016
2021-05-10,android,778811
2021-05-10,ios,2457820
2021-05-11,android,778813
2021-05-11,ios,2458163
2021-05-12,android,778491
2021-05-12,ios,2456875
2021-05-13,android,778418
2021-05-13,ios,2455575
2021-05-14,android,777144
2021-05-14,ios,2453886
2021-05-15,android,768964
2021-05-15,ios,2445429
2021-05-16,android,767806
2021-05-16,ios,2444121
2021-05-17,android,774404
2021-05-17,ios,2446747
2021-05-18,android,774899
2021-05-18,ios,2446494
2021-05-19,android,819013
2021-05-19,ios,2443659
2021-05-20,android,1247901
2021-05-20,ios,2346011
2021-05-21,android,1112628
2021-05-21,ios,977074
2021-05-22,android,1116795
2021-05-22,ios,1254803
2021-05-23,android,1193375
2021-05-23,ios,1540228
2021-05-24,android,1170860
2021-05-24,ios,1649762
2021-05-25,android,1145479
2021-05-25,ios,1688418
2021-05-26,android,1168610
2021-05-26,ios,1710196
2021-05-27,android,1153685
2021-05-27,ios,1695121
2021-05-28,android,1113000
2021-05-28,ios,1702095
2021-05-29,android,1122851
2021-05-29,ios,1667767
2021-05-30,android,1137759
2021-05-30,ios,1648439
2021-05-31,android,1104998
2021-05-31,ios,1643148
2021-06-01,android,1138957
2021-06-01,ios,1676590
2021-06-02,android,1395157
2021-06-02,ios,1682685
2021-06-03,android,1390301
2021-06-03,ios,1713086
2021-06-04,android,1366007
2021-06-04,ios,2183714
2021-06-05,android,1340956
2021-06-05,ios,2273066
2021-06-06,android,1307281
2021-06-06,ios,2254534
2021-06-07,android,1290401
2021-06-07,ios,2266151
2021-06-08,android,1294098
2021-06-08,ios,2276065
2021-06-09,android,1272026
2021-06-09,ios,2281993
2021-06-10,android,1264917
2021-06-10,ios,2282559
2021-06-11,android,1245194
2021-06-11,ios,2282977
2021-06-12,android,1241216
2021-06-12,ios,2268612
2021-06-13,android,1230767
2021-06-13,ios,2270842
2021-06-14,android,1227358
2021-06-14,ios,2280706
2021-06-15,android,1279938
2021-06-15,ios,2352552
2021-06-16,android,1279246
2021-06-16,ios,2349539
2021-06-17,android,1250985
2021-06-17,ios,2347280
2021-06-18,android,1242499
2021-06-18,ios,2344432
2021-06-19,android,1233483
2021-06-19,ios,2328440
2021-06-20,android,1228255
2021-06-20,ios,2330054
2021-06-21,android,1221882
2021-06-21,ios,2339519
2021-06-22,android,1212955
2021-06-22,ios,2370556
2021-06-23,android,1207405
2021-06-23,ios,3590239
2021-06-24,android,1202207
2021-06-24,ios,2689455
2021-06-25,android,1200105
2021-06-25,ios,2402893
2021-06-26,android,1199015
2021-06-26,ios,2347525
2021-06-27,android,1202841
2021-06-27,ios,2341724
2021-06-28,android,1200726
2021-06-28,ios,2344514
2021-06-29,android,1196929
2021-06-29,ios,2334748
2021-06-30,android,1216277
2021-06-30,ios,2329909
2021-07-01,android,1194530
2021-07-01,ios,2313512
2021-07-02,android,1190596
2021-07-02,ios,2305267
2021-07-03,android,1184602
2021-07-03,ios,2288383
2021-07-04,android,1190622
2021-07-04,ios,2295023
2021-07-05,android,1185115
2021-07-05,ios,2305286
2021-07-06,android,1181545
2021-07-06,ios,2298653
2021-07-07,android,1194555
2021-07-07,ios,2291912
2021-07-08,android,1185632
2021-07-08,ios,2287827
2021-07-09,android,1174612
2021-07-09,ios,2282833
2021-07-10,android,1163442
2021-07-10,ios,2265632
2021-07-11,android,1168720
2021-07-11,ios,2266525
2021-07-12,android,1170271
2021-07-12,ios,2274653
2021-07-13,android,1160953
2021-07-13,ios,2270666
2021-07-14,android,1174314
