date,number_of_checks,count
2021-02-24,1-6,<20
2021-02-24,7-12,<20
2021-02-24,13-30,<20
2021-02-24,30+,<20
2021-02-25,1-6,<20
2021-02-25,7-12,<20
2021-02-25,13-30,<20
2021-02-25,30+,<20
2021-02-26,1-6,<20
2021-02-26,7-12,<20
2021-02-26,13-30,<20
2021-02-26,30+,<20
2021-02-27,1-6,<20
2021-02-27,7-12,<20
2021-02-27,13-30,<20
2021-02-27,30+,<20
2021-02-28,1-6,<20
2021-02-28,7-12,<20
2021-02-28,13-30,<20
2021-02-28,30+,<20
2021-03-01,1-6,<20
2021-03-01,7-12,<20
2021-03-01,13-30,<20
2021-03-01,30+,<20
2021-03-02,1-6,<20
2021-03-02,7-12,<20
2021-03-02,13-30,<20
2021-03-02,30+,<20
2021-03-03,1-6,<20
2021-03-03,7-12,<20
2021-03-03,13-30,<20
2021-03-03,30+,<20
2021-03-04,1-6,<20
2021-03-04,7-12,<20
2021-03-04,13-30,<20
2021-03-04,30+,<20
2021-03-05,1-6,<20
2021-03-05,7-12,<20
2021-03-05,13-30,<20
2021-03-05,30+,<20
2021-03-06,1-6,<20
2021-03-06,7-12,<20
2021-03-06,13-30,<20
2021-03-06,30+,<20
2021-03-07,1-6,<20
2021-03-07,7-12,<20
2021-03-07,13-30,<20
2021-03-07,30+,<20
2021-03-08,1-6,<20
2021-03-08,7-12,<20
2021-03-08,13-30,<20
2021-03-08,30+,<20
2021-03-09,1-6,<20
2021-03-09,7-12,<20
2021-03-09,13-30,<20
2021-03-09,30+,<20
2021-03-10,1-6,<20
2021-03-10,7-12,<20
2021-03-10,13-30,<20
2021-03-10,30+,<20
2021-03-11,1-6,<20
2021-03-11,7-12,<20
2021-03-11,13-30,<20
2021-03-11,30+,<20
2021-03-12,1-6,<20
2021-03-12,7-12,<20
2021-03-12,13-30,<20
2021-03-12,30+,<20
2021-03-13,1-6,<20
2021-03-13,7-12,<20
2021-03-13,13-30,<20
2021-03-13,30+,<20
2021-03-14,1-6,<20
2021-03-14,7-12,<20
2021-03-14,13-30,<20
2021-03-14,30+,<20
2021-03-15,1-6,<20
2021-03-15,7-12,<20
2021-03-15,13-30,<20
2021-03-15,30+,<20
2021-03-16,1-6,<20
2021-03-16,7-12,<20
2021-03-16,13-30,<20
2021-03-16,30+,<20
2021-03-17,1-6,<20
2021-03-17,7-12,<20
2021-03-17,13-30,<20
2021-03-17,30+,<20
2021-03-18,1-6,<20
2021-03-18,7-12,<20
2021-03-18,13-30,<20
2021-03-18,30+,<20
2021-03-19,1-6,<20
2021-03-19,7-12,<20
2021-03-19,13-30,<20
2021-03-19,30+,<20
2021-03-20,1-6,<20
2021-03-20,7-12,<20
2021-03-20,13-30,<20
2021-03-20,30+,<20
2021-03-21,1-6,<20
2021-03-21,7-12,<20
2021-03-21,13-30,<20
2021-03-21,30+,<20
2021-03-22,1-6,<20
2021-03-22,7-12,<20
2021-03-22,13-30,<20
2021-03-22,30+,<20
2021-03-23,1-6,<20
2021-03-23,7-12,<20
2021-03-23,13-30,<20
2021-03-23,30+,<20
2021-03-24,1-6,<20
2021-03-24,7-12,<20
2021-03-24,13-30,<20
2021-03-24,30+,<20
2021-03-25,1-6,<20
2021-03-25,7-12,<20
2021-03-25,13-30,<20
2021-03-25,30+,<20
