date,os-se,count-nombre
2020-07-30,android,1909
2020-07-30,ios,189
2020-07-31,android,262575
2020-07-31,ios,326519
2020-08-01,android,386470
2020-08-01,ios,630961
2020-08-02,android,436716
2020-08-02,ios,759283
2020-08-03,android,483562
2020-08-03,ios,835095
2020-08-04,android,533321
2020-08-04,ios,915198
2020-08-05,android,566183
2020-08-05,ios,991188
2020-08-06,android,606189
2020-08-06,ios,1050450
2020-08-07,android,623766
2020-08-07,ios,1083421
2020-08-08,android,641699
2020-08-08,ios,1111438
2020-08-09,android,656261
2020-08-09,ios,1134273
2020-08-10,android,670518
2020-08-10,ios,1157652
2020-08-11,android,685600
2020-08-11,ios,1180279
2020-08-12,android,700276
2020-08-12,ios,1202590
2020-08-13,android,717199
2020-08-13,ios,1228471
2020-08-14,android,731277
2020-08-14,ios,1253134
2020-08-15,android,740355
2020-08-15,ios,1269716
2020-08-16,android,749159
2020-08-16,ios,1284816
2020-08-17,android,756616
2020-08-17,ios,1298271
2020-08-18,android,764226
2020-08-18,ios,1310215
2020-08-19,android,770826
2020-08-19,ios,1321066
2020-08-20,android,776422
2020-08-20,ios,1331006
2020-08-21,android,781161
2020-08-21,ios,1339418
2020-08-22,android,785278
2020-08-22,ios,1347107
2020-08-23,android,789191
2020-08-23,ios,1353791
2020-08-24,android,794167
2020-08-24,ios,1361236
2020-08-25,android,801673
2020-08-25,ios,1371556
2020-08-26,android,806912
2020-08-26,ios,1381193
2020-08-27,android,811232
2020-08-27,ios,1388372
2020-08-28,android,814634
2020-08-28,ios,1394679
2020-08-29,android,818470
2020-08-29,ios,1401235
2020-08-30,android,821831
2020-08-30,ios,1407591
2020-08-31,android,824906
2020-08-31,ios,1413532
2020-09-01,android,829276
2020-09-01,ios,1421039
2020-09-02,android,834504
2020-09-02,ios,1429892
2020-09-03,android,844382
2020-09-03,ios,1448553
2020-09-04,android,850592
2020-09-04,ios,1459526
2020-09-05,android,854907
2020-09-05,ios,1469674
2020-09-06,android,858924
2020-09-06,ios,1477336
2020-09-07,android,863122
2020-09-07,ios,1485484
2020-09-08,android,867944
2020-09-08,ios,1494902
2020-09-09,android,871414
2020-09-09,ios,1502591
2020-09-10,android,874736
2020-09-10,ios,1509573
2020-09-11,android,889467
2020-09-11,ios,1517269
2020-09-12,android,911260
2020-09-12,ios,1523394
2020-09-13,android,930820
2020-09-13,ios,1529736
2020-09-14,android,948976
2020-09-14,ios,1539182
2020-09-15,android,963747
2020-09-15,ios,1547403
2020-09-16,android,990506
2020-09-16,ios,1559161
2020-09-17,android,1003492
2020-09-17,ios,1575066
2020-09-18,android,1020778
2020-09-18,ios,1608567
2020-09-19,android,1029853
2020-09-19,ios,1637106
2020-09-20,android,1035141
2020-09-20,ios,1654838
2020-09-21,android,1041345
2020-09-21,ios,1671686
2020-09-22,android,1056357
2020-09-22,ios,1688083
2020-09-23,android,1090556
2020-09-23,ios,1731411
2020-09-24,android,1108063
2020-09-24,ios,1775548
2020-09-25,android,1117061
2020-09-25,ios,1795472
2020-09-26,android,1122861
2020-09-26,ios,1808291
2020-09-27,android,1128304
2020-09-27,ios,1819561
2020-09-28,android,1146044
2020-09-28,ios,1852439
2020-09-29,android,1168859
2020-09-29,ios,1893212
2020-09-30,android,1185311
2020-09-30,ios,1930941
2020-10-01,android,1211682
2020-10-01,ios,1977105
2020-10-02,android,1233954
2020-10-02,ios,2019890
2020-10-03,android,1245634
2020-10-03,ios,2039590
2020-10-04,android,1255849
2020-10-04,ios,2054285
2020-10-05,android,1408032
2020-10-05,ios,2208542
2020-10-06,android,1513655
2020-10-06,ios,2390189
2020-10-07,android,1570983
2020-10-07,ios,2476816
2020-10-08,android,1611617
2020-10-08,ios,2523900
2020-10-09,android,1651124
2020-10-09,ios,2574734
2020-10-10,android,1671297
2020-10-10,ios,2601893
2020-10-11,android,1694510
2020-10-11,ios,2621248
2020-10-12,android,1740311
2020-10-12,ios,2640669
2020-10-13,android,1781389
2020-10-13,ios,2666147
2020-10-14,android,1810143
2020-10-14,ios,2685717
2020-10-15,android,1846850
2020-10-15,ios,2714974
2020-10-16,android,1874503
2020-10-16,ios,2737390
2020-10-17,android,1895177
2020-10-17,ios,2750871
2020-10-18,android,1912776
2020-10-18,ios,2761576
2020-10-19,android,1937403
2020-10-19,ios,2786664
2020-10-20,android,1956036
2020-10-20,ios,2802983
2020-10-21,android,1970357
2020-10-21,ios,2814578
2020-10-22,android,1983674
2020-10-22,ios,2823104
2020-10-23,android,1995366
2020-10-23,ios,2831701
2020-10-24,android,2006447
2020-10-24,ios,2839840
2020-10-25,android,2016705
2020-10-25,ios,2846891
2020-10-26,android,2029497
2020-10-26,ios,2855102
2020-10-27,android,2040730
2020-10-27,ios,2865447
2020-10-28,android,2051419
2020-10-28,ios,2876082
2020-10-29,android,2060849
2020-10-29,ios,2885064
2020-10-30,android,2070808
2020-10-30,ios,2894311
2020-10-31,android,2082180
2020-10-31,ios,2905350
2020-11-01,android,2094764
2020-11-01,ios,2921073
2020-11-02,android,2105494
2020-11-02,ios,2933257
2020-11-03,android,2116086
2020-11-03,ios,2945363
2020-11-04,android,2124308
2020-11-04,ios,2954570
2020-11-05,android,2132577
2020-11-05,ios,2962530
2020-11-06,android,2140201
2020-11-06,ios,2970214
2020-11-07,android,2147963
2020-11-07,ios,2977552
2020-11-08,android,2156458
2020-11-08,ios,2986066
2020-11-09,android,2166383
2020-11-09,ios,2997896
2020-11-10,android,2175968
2020-11-10,ios,3010490
2020-11-11,android,2188653
2020-11-11,ios,3019686
2020-11-12,android,2197730
2020-11-12,ios,3030150
2020-11-13,android,2207563
2020-11-13,ios,3042251
2020-11-14,android,2216149
2020-11-14,ios,3052640
2020-11-15,android,2224583
2020-11-15,ios,3062070
2020-11-16,android,2232644
2020-11-16,ios,3071421
2020-11-17,android,2241377
2020-11-17,ios,3082545
2020-11-18,android,2249072
2020-11-18,ios,3093348
2020-11-19,android,2256897
2020-11-19,ios,3102644
2020-11-20,android,2272329
2020-11-20,ios,3122984
2020-11-21,android,2282886
2020-11-21,ios,3130654
2020-11-22,android,2293334
2020-11-22,ios,3144167
2020-11-23,android,2303797
2020-11-23,ios,3159483
2020-11-24,android,2314219
2020-11-24,ios,3165890
2020-11-25,android,2322547
2020-11-25,ios,3177807
2020-11-26,android,2329865
2020-11-26,ios,3186650
2020-11-27,android,2338359
2020-11-27,ios,3190916
2020-11-28,android,2345113
2020-11-28,ios,3197743
2020-11-29,android,2351189
2020-11-29,ios,3204060
2020-11-30,android,2357276
2020-11-30,ios,3211004
2020-12-01,android,2362779
2020-12-01,ios,3217723
2020-12-02,android,2368093
2020-12-02,ios,3223871
2020-12-03,android,2373173
2020-12-03,ios,3229205
2020-12-04,android,2379254
2020-12-04,ios,3236066
2020-12-05,android,2383823
2020-12-05,ios,3241321
2020-12-06,android,2388222
2020-12-06,ios,3246225
2020-12-07,android,2392795
2020-12-07,ios,3252120
2020-12-08,android,2396707
2020-12-08,ios,3257111
2020-12-09,android,2400804
2020-12-09,ios,3261676
2020-12-10,android,2404583
2020-12-10,ios,3266512
2020-12-11,android,2408559
2020-12-11,ios,3272429
2020-12-12,android,2411768
2020-12-12,ios,3276971
2020-12-13,android,2415060
2020-12-13,ios,3280781
2020-12-14,android,2418966
2020-12-14,ios,3286432
2020-12-15,android,2422210
2020-12-15,ios,3291422
2020-12-16,android,2425853
2020-12-16,ios,3295472
2020-12-17,android,2429589
2020-12-17,ios,3300047
2020-12-18,android,2432990
2020-12-18,ios,3304858
2020-12-19,android,2436808
2020-12-19,ios,3309894
2020-12-20,android,2440816
2020-12-20,ios,3315947
2020-12-21,android,2445071
2020-12-21,ios,3321869
2020-12-22,android,2449008
2020-12-22,ios,3327403
2020-12-23,android,2452811
2020-12-23,ios,3332608
2020-12-24,android,2456487
2020-12-24,ios,3337008
2020-12-25,android,2460830
2020-12-25,ios,3341247
2020-12-26,android,2464658
2020-12-26,ios,3345984
2020-12-27,android,2468715
2020-12-27,ios,3351708
2020-12-28,android,2473623
2020-12-28,ios,3359492
2020-12-29,android,2477827
2020-12-29,ios,3365821
2020-12-30,android,2481827
2020-12-30,ios,3371509
2020-12-31,android,2486175
2020-12-31,ios,3376485
2021-01-01,android,2490015
2021-01-01,ios,3382658
2021-01-02,android,2493707
2021-01-02,ios,3387887
2021-01-03,android,2497296
2021-01-03,ios,3393403
2021-01-04,android,2501678
2021-01-04,ios,3399047
2021-01-05,android,2506904
2021-01-05,ios,3406915
2021-01-06,android,2511105
2021-01-06,ios,3416736
