date,os-se,count-nombre
2020-07-30,android,1909
2020-07-30,ios,189
2020-07-31,android,260666
2020-07-31,ios,326330
2020-08-01,android,123895
2020-08-01,ios,304442
2020-08-02,android,50246
2020-08-02,ios,128322
2020-08-03,android,46846
2020-08-03,ios,75812
2020-08-04,android,49759
2020-08-04,ios,80103
2020-08-05,android,32862
2020-08-05,ios,75990
2020-08-06,android,40006
2020-08-06,ios,59262
2020-08-07,android,17577
2020-08-07,ios,32971
2020-08-08,android,17933
2020-08-08,ios,28017
2020-08-09,android,14562
2020-08-09,ios,22835
2020-08-10,android,14257
2020-08-10,ios,23379
2020-08-11,android,15082
2020-08-11,ios,22627
2020-08-12,android,14676
2020-08-12,ios,22311
2020-08-13,android,16923
2020-08-13,ios,25881
2020-08-14,android,14078
2020-08-14,ios,24663
2020-08-15,android,9078
2020-08-15,ios,16582
2020-08-16,android,8804
2020-08-16,ios,15100
2020-08-17,android,7457
2020-08-17,ios,13455
2020-08-18,android,7610
2020-08-18,ios,11944
2020-08-19,android,6600
2020-08-19,ios,10851
2020-08-20,android,5596
2020-08-20,ios,9940
2020-08-21,android,4739
2020-08-21,ios,8412
2020-08-22,android,4117
2020-08-22,ios,7689
2020-08-23,android,3913
2020-08-23,ios,6684
2020-08-24,android,4976
2020-08-24,ios,7445
2020-08-25,android,7506
2020-08-25,ios,10320
2020-08-26,android,5239
2020-08-26,ios,9637
2020-08-27,android,4320
2020-08-27,ios,7179
2020-08-28,android,3402
2020-08-28,ios,6307
2020-08-29,android,3836
2020-08-29,ios,6556
2020-08-30,android,3361
2020-08-30,ios,6356
2020-08-31,android,3075
2020-08-31,ios,5941
2020-09-01,android,4370
2020-09-01,ios,7507
2020-09-02,android,5228
2020-09-02,ios,8853
2020-09-03,android,9878
2020-09-03,ios,18661
2020-09-04,android,6210
2020-09-04,ios,10973
2020-09-05,android,4315
2020-09-05,ios,10148
2020-09-06,android,4017
2020-09-06,ios,7662
2020-09-07,android,4198
2020-09-07,ios,8148
2020-09-08,android,4822
2020-09-08,ios,9418
2020-09-09,android,3470
2020-09-09,ios,7689
2020-09-10,android,3322
2020-09-10,ios,6982
2020-09-11,android,14731
2020-09-11,ios,7696
2020-09-12,android,21793
2020-09-12,ios,6125
2020-09-13,android,19560
2020-09-13,ios,6342
2020-09-14,android,18156
2020-09-14,ios,9446
2020-09-15,android,14771
2020-09-15,ios,8221
2020-09-16,android,26759
2020-09-16,ios,11758
2020-09-17,android,12986
2020-09-17,ios,15905
2020-09-18,android,17286
2020-09-18,ios,33501
2020-09-19,android,9075
2020-09-19,ios,28539
2020-09-20,android,5288
2020-09-20,ios,17732
2020-09-21,android,6204
2020-09-21,ios,16848
2020-09-22,android,15012
2020-09-22,ios,16397
2020-09-23,android,34199
2020-09-23,ios,43328
2020-09-24,android,17507
2020-09-24,ios,44137
2020-09-25,android,8998
2020-09-25,ios,19924
2020-09-26,android,5800
2020-09-26,ios,12819
2020-09-27,android,5443
2020-09-27,ios,11270
2020-09-28,android,17740
2020-09-28,ios,32878
2020-09-29,android,22815
2020-09-29,ios,40773
2020-09-30,android,16452
2020-09-30,ios,37729
2020-10-01,android,26371
2020-10-01,ios,46164
2020-10-02,android,22272
2020-10-02,ios,42785
2020-10-03,android,11680
2020-10-03,ios,19700
2020-10-04,android,10215
2020-10-04,ios,14695
2020-10-05,android,152183
2020-10-05,ios,154257
2020-10-06,android,105623
2020-10-06,ios,181647
2020-10-07,android,57328
2020-10-07,ios,86627
2020-10-08,android,40634
2020-10-08,ios,47084
2020-10-09,android,39507
2020-10-09,ios,50834
2020-10-10,android,20173
2020-10-10,ios,27159
2020-10-11,android,23213
2020-10-11,ios,19355
2020-10-12,android,45801
2020-10-12,ios,19421
2020-10-13,android,41078
2020-10-13,ios,25478
2020-10-14,android,28754
2020-10-14,ios,19570
2020-10-15,android,36707
2020-10-15,ios,29257
2020-10-16,android,27653
2020-10-16,ios,22416
2020-10-17,android,20674
2020-10-17,ios,13481
2020-10-18,android,17599
2020-10-18,ios,10705
2020-10-19,android,24627
2020-10-19,ios,25088
2020-10-20,android,18633
2020-10-20,ios,16319
2020-10-21,android,14321
2020-10-21,ios,11595
2020-10-22,android,13317
2020-10-22,ios,8526
2020-10-23,android,11692
2020-10-23,ios,8597
2020-10-24,android,11081
2020-10-24,ios,8139
2020-10-25,android,10258
2020-10-25,ios,7051
2020-10-26,android,12792
2020-10-26,ios,8211
2020-10-27,android,11233
2020-10-27,ios,10345
2020-10-28,android,10689
2020-10-28,ios,10635
2020-10-29,android,9430
2020-10-29,ios,8982
2020-10-30,android,9959
2020-10-30,ios,9247
2020-10-31,android,11372
2020-10-31,ios,11039
2020-11-01,android,12584
2020-11-01,ios,15723
2020-11-02,android,10730
2020-11-02,ios,12184
2020-11-03,android,10592
2020-11-03,ios,12106
2020-11-04,android,8222
2020-11-04,ios,9207
2020-11-05,android,8269
2020-11-05,ios,7960
2020-11-06,android,7624
2020-11-06,ios,7684
2020-11-07,android,7762
2020-11-07,ios,7338
2020-11-08,android,8495
2020-11-08,ios,8514
2020-11-09,android,9925
2020-11-09,ios,11830
2020-11-10,android,9585
2020-11-10,ios,12594
2020-11-11,android,12685
2020-11-11,ios,9196
2020-11-12,android,9077
2020-11-12,ios,10464
2020-11-13,android,9833
2020-11-13,ios,12101
2020-11-14,android,8586
2020-11-14,ios,10389
2020-11-15,android,8434
2020-11-15,ios,9430
2020-11-16,android,8061
2020-11-16,ios,9351
2020-11-17,android,8733
2020-11-17,ios,11124
2020-11-18,android,7695
2020-11-18,ios,10803
2020-11-19,android,7825
2020-11-19,ios,9296
2020-11-20,android,15432
2020-11-20,ios,20340
2020-11-21,android,10557
2020-11-21,ios,7670
2020-11-22,android,10448
2020-11-22,ios,13513
2020-11-23,android,10463
2020-11-23,ios,15316
2020-11-24,android,10422
2020-11-24,ios,6407
2020-11-25,android,8328
2020-11-25,ios,11917
2020-11-26,android,7318
2020-11-26,ios,8843
2020-11-27,android,8494
2020-11-27,ios,4266
2020-11-28,android,6754
2020-11-28,ios,6827
2020-11-29,android,6076
2020-11-29,ios,6317
2020-11-30,android,6087
2020-11-30,ios,6944
2020-12-01,android,5503
2020-12-01,ios,6719
2020-12-02,android,5314
2020-12-02,ios,6148
2020-12-03,android,5080
2020-12-03,ios,5334
2020-12-04,android,6081
2020-12-04,ios,6861
2020-12-05,android,4569
2020-12-05,ios,5255
2020-12-06,android,4399
2020-12-06,ios,4904
2020-12-07,android,4573
2020-12-07,ios,5895
2020-12-08,android,3912
2020-12-08,ios,4991
2020-12-09,android,4097
2020-12-09,ios,4565
2020-12-10,android,3779
2020-12-10,ios,4836
2020-12-11,android,3976
2020-12-11,ios,5917
2020-12-12,android,3209
2020-12-12,ios,4542
2020-12-13,android,3292
2020-12-13,ios,3810
2020-12-14,android,3906
2020-12-14,ios,5651
2020-12-15,android,3244
2020-12-15,ios,4990
2020-12-16,android,3643
2020-12-16,ios,4050
2020-12-17,android,3736
2020-12-17,ios,4575
2020-12-18,android,3401
2020-12-18,ios,4811
2020-12-19,android,3818
2020-12-19,ios,5036
2020-12-20,android,4008
2020-12-20,ios,6053
2020-12-21,android,4255
2020-12-21,ios,5922
2020-12-22,android,3937
2020-12-22,ios,5534
2020-12-23,android,3803
2020-12-23,ios,5205
2020-12-24,android,3676
2020-12-24,ios,4400
2020-12-25,android,4343
2020-12-25,ios,4239
2020-12-26,android,3828
2020-12-26,ios,4737
2020-12-27,android,4057
2020-12-27,ios,5724
2020-12-28,android,4908
2020-12-28,ios,7784
2020-12-29,android,4204
2020-12-29,ios,6329
2020-12-30,android,4000
2020-12-30,ios,5688
2020-12-31,android,4348
2020-12-31,ios,4976
2021-01-01,android,3840
2021-01-01,ios,6173
2021-01-02,android,3692
2021-01-02,ios,5229
2021-01-03,android,3589
2021-01-03,ios,5516
2021-01-04,android,4382
2021-01-04,ios,5644
2021-01-05,android,5226
2021-01-05,ios,7868
2021-01-06,android,4201
2021-01-06,ios,9821
2021-01-07,android,6973
2021-01-07,ios,12361
2021-01-08,android,5724
2021-01-08,ios,10202
2021-01-09,android,4823
2021-01-09,ios,7284
2021-01-10,android,4210
2021-01-10,ios,6483
2021-01-11,android,4552
2021-01-11,ios,7354
2021-01-12,android,4341
2021-01-12,ios,6312
2021-01-13,android,4262
2021-01-13,ios,5233
2021-01-14,android,3996
2021-01-14,ios,7318
2021-01-15,android,4483
2021-01-15,ios,6976
2021-01-16,android,3503
2021-01-16,ios,5177
2021-01-17,android,3373
