date,os-se,count-nombre
2021-07-05,android,<20
2021-07-05,ios,<20
2021-07-06,android,498
2021-07-06,ios,880
2021-07-07,android,15335
2021-07-07,ios,96288
2021-07-08,android,26908
2021-07-08,ios,162621
2021-07-09,android,34231
2021-07-09,ios,199721
2021-07-10,android,39770
2021-07-10,ios,238016
2021-07-11,android,38846
2021-07-11,ios,229870
2021-07-12,android,38231
2021-07-12,ios,211845
2021-07-13,android,39196
2021-07-13,ios,217916
2021-07-14,android,53217
2021-07-14,ios,233334
2021-07-15,android,62422
2021-07-15,ios,231285
2021-07-16,android,69505
2021-07-16,ios,240647
2021-07-17,android,71440
2021-07-17,ios,263565
2021-07-18,android,70655
2021-07-18,ios,259205
2021-07-19,android,69260
2021-07-19,ios,231940
2021-07-20,android,70441
2021-07-20,ios,233780
2021-07-21,android,71057
2021-07-21,ios,240639
2021-07-22,android,69782
2021-07-22,ios,247359
2021-07-23,android,72391
2021-07-23,ios,261121
2021-07-24,android,73962
2021-07-24,ios,279982
2021-07-25,android,71609
2021-07-25,ios,270792
2021-07-26,android,68471
2021-07-26,ios,243550
2021-07-27,android,69016
2021-07-27,ios,244064
2021-07-28,android,69707
2021-07-28,ios,252658
2021-07-29,android,70713
2021-07-29,ios,252417
2021-07-30,android,71772
2021-07-30,ios,264451
2021-07-31,android,74441
2021-07-31,ios,292819
2021-08-01,android,72541
2021-08-01,ios,284603
2021-08-02,android,70434
2021-08-02,ios,263046
2021-08-03,android,70438
2021-08-03,ios,256709
2021-08-04,android,70216
2021-08-04,ios,261523
2021-08-05,android,70149
2021-08-05,ios,264767
2021-08-06,android,73727
2021-08-06,ios,216441
2021-08-07,android,75699
2021-08-07,ios,137183
2021-08-08,android,75854
2021-08-08,ios,96002
2021-08-09,android,74902
2021-08-09,ios,69848
2021-08-10,android,74604
2021-08-10,ios,63772
2021-08-11,android,75150
2021-08-11,ios,73691
2021-08-12,android,74815
2021-08-12,ios,153675
2021-08-13,android,76621
2021-08-13,ios,193251
2021-08-14,android,76892
2021-08-14,ios,219755
2021-08-15,android,73591
2021-08-15,ios,218078
2021-08-16,android,69724
2021-08-16,ios,189753
2021-08-17,android,69627
2021-08-17,ios,188259
2021-08-18,android,69001
2021-08-18,ios,193284
2021-08-19,android,70567
2021-08-19,ios,200668
2021-08-20,android,64298
2021-08-20,ios,209800
2021-08-21,android,62869
2021-08-21,ios,230313
2021-08-22,android,61018
2021-08-22,ios,219442
2021-08-23,android,59135
2021-08-23,ios,190436
2021-08-24,android,59050
2021-08-24,ios,193614
2021-08-25,android,59734
2021-08-25,ios,200209
2021-08-26,android,59909
2021-08-26,ios,202592
2021-08-27,android,61971
2021-08-27,ios,212318
2021-08-28,android,61991
2021-08-28,ios,226703
2021-08-29,android,59011
2021-08-29,ios,214255
2021-08-30,android,60165
2021-08-30,ios,192007
2021-08-31,android,59605
2021-08-31,ios,195805
2021-09-01,android,58755
2021-09-01,ios,199780
2021-09-02,android,61220
2021-09-02,ios,226282
2021-09-03,android,61116
2021-09-03,ios,247197
2021-09-04,android,63009
2021-09-04,ios,281506
2021-09-05,android,62013
2021-09-05,ios,274412
2021-09-06,android,57904
2021-09-06,ios,228494
2021-09-07,android,58801
2021-09-07,ios,229849
2021-09-08,android,58531
2021-09-08,ios,232945
2021-09-09,android,57378
2021-09-09,ios,235476
2021-09-10,android,59360
2021-09-10,ios,243276
2021-09-11,android,58950
2021-09-11,ios,260487
2021-09-12,android,56196
2021-09-12,ios,236570
2021-09-13,android,57564
2021-09-13,ios,230098
2021-09-14,android,56268
2021-09-14,ios,228820
2021-09-15,android,57488
2021-09-15,ios,233151
2021-09-16,android,58322
2021-09-16,ios,234212
2021-09-17,android,59441
2021-09-17,ios,243309
2021-09-18,android,59624
2021-09-18,ios,257290
2021-09-19,android,56647
2021-09-19,ios,242356
2021-09-20,android,54222
2021-09-20,ios,224970
2021-09-21,android,42882
2021-09-21,ios,162955
2021-09-22,android,62290
2021-09-22,ios,221560
2021-09-23,android,65110
2021-09-23,ios,238419
2021-09-24,android,66357
2021-09-24,ios,242667
2021-09-25,android,67584
2021-09-25,ios,264589
2021-09-26,android,63850
2021-09-26,ios,239109
2021-09-27,android,64739
2021-09-27,ios,225082
2021-09-28,android,64722
2021-09-28,ios,230925
2021-09-29,android,65308
2021-09-29,ios,234824
2021-09-30,android,65318
2021-09-30,ios,234550
2021-10-01,android,67400
2021-10-01,ios,249438
2021-10-02,android,67151
2021-10-02,ios,259516
2021-10-03,android,63703
2021-10-03,ios,235288
2021-10-04,android,70769
2021-10-04,ios,221073
2021-10-05,android,66870
2021-10-05,ios,224141
2021-10-06,android,64245
2021-10-06,ios,227506
2021-10-07,android,63580
2021-10-07,ios,236500
2021-10-08,android,65861
2021-10-08,ios,249146
2021-10-09,android,67886
2021-10-09,ios,258627
2021-10-10,android,68732
2021-10-10,ios,244988
2021-10-11,android,64399
2021-10-11,ios,222075
2021-10-12,android,62827
2021-10-12,ios,224936
2021-10-13,android,66040
2021-10-13,ios,239298
2021-10-14,android,65828
2021-10-14,ios,235815
2021-10-15,android,65311
2021-10-15,ios,241275
2021-10-16,android,60648
2021-10-16,ios,231468
2021-10-17,android,61401
2021-10-17,ios,224151
2021-10-18,android,62312
2021-10-18,ios,214715
2021-10-19,android,60238
2021-10-19,ios,218590
2021-10-20,android,63465
2021-10-20,ios,228824
2021-10-21,android,60356
2021-10-21,ios,227600
2021-10-22,android,64253
2021-10-22,ios,241629
2021-10-23,android,60756
2021-10-23,ios,235778
2021-10-24,android,58348
2021-10-24,ios,226183
2021-10-25,android,58391
2021-10-25,ios,205989
2021-10-26,android,56126
2021-10-26,ios,203346
2021-10-27,android,59132
2021-10-27,ios,228859
2021-10-28,android,60197
2021-10-28,ios,225589
2021-10-29,android,61078
2021-10-29,ios,233368
2021-10-30,android,58180
2021-10-30,ios,229943
2021-10-31,android,57471
2021-10-31,ios,222128
2021-11-01,android,58235
2021-11-01,ios,206176
2021-11-02,android,60012
2021-11-02,ios,216786
2021-11-03,android,58597
2021-11-03,ios,223847
2021-11-04,android,58369
2021-11-04,ios,226591
2021-11-05,android,58286
2021-11-05,ios,233253
2021-11-06,android,58472
2021-11-06,ios,239341
2021-11-07,android,58115
2021-11-07,ios,219912
2021-11-08,android,58700
2021-11-08,ios,217817
2021-11-09,android,56377
2021-11-09,ios,220745
2021-11-10,android,55347
2021-11-10,ios,223815
2021-11-11,android,53719
2021-11-11,ios,216078
2021-11-12,android,56846
2021-11-12,ios,231408
2021-11-13,android,54704
2021-11-13,ios,235081
2021-11-14,android,53543
2021-11-14,ios,216596
2021-11-15,android,55301
2021-11-15,ios,211844
2021-11-16,android,55367
2021-11-16,ios,219738
2021-11-17,android,55156
2021-11-17,ios,220504
2021-11-18,android,54823
2021-11-18,ios,223840
2021-11-19,android,55032
2021-11-19,ios,228999
2021-11-20,android,55819
2021-11-20,ios,235243
2021-11-21,android,53978
2021-11-21,ios,216068
2021-11-22,android,54791
2021-11-22,ios,207868
2021-11-23,android,53430
2021-11-23,ios,212521
2021-11-24,android,52980
2021-11-24,ios,215382
2021-11-25,android,52796
2021-11-25,ios,212573
2021-11-26,android,54284
2021-11-26,ios,222604
2021-11-27,android,52601
2021-11-27,ios,222466
2021-11-28,android,51312
2021-11-28,ios,203563
2021-11-29,android,51938
2021-11-29,ios,198246
2021-11-30,android,51452
2021-11-30,ios,205426
2021-12-01,android,51874
2021-12-01,ios,210515
2021-12-02,android,52541
2021-12-02,ios,212723
2021-12-03,android,52488
2021-12-03,ios,218352
2021-12-04,android,51895
