date,count-nombre
2021-02-25,181
2021-02-26,181
2021-02-27,180
2021-02-28,153
2021-03-01,166
2021-03-02,199
2021-03-03,205
2021-03-04,192
2021-03-05,219
2021-03-06,184
2021-03-07,157
2021-03-08,179
2021-03-09,232
2021-03-10,226
2021-03-11,239
2021-03-12,230
2021-03-13,211
2021-03-14,194
2021-03-15,203
2021-03-16,206
2021-03-17,258
2021-03-18,241
2021-03-19,210
2021-03-20,226
2021-03-21,265
2021-03-22,289
2021-03-23,252
2021-03-24,288
2021-03-25,315
2021-03-26,289
2021-03-27,271
2021-03-28,297
2021-03-29,355
2021-03-30,389
2021-03-31,423
2021-04-01,387
2021-04-02,435
2021-04-03,505
2021-04-04,408
2021-04-05,465
2021-04-06,473
2021-04-07,495
2021-04-08,1001
2021-04-09,1388
2021-04-10,1461
2021-04-11,1435
2021-04-12,1468
2021-04-13,1521
2021-04-14,1604
2021-04-15,1470
2021-04-16,1629
2021-04-17,1441
2021-04-18,1568
2021-04-19,1429
2021-04-20,1258
2021-04-21,1426
2021-04-22,1354
2021-04-23,1313
2021-04-24,1164
2021-04-25,1174
2021-04-26,1286
2021-04-27,1386
2021-04-28,1448
2021-04-29,1477
2021-04-30,1338
2021-05-01,1494
2021-05-02,1296
2021-05-03,1367
2021-05-04,1147
2021-05-05,1102
2021-05-06,1091
2021-05-07,1208
2021-05-08,1139
2021-05-09,1025
2021-05-10,1024
2021-05-11,1151
2021-05-12,944
2021-05-13,1208
2021-05-14,1060
2021-05-15,1007
2021-05-16,754
2021-05-17,794
2021-05-18,834
2021-05-19,764
2021-05-20,724
2021-05-21,598
2021-05-22,715
2021-05-23,731
2021-05-24,509
2021-05-25,500
2021-05-26,462
2021-05-27,383
2021-05-28,472
2021-05-29,312
2021-05-30,307
2021-05-31,288
2021-06-01,365
2021-06-02,346
2021-06-03,291
2021-06-04,247
2021-06-05,173
2021-06-06,141
2021-06-07,164
2021-06-08,194
2021-06-09,273
2021-06-10,187
2021-06-11,184
2021-06-12,132
2021-06-13,130
2021-06-14,114
2021-06-15,114
2021-06-16,87
2021-06-17,88
2021-06-18,67
2021-06-19,88
2021-06-20,64
2021-06-21,34
2021-06-22,50
2021-06-23,76
2021-06-24,61
2021-06-25,40
2021-06-26,34
2021-06-27,38
2021-06-28,71
2021-06-29,30
2021-06-30,27
2021-07-01,<20
2021-07-02,37
2021-07-03,34
2021-07-04,24
2021-07-05,<20
2021-07-06,<20
2021-07-07,62
2021-07-08,61
2021-07-09,39
2021-07-10,47
2021-07-11,26
2021-07-12,37
2021-07-13,47
2021-07-14,91
2021-07-15,57
2021-07-16,54
2021-07-17,39
2021-07-18,34
2021-07-19,44
2021-07-20,112
2021-07-21,48
2021-07-22,28
2021-07-23,<20
2021-07-24,36
2021-07-25,<20
2021-07-26,<20
2021-07-27,20
2021-07-28,28
2021-07-29,39
2021-07-30,54
2021-07-31,<20
2021-08-01,<20
2021-08-02,31
2021-08-03,85
2021-08-04,59
2021-08-05,136
2021-08-06,115
2021-08-07,105
2021-08-08,97
2021-08-09,92
2021-08-10,142
2021-08-11,104
2021-08-12,134
2021-08-13,156
2021-08-14,172
2021-08-15,111
2021-08-16,123
2021-08-17,165
2021-08-18,125
2021-08-19,148
2021-08-20,322
2021-08-21,247
2021-08-22,210
2021-08-23,176
2021-08-24,118
2021-08-25,166
2021-08-26,265
2021-08-27,313
2021-08-28,305
2021-08-29,244
2021-08-30,128
2021-08-31,157
2021-09-01,260
2021-09-02,260
2021-09-03,348
2021-09-04,323
2021-09-05,247
2021-09-06,328
2021-09-07,318
2021-09-08,201
2021-09-09,426
2021-09-10,288
2021-09-11,370
2021-09-12,306
2021-09-13,284
2021-09-14,233
2021-09-15,305
2021-09-16,274
2021-09-17,326
2021-09-18,274
2021-09-19,374
2021-09-20,258
2021-09-21,244
2021-09-22,319
2021-09-23,256
2021-09-24,391
2021-09-25,270
2021-09-26,186
2021-09-27,283
2021-09-28,233
2021-09-29,243
2021-09-30,191
2021-10-01,193
2021-10-02,235
2021-10-03,192
2021-10-04,253
2021-10-05,300
2021-10-06,282
2021-10-07,421
2021-10-08,344
2021-10-09,281
2021-10-10,290
2021-10-11,254
2021-10-12,164
2021-10-13,159
2021-10-14,224
2021-10-15,163
2021-10-16,213
2021-10-17,214
2021-10-18,113
2021-10-19,282
2021-10-20,159
2021-10-21,319
2021-10-22,244
2021-10-23,197
2021-10-24,300
2021-10-25,156
2021-10-26,147
2021-10-27,224
2021-10-28,230
2021-10-29,169
2021-10-30,202
2021-10-31,111
2021-11-01,176
2021-11-02,157
2021-11-03,193
2021-11-04,268
2021-11-05,218
2021-11-06,256
2021-11-07,337
2021-11-08,254
2021-11-09,204
2021-11-10,286
2021-11-11,300
2021-11-12,343
2021-11-13,496
2021-11-14,334
2021-11-15,363
2021-11-16,376
2021-11-17,300
2021-11-18,466
2021-11-19,342
2021-11-20,482
2021-11-21,305
2021-11-22,355
2021-11-23,428
2021-11-24,644
2021-11-25,524
2021-11-26,464
2021-11-27,541
2021-11-28,538
2021-11-29,515
2021-11-30,696
2021-12-01,576
2021-12-02,727
2021-12-03,924
2021-12-04,755
2021-12-05,690
2021-12-06,913
2021-12-07,538
2021-12-08,656
