date,region,count-nombre
2021-02-25,AB,<20
2021-02-25,BC,<20
2021-02-25,MB,<20
2021-02-25,NB,<20
2021-02-25,NL,<20
2021-02-25,NT,<20
2021-02-25,NS,<20
2021-02-25,NU,<20
2021-02-25,ON,124
2021-02-25,PE,<20
2021-02-25,QC,21
2021-02-25,SK,<20
2021-02-25,YT,<20
2021-02-25,npts-ptso,<20
2021-02-26,AB,<20
2021-02-26,BC,<20
2021-02-26,MB,<20
2021-02-26,NB,<20
2021-02-26,NL,<20
2021-02-26,NT,<20
2021-02-26,NS,<20
2021-02-26,NU,<20
2021-02-26,ON,117
2021-02-26,PE,<20
2021-02-26,QC,23
2021-02-26,SK,<20
2021-02-26,YT,<20
2021-02-26,npts-ptso,<20
2021-02-27,AB,<20
2021-02-27,BC,<20
2021-02-27,MB,<20
2021-02-27,NB,<20
2021-02-27,NL,31
2021-02-27,NT,<20
2021-02-27,NS,<20
2021-02-27,NU,<20
2021-02-27,ON,106
2021-02-27,PE,<20
2021-02-27,QC,22
2021-02-27,SK,<20
2021-02-27,YT,<20
2021-02-27,npts-ptso,<20
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,24
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,84
2021-02-28,PE,<20
2021-02-28,QC,20
2021-02-28,SK,<20
2021-02-28,YT,<20
2021-02-28,npts-ptso,<20
2021-03-01,AB,<20
2021-03-01,BC,<20
2021-03-01,MB,<20
2021-03-01,NB,<20
2021-03-01,NL,<20
2021-03-01,NT,<20
2021-03-01,NS,<20
2021-03-01,NU,<20
2021-03-01,ON,119
2021-03-01,PE,<20
2021-03-01,QC,<20
2021-03-01,SK,<20
2021-03-01,YT,<20
2021-03-01,npts-ptso,<20
2021-03-02,AB,<20
2021-03-02,BC,<20
2021-03-02,MB,<20
2021-03-02,NB,<20
2021-03-02,NL,<20
2021-03-02,NT,<20
2021-03-02,NS,<20
2021-03-02,NU,<20
2021-03-02,ON,144
2021-03-02,PE,<20
2021-03-02,QC,25
2021-03-02,SK,20
2021-03-02,YT,<20
2021-03-02,npts-ptso,<20
2021-03-03,AB,<20
2021-03-03,BC,<20
2021-03-03,MB,<20
2021-03-03,NB,<20
2021-03-03,NL,<20
2021-03-03,NT,<20
2021-03-03,NS,<20
2021-03-03,NU,<20
2021-03-03,ON,155
2021-03-03,PE,<20
2021-03-03,QC,26
2021-03-03,SK,<20
2021-03-03,YT,<20
2021-03-03,npts-ptso,<20
2021-03-04,AB,<20
2021-03-04,BC,<20
2021-03-04,MB,<20
2021-03-04,NB,<20
2021-03-04,NL,<20
2021-03-04,NT,<20
2021-03-04,NS,<20
2021-03-04,NU,<20
2021-03-04,ON,139
2021-03-04,PE,<20
2021-03-04,QC,<20
2021-03-04,SK,<20
2021-03-04,YT,<20
2021-03-04,npts-ptso,<20
2021-03-05,AB,<20
2021-03-05,BC,<20
2021-03-05,MB,<20
2021-03-05,NB,<20
2021-03-05,NL,<20
2021-03-05,NT,<20
2021-03-05,NS,<20
2021-03-05,NU,<20
2021-03-05,ON,162
2021-03-05,PE,<20
2021-03-05,QC,29
2021-03-05,SK,<20
2021-03-05,YT,<20
2021-03-05,npts-ptso,<20
2021-03-06,AB,<20
2021-03-06,BC,<20
2021-03-06,MB,<20
2021-03-06,NB,<20
2021-03-06,NL,<20
2021-03-06,NT,<20
2021-03-06,NS,<20
2021-03-06,NU,<20
2021-03-06,ON,146
2021-03-06,PE,<20
2021-03-06,QC,<20
2021-03-06,SK,<20
2021-03-06,YT,<20
2021-03-06,npts-ptso,<20
2021-03-07,AB,<20
2021-03-07,BC,<20
2021-03-07,MB,<20
2021-03-07,NB,<20
2021-03-07,NL,<20
2021-03-07,NT,<20
2021-03-07,NS,<20
2021-03-07,NU,<20
2021-03-07,ON,119
