date,os-se,count-nombre
2021-02-25,android,3104
2021-02-25,ios,4844
2021-02-26,android,3261
2021-02-26,ios,4929
2021-02-27,android,2902
2021-02-27,ios,4730
2021-02-28,android,2935
2021-02-28,ios,4670
2021-03-01,android,2922
2021-03-01,ios,4457
2021-03-02,android,2615
2021-03-02,ios,4474
2021-03-03,android,2704
2021-03-03,ios,4423
2021-03-04,android,3005
2021-03-04,ios,4433
2021-03-05,android,2991
2021-03-05,ios,4800
2021-03-06,android,2686
2021-03-06,ios,4398
2021-03-07,android,2365
2021-03-07,ios,3997
2021-03-08,android,2348
2021-03-08,ios,3756
2021-03-09,android,2466
2021-03-09,ios,4077
2021-03-10,android,2433
2021-03-10,ios,4214
2021-03-11,android,2352
2021-03-11,ios,4158
2021-03-12,android,2734
2021-03-12,ios,4358
2021-03-13,android,2568
2021-03-13,ios,4416
2021-03-14,android,2783
2021-03-14,ios,3987
2021-03-15,android,2795
2021-03-15,ios,3751
2021-03-16,android,2887
2021-03-16,ios,4135
2021-03-17,android,3349
2021-03-17,ios,4750
2021-03-18,android,3164
2021-03-18,ios,4592
2021-03-19,android,2881
2021-03-19,ios,4317
2021-03-20,android,2772
2021-03-20,ios,4386
2021-03-21,android,2558
2021-03-21,ios,3792
2021-03-22,android,2679
2021-03-22,ios,3522
2021-03-23,android,4262
2021-03-23,ios,3793
2021-03-24,android,3418
2021-03-24,ios,3999
2021-03-25,android,3213
2021-03-25,ios,4016
2021-03-26,android,2929
2021-03-26,ios,4150
2021-03-27,android,2775
2021-03-27,ios,4143
2021-03-28,android,2670
2021-03-28,ios,3927
2021-03-29,android,2891
2021-03-29,ios,3753
2021-03-30,android,2859
2021-03-30,ios,4092
2021-03-31,android,3140
2021-03-31,ios,4283
2021-04-01,android,2985
2021-04-01,ios,4918
2021-04-02,android,2878
2021-04-02,ios,4519
2021-04-03,android,2690
2021-04-03,ios,3571
2021-04-04,android,2534
2021-04-04,ios,3597
2021-04-05,android,2771
2021-04-05,ios,3285
2021-04-06,android,3026
2021-04-06,ios,4228
2021-04-07,android,3043
2021-04-07,ios,4462
2021-04-08,android,3339
2021-04-08,ios,4642
2021-04-09,android,2319
2021-04-09,ios,4224
2021-04-10,android,2107
2021-04-10,ios,4073
2021-04-11,android,2882
2021-04-11,ios,4361
2021-04-12,android,2769
2021-04-12,ios,4179
2021-04-13,android,2467
2021-04-13,ios,4292
2021-04-14,android,2333
2021-04-14,ios,4115
2021-04-15,android,2253
2021-04-15,ios,4360
2021-04-16,android,2437
2021-04-16,ios,4500
2021-04-17,android,2116
2021-04-17,ios,3907
