date,count
2021-02-24,<20
2021-02-25,7885
2021-02-26,8126
2021-02-27,7577
2021-02-28,7563
2021-03-01,7345
2021-03-02,7040
2021-03-03,7078
2021-03-04,7389
2021-03-05,7745
2021-03-06,7042
2021-03-07,6319
2021-03-08,6070
2021-03-09,6512
2021-03-10,6597
2021-03-11,6473
2021-03-12,7046
2021-03-13,6944
2021-03-14,6732
2021-03-15,6504
2021-03-16,6975
2021-03-17,8056
2021-03-18,7711
2021-03-19,7148
2021-03-20,7113
2021-03-21,6313
2021-03-22,6153
2021-03-23,7989
2021-03-24,7357
2021-03-25,7159
2021-03-26,7020
2021-03-27,6857
