date,action,count
2021-02-24,turn_on,<20
2021-02-24,turn_off,<20
2021-02-25,turn_on,3999248
2021-02-25,turn_off,232
2021-02-26,turn_on,4061766
2021-02-26,turn_off,276
2021-02-27,turn_on,4829197
2021-02-27,turn_off,232
2021-02-28,turn_on,4399911
2021-02-28,turn_off,214
2021-03-01,turn_on,4127116
2021-03-01,turn_off,245
2021-03-02,turn_on,4098659
2021-03-02,turn_off,234
2021-03-03,turn_on,4110417
2021-03-03,turn_off,219
2021-03-04,turn_on,4121910
2021-03-04,turn_off,239
2021-03-05,turn_on,4194244
2021-03-05,turn_off,248
2021-03-06,turn_on,4958200
2021-03-06,turn_off,221
2021-03-07,turn_on,4436650
2021-03-07,turn_off,219
2021-03-08,turn_on,4211626
2021-03-08,turn_off,218
2021-03-09,turn_on,4231141
2021-03-09,turn_off,228
2021-03-10,turn_on,4251438
2021-03-10,turn_off,221
2021-03-11,turn_on,4236369
2021-03-11,turn_off,203
2021-03-12,turn_on,4301734
2021-03-12,turn_off,246
2021-03-13,turn_on,5162384
2021-03-13,turn_off,399
2021-03-14,turn_on,4492337
2021-03-14,turn_off,351
2021-03-15,turn_on,4237332
2021-03-15,turn_off,391
2021-03-16,turn_on,4300113
2021-03-16,turn_off,376
2021-03-17,turn_on,4371317
2021-03-17,turn_off,431
2021-03-18,turn_on,4306967
2021-03-18,turn_off,458
2021-03-19,turn_on,4293949
2021-03-19,turn_off,411
2021-03-20,turn_on,4162178
2021-03-20,turn_off,375
2021-03-21,turn_on,4041160
2021-03-21,turn_off,322
2021-03-22,turn_on,4053296
2021-03-22,turn_off,328
2021-03-23,turn_on,4110846
2021-03-23,turn_off,333
2021-03-24,turn_on,4087029
2021-03-24,turn_off,376
2021-03-25,turn_on,4056678
2021-03-25,turn_off,274
