date,action,count
2021-02-25,off,<20
2021-02-25,on,53
2021-02-26,off,<20
2021-02-26,on,55
2021-02-27,off,<20
2021-02-27,on,39
2021-02-28,off,<20
2021-02-28,on,39
2021-03-01,off,<20
2021-03-01,on,37
2021-03-02,off,<20
2021-03-02,on,34
2021-03-03,off,<20
2021-03-03,on,34
2021-03-04,off,<20
2021-03-04,on,60
2021-03-05,off,<20
2021-03-05,on,37
2021-03-06,off,<20
2021-03-06,on,50
2021-03-07,off,<20
2021-03-07,on,27
2021-03-08,off,<20
2021-03-08,on,23
2021-03-09,off,<20
2021-03-09,on,22
2021-03-10,off,<20
2021-03-10,on,42
2021-03-11,off,<20
2021-03-11,on,28
2021-03-12,off,<20
2021-03-12,on,33
2021-03-13,off,<20
2021-03-13,on,59
2021-03-14,off,<20
2021-03-14,on,67
2021-03-15,off,<20
2021-03-15,on,51
2021-03-16,off,<20
2021-03-16,on,33
2021-03-17,off,<20
2021-03-17,on,45
2021-03-18,off,<20
2021-03-18,on,35
2021-03-19,off,<20
2021-03-19,on,43
2021-03-20,off,<20
2021-03-20,on,49
2021-03-21,off,<20
2021-03-21,on,50
2021-03-22,off,<20
2021-03-22,on,60
2021-03-23,off,<20
2021-03-23,on,57
2021-03-24,off,<20
2021-03-24,on,48
2021-03-25,off,<20
2021-03-25,on,65
2021-03-26,off,<20
2021-03-26,on,80
2021-03-27,off,<20
2021-03-27,on,70
2021-03-28,off,<20
2021-03-28,on,85
2021-03-29,off,<20
2021-03-29,on,102
2021-03-30,off,<20
2021-03-30,on,80
2021-03-31,off,<20
2021-03-31,on,125
2021-04-01,off,<20
2021-04-01,on,104
2021-04-02,off,<20
2021-04-02,on,122
2021-04-03,off,<20
2021-04-03,on,132
2021-04-04,off,<20
2021-04-04,on,182
2021-04-05,off,<20
2021-04-05,on,173
2021-04-06,off,<20
2021-04-06,on,266
2021-04-07,off,<20
2021-04-07,on,368
2021-04-08,off,<20
2021-04-08,on,499
2021-04-09,off,<20
2021-04-09,on,525
2021-04-10,off,<20
2021-04-10,on,759
2021-04-11,off,<20
2021-04-11,on,2589
2021-04-12,off,63
2021-04-12,on,97472
2021-04-13,off,258
2021-04-13,on,624909
2021-04-14,off,351
2021-04-14,on,173952
2021-04-15,off,300
2021-04-15,on,27402
