date,appos,count
2021-02-24,android,<20
2021-02-24,ios,<20
2021-02-25,android,<20
2021-02-25,ios,<20
2021-02-26,android,<20
2021-02-26,ios,<20
2021-02-27,android,<20
2021-02-27,ios,<20
2021-02-28,android,<20
2021-02-28,ios,<20
2021-03-01,android,<20
2021-03-01,ios,<20
2021-03-02,android,<20
2021-03-02,ios,<20
2021-03-03,android,<20
2021-03-03,ios,<20
2021-03-04,android,<20
2021-03-04,ios,<20
2021-03-05,android,<20
2021-03-05,ios,<20
2021-03-06,android,<20
2021-03-06,ios,<20
2021-03-07,android,<20
2021-03-07,ios,<20
2021-03-08,android,<20
2021-03-08,ios,<20
2021-03-09,android,<20
2021-03-09,ios,<20
2021-03-10,android,<20
2021-03-10,ios,<20
2021-03-11,android,<20
2021-03-11,ios,<20
2021-03-12,android,<20
2021-03-12,ios,<20
2021-03-13,android,<20
2021-03-13,ios,<20
2021-03-14,android,<20
2021-03-14,ios,<20
2021-03-15,android,<20
2021-03-15,ios,<20
2021-03-16,android,<20
2021-03-16,ios,<20
2021-03-17,android,<20
2021-03-17,ios,<20
2021-03-18,android,<20
2021-03-18,ios,<20
2021-03-19,android,<20
2021-03-19,ios,<20
2021-03-20,android,<20
2021-03-20,ios,<20
2021-03-21,android,<20
2021-03-21,ios,<20
2021-03-22,android,<20
2021-03-22,ios,<20
2021-03-23,android,<20
2021-03-23,ios,<20
2021-03-24,android,<20
2021-03-24,ios,<20
2021-03-25,android,<20
2021-03-25,ios,<20
