date,count
2021-02-24,<20
2021-02-25,<20
2021-02-26,<20
2021-02-27,<20
2021-02-28,<20
2021-03-01,<20
2021-03-02,<20
2021-03-03,<20
2021-03-04,<20
2021-03-05,<20
2021-03-06,<20
2021-03-07,<20
2021-03-08,<20
2021-03-09,<20
2021-03-10,<20
2021-03-11,<20
2021-03-12,<20
2021-03-13,<20
2021-03-14,<20
2021-03-15,<20
2021-03-16,<20
2021-03-17,<20
2021-03-18,<20
2021-03-19,<20
2021-03-20,<20
2021-03-21,<20
2021-03-22,<20
2021-03-23,<20
2021-03-24,<20
2021-03-25,<20
2021-03-26,23
2021-03-27,182
2021-03-28,379
