date,count-nombre
2020-10-03,55
2020-10-04,45
2020-10-05,57
2020-10-06,135
2020-10-07,107
2020-10-08,115
2020-10-09,99
2020-10-10,83
2020-10-11,62
2020-10-12,75
2020-10-13,104
2020-10-14,85
2020-10-15,112
2020-10-16,130
2020-10-17,94
2020-10-18,78
2020-10-19,128
2020-10-20,140
2020-10-21,136
2020-10-22,125
2020-10-23,96
2020-10-24,105
2020-10-25,85
2020-10-26,98
2020-10-27,101
2020-10-28,111
2020-10-29,84
2020-10-30,88
2020-10-31,118
2020-11-01,126
2020-11-02,104
2020-11-03,141
2020-11-04,108
2020-11-05,122
2020-11-06,120
2020-11-07,127
2020-11-08,118
2020-11-09,128
2020-11-10,193
2020-11-11,189
2020-11-12,186
2020-11-13,181
2020-11-14,176
2020-11-15,157
2020-11-16,166
2020-11-17,162
2020-11-18,168
2020-11-19,161
2020-11-20,195
2020-11-21,178
2020-11-22,172
2020-11-23,177
2020-11-24,168
2020-11-25,163
2020-11-26,210
2020-11-27,189
2020-11-28,188
2020-11-29,172
2020-11-30,207
2020-12-01,186
2020-12-02,194
2020-12-03,169
2020-12-04,206
2020-12-05,194
2020-12-06,174
2020-12-07,186
2020-12-08,153
2020-12-09,220
2020-12-10,230
2020-12-11,171
2020-12-12,186
2020-12-13,175
2020-12-14,197
2020-12-15,193
2020-12-16,198
2020-12-17,235
2020-12-18,223
2020-12-19,240
2020-12-20,231
2020-12-21,225
2020-12-22,251
2020-12-23,229
2020-12-24,217
2020-12-25,210
2020-12-26,248
2020-12-27,262
2020-12-28,238
2020-12-29,347
2020-12-30,346
2020-12-31,307
2021-01-01,330
2021-01-02,290
2021-01-03,338
2021-01-04,346
2021-01-05,305
2021-01-06,320
2021-01-07,333
2021-01-08,295
2021-01-09,297
2021-01-10,235
2021-01-11,255
2021-01-12,246
2021-01-13,226
2021-01-14,279
2021-01-15,233
2021-01-16,262
2021-01-17,234
2021-01-18,220
2021-01-19,205
2021-01-20,208
2021-01-21,199
2021-01-22,202
2021-01-23,155
2021-01-24,147
2021-01-25,147
2021-01-26,143
2021-01-27,161
2021-01-28,154
2021-01-29,175
2021-01-30,131
2021-01-31,132
2021-02-01,116
2021-02-02,117
2021-02-03,124
2021-02-04,132
2021-02-05,125
2021-02-06,112
2021-02-07,105
2021-02-08,108
2021-02-09,131
2021-02-10,107
2021-02-11,106
2021-02-12,147
2021-02-13,116
2021-02-14,93
2021-02-15,95
2021-02-16,102
2021-02-17,118
2021-02-18,150
2021-02-19,132
2021-02-20,92
2021-02-21,101
2021-02-22,117
2021-02-23,95
2021-02-24,119
2021-02-25,142
2021-02-26,124
2021-02-27,86
2021-02-28,96
2021-03-01,113
2021-03-02,108
2021-03-03,128
2021-03-04,126
2021-03-05,128
2021-03-06,99
2021-03-07,74
2021-03-08,116
2021-03-09,139
2021-03-10,127
2021-03-11,115
2021-03-12,172
2021-03-13,147
2021-03-14,116
2021-03-15,104
2021-03-16,145
2021-03-17,174
2021-03-18,160
2021-03-19,140
2021-03-20,149
2021-03-21,134
2021-03-22,204
2021-03-23,168
2021-03-24,210
2021-03-25,174
2021-03-26,201
2021-03-27,204
2021-03-28,194
2021-03-29,240
2021-03-30,233
2021-03-31,257
2021-04-01,262
2021-04-02,270
2021-04-03,305
2021-04-04,281
2021-04-05,292
2021-04-06,276
2021-04-07,341
2021-04-08,377
2021-04-09,353
2021-04-10,420
2021-04-11,371
2021-04-12,375
2021-04-13,395
2021-04-14,424
2021-04-15,394
2021-04-16,334
2021-04-17,360
2021-04-18,350
2021-04-19,299
2021-04-20,321
2021-04-21,326
2021-04-22,363
2021-04-23,349
2021-04-24,313
2021-04-25,258
2021-04-26,287
2021-04-27,288
2021-04-28,297
2021-04-29,284
2021-04-30,249
2021-05-01,283
2021-05-02,269
2021-05-03,209
2021-05-04,213
2021-05-05,277
2021-05-06,263
2021-05-07,233
2021-05-08,236
2021-05-09,198
2021-05-10,184
2021-05-11,216
2021-05-12,207
2021-05-13,213
2021-05-14,218
2021-05-15,181
2021-05-16,127
2021-05-17,177
2021-05-18,150
2021-05-19,171
2021-05-20,145
2021-05-21,146
2021-05-22,162
2021-05-23,137
2021-05-24,113
2021-05-25,84
2021-05-26,108
2021-05-27,104
2021-05-28,88
2021-05-29,74
2021-05-30,63
2021-05-31,57
2021-06-01,85
