date,region,count-nombre
2020-10-03,AB,<20
2020-10-03,BC,<20
2020-10-03,MB,<20
2020-10-03,NB,<20
2020-10-03,NL,<20
2020-10-03,NT,<20
2020-10-03,NS,<20
2020-10-03,NU,<20
2020-10-03,ON,55
2020-10-03,PE,<20
2020-10-03,QC,<20
2020-10-03,SK,<20
2020-10-03,YT,<20
2020-10-03,npts-ptso,<20
2020-10-04,AB,<20
2020-10-04,BC,<20
2020-10-04,MB,<20
2020-10-04,NB,<20
2020-10-04,NL,<20
2020-10-04,NT,<20
2020-10-04,NS,<20
2020-10-04,NU,<20
2020-10-04,ON,45
2020-10-04,PE,<20
2020-10-04,QC,<20
2020-10-04,SK,<20
2020-10-04,YT,<20
2020-10-04,npts-ptso,<20
2020-10-05,AB,<20
2020-10-05,BC,<20
2020-10-05,MB,<20
2020-10-05,NB,<20
2020-10-05,NL,<20
2020-10-05,NT,<20
2020-10-05,NS,<20
2020-10-05,NU,<20
2020-10-05,ON,39
2020-10-05,PE,<20
2020-10-05,QC,<20
2020-10-05,SK,<20
2020-10-05,YT,<20
2020-10-05,npts-ptso,<20
2020-10-06,AB,<20
2020-10-06,BC,<20
2020-10-06,MB,<20
2020-10-06,NB,<20
2020-10-06,NL,<20
2020-10-06,NT,<20
2020-10-06,NS,<20
2020-10-06,NU,<20
2020-10-06,ON,37
2020-10-06,PE,<20
2020-10-06,QC,96
2020-10-06,SK,<20
2020-10-06,YT,<20
2020-10-06,npts-ptso,<20
2020-10-07,AB,<20
2020-10-07,BC,<20
2020-10-07,MB,<20
2020-10-07,NB,<20
2020-10-07,NL,<20
2020-10-07,NT,<20
2020-10-07,NS,<20
2020-10-07,NU,<20
2020-10-07,ON,47
2020-10-07,PE,<20
2020-10-07,QC,54
2020-10-07,SK,<20
2020-10-07,YT,<20
2020-10-07,npts-ptso,<20
2020-10-08,AB,<20
2020-10-08,BC,<20
2020-10-08,MB,<20
2020-10-08,NB,<20
2020-10-08,NL,<20
2020-10-08,NT,<20
2020-10-08,NS,<20
2020-10-08,NU,<20
2020-10-08,ON,53
2020-10-08,PE,<20
2020-10-08,QC,57
2020-10-08,SK,<20
2020-10-08,YT,<20
2020-10-08,npts-ptso,<20
2020-10-09,AB,<20
2020-10-09,BC,<20
2020-10-09,MB,<20
2020-10-09,NB,<20
2020-10-09,NL,<20
2020-10-09,NT,<20
2020-10-09,NS,<20
2020-10-09,NU,<20
2020-10-09,ON,55
2020-10-09,PE,<20
2020-10-09,QC,44
2020-10-09,SK,<20
2020-10-09,YT,<20
2020-10-09,npts-ptso,<20
2020-10-10,AB,<20
2020-10-10,BC,<20
2020-10-10,MB,<20
2020-10-10,NB,<20
2020-10-10,NL,<20
2020-10-10,NT,<20
2020-10-10,NS,<20
2020-10-10,NU,<20
2020-10-10,ON,47
2020-10-10,PE,<20
2020-10-10,QC,34
2020-10-10,SK,<20
2020-10-10,YT,<20
2020-10-10,npts-ptso,<20
2020-10-11,AB,<20
2020-10-11,BC,<20
2020-10-11,MB,<20
2020-10-11,NB,<20
2020-10-11,NL,<20
2020-10-11,NT,<20
2020-10-11,NS,<20
2020-10-11,NU,<20
2020-10-11,ON,39
2020-10-11,PE,<20
2020-10-11,QC,23
2020-10-11,SK,<20
2020-10-11,YT,<20
2020-10-11,npts-ptso,<20
2020-10-12,AB,<20
2020-10-12,BC,<20
2020-10-12,MB,<20
2020-10-12,NB,<20
2020-10-12,NL,<20
2020-10-12,NT,<20
2020-10-12,NS,<20
2020-10-12,NU,<20
2020-10-12,ON,37
2020-10-12,PE,<20
2020-10-12,QC,36
2020-10-12,SK,<20
2020-10-12,YT,<20
2020-10-12,npts-ptso,<20
2020-10-13,AB,<20
2020-10-13,BC,<20
2020-10-13,MB,<20
