date,appos,appversion,count
2021-02-25,android,235,<20
2021-02-25,android,239,<20
2021-02-25,android,241,<20
2021-02-25,android,244,<20
2021-02-25,ios,238,<20
2021-02-25,ios,239,<20
2021-02-25,ios,241,<20
2021-02-25,ios,244,<20
2021-02-26,android,235,<20
2021-02-26,android,239,<20
2021-02-26,android,241,<20
2021-02-26,android,246,1830.0
2021-02-26,android,248,22.0
2021-02-26,android,252,<20
2021-02-26,ios,238,<20
2021-02-26,ios,239,<20
2021-02-26,ios,241,<20
2021-02-26,ios,244,<20
2021-02-26,ios,246,13539.0
2021-02-26,ios,248,<20
2021-02-27,android,235,<20
2021-02-27,android,241,<20
2021-02-27,android,246,255292.0
2021-02-27,android,248,2200.0
2021-02-27,android,252,272.0
2021-02-27,ios,238,<20
2021-02-27,ios,241,<20
2021-02-27,ios,246,1304159.0
2021-02-27,ios,248,638.0
2021-02-27,ios,252,39.0
2021-02-28,android,235,<20
2021-02-28,android,241,<20
2021-02-28,android,246,467215.0
2021-02-28,android,248,4851.0
2021-02-28,android,252,548.0
2021-02-28,ios,238,<20
2021-02-28,ios,241,<20
2021-02-28,ios,246,2014635.0
2021-02-28,ios,248,7570.0
2021-02-28,ios,252,76.0
2021-03-01,android,235,<20
2021-03-01,android,241,<20
2021-03-01,android,246,546733.0
2021-03-01,android,248,6985.0
2021-03-01,android,252,658.0
2021-03-01,ios,238,<20
2021-03-01,ios,241,<20
2021-03-01,ios,246,2213454.0
2021-03-01,ios,248,12833.0
2021-03-01,ios,252,126.0
2021-03-02,android,246,586010.0
2021-03-02,android,248,9171.0
2021-03-02,android,252,843.0
2021-03-02,ios,241,<20
2021-03-02,ios,246,2257373.0
2021-03-02,ios,248,16206.0
2021-03-02,ios,252,164.0
2021-03-03,android,241,<20
2021-03-03,android,246,602662.0
2021-03-03,android,248,12162.0
2021-03-03,android,252,857.0
2021-03-03,ios,241,<20
2021-03-03,ios,246,2292522.0
2021-03-03,ios,248,19590.0
2021-03-03,ios,252,185.0
2021-03-04,android,241,<20
2021-03-04,android,246,603957.0
2021-03-04,android,247,100.0
2021-03-04,android,248,17345.0
2021-03-04,android,252,984.0
2021-03-04,ios,233,<20
2021-03-04,ios,241,<20
2021-03-04,ios,246,2316140.0
2021-03-04,ios,248,24609.0
2021-03-04,ios,252,207.0
2021-03-05,android,246,593819.0
2021-03-05,android,247,<20
2021-03-05,android,248,32216.0
2021-03-05,android,252,1064.0
2021-03-05,ios,241,<20
2021-03-05,ios,246,2323707.0
2021-03-05,ios,247,<20
2021-03-05,ios,248,36978.0
2021-03-05,ios,252,236.0
2021-03-06,android,246,485804.0
2021-03-06,android,248,149733.0
2021-03-06,android,252,951.0
2021-03-06,ios,241,<20
2021-03-06,ios,246,2212403.0
2021-03-06,ios,247,<20
2021-03-06,ios,248,157862.0
2021-03-06,ios,252,256.0
2021-03-07,android,246,194316.0
2021-03-07,android,248,456636.0
2021-03-07,android,252,723.0
2021-03-07,ios,241,<20
2021-03-07,ios,246,780541.0
2021-03-07,ios,247,<20
2021-03-07,ios,248,1591371.0
2021-03-07,ios,252,246.0
2021-03-08,android,246,89715.0
2021-03-08,android,248,574142.0
2021-03-08,android,252,686.0
2021-03-08,ios,241,<20
2021-03-08,ios,246,269767.0
2021-03-08,ios,247,<20
2021-03-08,ios,248,2113406.0
2021-03-08,ios,252,237.0
2021-03-09,android,246,41081.0
2021-03-09,android,247,<20
2021-03-09,android,248,629093.0
2021-03-09,android,252,860.0
2021-03-09,ios,241,<20
2021-03-09,ios,246,165684.0
2021-03-09,ios,248,2227126.0
2021-03-09,ios,252,289.0
2021-03-10,android,246,18915.0
2021-03-10,android,248,657353.0
2021-03-10,android,252,974.0
2021-03-10,ios,241,<20
2021-03-10,ios,246,130813.0
2021-03-10,ios,248,2270127.0
2021-03-10,ios,252,350.0
2021-03-11,android,246,12556.0
2021-03-11,android,248,666426.0
2021-03-11,android,252,1399.0
2021-03-11,ios,241,<20
2021-03-11,ios,246,100800.0
2021-03-11,ios,248,2306317.0
2021-03-11,ios,252,431.0
2021-03-12,android,246,10058.0
2021-03-12,android,248,666452.0
2021-03-12,android,252,7740.0
2021-03-12,ios,241,<20
2021-03-12,ios,246,81792.0
2021-03-12,ios,248,2328962.0
2021-03-12,ios,252,2205.0
2021-03-13,android,246,8349.0
2021-03-13,android,248,531333.0
2021-03-13,android,252,139438.0
2021-03-13,ios,241,<20
2021-03-13,ios,246,69799.0
2021-03-13,ios,248,2252216.0
2021-03-13,ios,252,91336.0
2021-03-14,android,246,7317.0
2021-03-14,android,248,190224.0
2021-03-14,android,252,480702.0
2021-03-14,ios,241,<20
2021-03-14,ios,246,61375.0
2021-03-14,ios,248,639700.0
2021-03-14,ios,252,1714501.0
2021-03-15,android,246,6688.0
2021-03-15,android,248,92792.0
2021-03-15,android,252,582932.0
2021-03-15,ios,241,<20
2021-03-15,ios,246,54902.0
2021-03-15,ios,248,241241.0
2021-03-15,ios,252,2126308.0
2021-03-16,android,246,5955.0
2021-03-16,android,248,43200.0
2021-03-16,android,252,634700.0
2021-03-16,ios,241,<20
2021-03-16,ios,246,49335.0
2021-03-16,ios,248,164519.0
2021-03-16,ios,252,2213223.0
2021-03-17,android,246,5487.0
2021-03-17,android,248,20962.0
2021-03-17,android,252,660030.0
2021-03-17,ios,241,<20
2021-03-17,ios,246,44772.0
2021-03-17,ios,248,127585.0
2021-03-17,ios,252,2258964.0
2021-03-18,android,246,5105.0
2021-03-18,android,248,14572.0
2021-03-18,android,252,668638.0
2021-03-18,ios,241,<20
2021-03-18,ios,246,40898.0
2021-03-18,ios,248,97346.0
2021-03-18,ios,252,2295607.0
2021-03-19,android,246,4699.0
2021-03-19,android,248,11836.0
2021-03-19,android,252,671524.0
2021-03-19,android,267,<20
2021-03-19,ios,241,<20
2021-03-19,ios,246,37732.0
2021-03-19,ios,248,79799.0
2021-03-19,ios,252,2318667.0
2021-03-20,android,246,4426.0
2021-03-20,android,248,9882.0
2021-03-20,android,252,668672.0
2021-03-20,ios,241,<20
2021-03-20,ios,246,34624.0
2021-03-20,ios,248,67851.0
2021-03-20,ios,252,2331701.0
2021-03-21,android,246,4086.0
2021-03-21,android,248,8563.0
2021-03-21,android,252,667798.0
2021-03-21,ios,241,<20
2021-03-21,ios,246,32365.0
2021-03-21,ios,248,59370.0
2021-03-21,ios,252,2343343.0
2021-03-22,android,246,3873.0
2021-03-22,android,248,8269.0
2021-03-22,android,252,675802.0
2021-03-22,ios,241,<20
2021-03-22,ios,246,30633.0
2021-03-22,ios,248,53029.0
2021-03-22,ios,252,2356691.0
2021-03-23,android,246,3797.0
2021-03-23,android,248,7583.0
2021-03-23,android,252,683874.0
2021-03-23,ios,241,<20
2021-03-23,ios,246,28919.0
2021-03-23,ios,248,47581.0
2021-03-23,ios,252,2366373.0
2021-03-24,android,246,3584.0
2021-03-24,android,248,6694.0
2021-03-24,android,252,688178.0
2021-03-24,android,265,97.0
2021-03-24,ios,241,<20
2021-03-24,ios,246,27235.0
2021-03-24,ios,248,43039.0
2021-03-24,ios,252,2373551.0
2021-03-25,android,246,3486.0
2021-03-25,android,248,6360.0
2021-03-25,android,252,696399.0
2021-03-25,android,266,95.0
2021-03-25,android,267,102.0
2021-03-25,ios,241,<20
2021-03-25,ios,246,25734.0
2021-03-25,ios,248,39192.0
2021-03-25,ios,252,2379820.0
2021-03-25,ios,267,<20
