date,number_of_checks,count
2021-02-24,1-6,<20
2021-02-24,7-12,<20
2021-02-24,13-30,<20
2021-02-24,30+,<20
2021-02-25,1-6,5612.0
2021-02-25,7-12,616.0
2021-02-25,13-30,22.0
2021-02-25,30+,<20
2021-02-26,1-6,6489.0
2021-02-26,7-12,715.0
2021-02-26,13-30,23.0
2021-02-26,30+,<20
2021-02-27,1-6,5331.0
2021-02-27,7-12,526.0
2021-02-27,13-30,21.0
2021-02-27,30+,<20
2021-02-28,1-6,4027.0
2021-02-28,7-12,381.0
2021-02-28,13-30,<20
2021-02-28,30+,<20
2021-03-01,1-6,4204.0
2021-03-01,7-12,428.0
2021-03-01,13-30,<20
2021-03-01,30+,<20
2021-03-02,1-6,5644.0
2021-03-02,7-12,618.0
2021-03-02,13-30,<20
2021-03-02,30+,<20
2021-03-03,1-6,19695.0
2021-03-03,7-12,4196.0
2021-03-03,13-30,24.0
2021-03-03,30+,<20
2021-03-04,1-6,760302.0
2021-03-04,7-12,314978.0
2021-03-04,13-30,97.0
2021-03-04,30+,<20
2021-03-05,1-6,2207414.0
2021-03-05,7-12,715423.0
2021-03-05,13-30,165.0
2021-03-05,30+,<20
2021-03-06,1-6,2201328.0
2021-03-06,7-12,714897.0
2021-03-06,13-30,111.0
2021-03-06,30+,<20
2021-03-07,1-6,2215494.0
2021-03-07,7-12,704455.0
2021-03-07,13-30,131.0
2021-03-07,30+,<20
2021-03-08,1-6,2186000.0
2021-03-08,7-12,745702.0
2021-03-08,13-30,122.0
2021-03-08,30+,<20
2021-03-09,1-6,2159335.0
2021-03-09,7-12,777156.0
2021-03-09,13-30,152.0
2021-03-09,30+,<20
2021-03-10,1-6,2174407.0
2021-03-10,7-12,767292.0
2021-03-10,13-30,130.0
2021-03-10,30+,<20
2021-03-11,1-6,2180373.0
2021-03-11,7-12,764811.0
2021-03-11,13-30,125.0
2021-03-11,30+,<20
2021-03-12,1-6,2184938.0
2021-03-12,7-12,766026.0
2021-03-12,13-30,112.0
2021-03-12,30+,<20
2021-03-13,1-6,2176434.0
2021-03-13,7-12,763846.0
2021-03-13,13-30,106.0
2021-03-13,30+,<20
2021-03-14,1-6,2165323.0
2021-03-14,7-12,771425.0
2021-03-14,13-30,108.0
2021-03-14,30+,<20
2021-03-15,1-6,2144313.0
2021-03-15,7-12,801361.0
2021-03-15,13-30,102.0
2021-03-15,30+,<20
2021-03-16,1-6,2104912.0
2021-03-16,7-12,839402.0
2021-03-16,13-30,109.0
2021-03-16,30+,<20
2021-03-17,1-6,2124862.0
2021-03-17,7-12,819119.0
2021-03-17,13-30,87.0
2021-03-17,30+,<20
2021-03-18,1-6,2133844.0
2021-03-18,7-12,810781.0
2021-03-18,13-30,96.0
2021-03-18,30+,<20
2021-03-19,1-6,2125302.0
2021-03-19,7-12,819372.0
2021-03-19,13-30,105.0
2021-03-19,30+,<20
2021-03-20,1-6,2112179.0
2021-03-20,7-12,821010.0
2021-03-20,13-30,84.0
2021-03-20,30+,<20
2021-03-21,1-6,2127866.0
2021-03-21,7-12,803229.0
2021-03-21,13-30,65.0
2021-03-21,30+,<20
2021-03-22,1-6,2148630.0
2021-03-22,7-12,796153.0
2021-03-22,13-30,76.0
2021-03-22,30+,<20
2021-03-23,1-6,2105840.0
2021-03-23,7-12,838322.0
2021-03-23,13-30,72.0
2021-03-23,30+,<20
2021-03-24,1-6,2117751.0
2021-03-24,7-12,833820.0
2021-03-24,13-30,82.0
2021-03-24,30+,<20
2021-03-25,1-6,2108663.0
2021-03-25,7-12,829268.0
2021-03-25,13-30,69.0
2021-03-25,30+,<20
