date,count
2021-01-01,<20
2021-01-02,<20
2021-01-03,<20
2021-01-04,<20
2021-01-05,<20
2021-01-06,<20
2021-01-07,<20
2021-01-08,<20
2021-01-09,<20
2021-01-10,<20
2021-01-11,<20
2021-01-12,<20
2021-01-13,<20
2021-01-14,<20
2021-01-15,<20
2021-01-16,<20
2021-01-17,<20
2021-01-18,<20
2021-01-19,<20
2021-01-20,<20
2021-01-21,<20
2021-01-22,<20
2021-01-23,<20
2021-01-24,<20
2021-01-25,<20
2021-01-26,<20
2021-01-27,<20
2021-01-28,<20
2021-01-29,<20
2021-01-30,<20
2021-01-31,<20
2021-02-01,<20
2021-02-02,<20
2021-02-03,<20
2021-02-04,<20
2021-02-05,<20
2021-02-06,<20
2021-02-07,<20
2021-02-08,<20
2021-02-09,<20
2021-02-10,<20
2021-02-11,<20
2021-02-12,<20
2021-02-13,<20
2021-02-14,<20
2021-02-15,<20
2021-02-16,<20
2021-02-17,<20
2021-02-18,<20
2021-02-19,<20
2021-02-20,<20
2021-02-21,<20
2021-02-22,<20
2021-02-23,<20
2021-02-24,<20
2021-02-25,181.0
2021-02-26,179.0
2021-02-27,180.0
2021-02-28,152.0
2021-03-01,166.0
2021-03-02,199.0
2021-03-03,205.0
2021-03-04,191.0
2021-03-05,219.0
2021-03-06,184.0
2021-03-07,157.0
2021-03-08,179.0
2021-03-09,230.0
2021-03-10,224.0
2021-03-11,239.0
2021-03-12,230.0
2021-03-13,208.0
2021-03-14,194.0
2021-03-15,203.0
2021-03-16,206.0
2021-03-17,257.0
2021-03-18,240.0
2021-03-19,205.0
2021-03-20,224.0
2021-03-21,264.0
2021-03-22,286.0
2021-03-23,250.0
2021-03-24,284.0
2021-03-25,289.0
