date,count
2021-01-01,<20
2021-01-02,<20
2021-01-03,<20
2021-01-04,<20
2021-01-05,<20
2021-01-06,<20
2021-01-07,<20
2021-01-08,<20
2021-01-09,<20
2021-01-10,<20
2021-01-11,<20
2021-01-12,<20
2021-01-13,<20
2021-01-14,<20
2021-01-15,<20
2021-01-16,<20
2021-01-17,<20
2021-01-18,<20
2021-01-19,<20
2021-01-20,<20
2021-01-21,<20
2021-01-22,<20
2021-01-23,<20
2021-01-24,<20
2021-01-25,<20
2021-01-26,<20
2021-01-27,<20
2021-01-28,<20
2021-01-29,<20
2021-01-30,<20
2021-01-31,<20
2021-02-01,<20
2021-02-02,<20
2021-02-03,<20
2021-02-04,<20
2021-02-05,<20
2021-02-06,<20
2021-02-07,<20
2021-02-08,<20
2021-02-09,<20
2021-02-10,<20
2021-02-11,<20
2021-02-12,<20
2021-02-13,<20
2021-02-14,<20
2021-02-15,<20
2021-02-16,<20
2021-02-17,<20
2021-02-18,<20
2021-02-19,<20
2021-02-20,<20
2021-02-21,<20
2021-02-22,<20
2021-02-23,<20
2021-02-24,<20
2021-02-25,104.0
2021-02-26,90.0
2021-02-27,78.0
2021-02-28,72.0
2021-03-01,86.0
2021-03-02,105.0
2021-03-03,102.0
2021-03-04,89.0
2021-03-05,90.0
2021-03-06,72.0
2021-03-07,71.0
2021-03-08,74.0
2021-03-09,105.0
2021-03-10,94.0
2021-03-11,81.0
2021-03-12,103.0
2021-03-13,117.0
2021-03-14,90.0
2021-03-15,92.0
2021-03-16,115.0
2021-03-17,135.0
2021-03-18,126.0
2021-03-19,111.0
2021-03-20,129.0
2021-03-21,115.0
2021-03-22,147.0
2021-03-23,135.0
2021-03-24,151.0
2021-03-25,119.0
