date,count
2021-02-24,<20
2021-02-25,181.0
2021-02-26,179.0
2021-02-27,180.0
2021-02-28,152.0
2021-03-01,166.0
2021-03-02,199.0
2021-03-03,205.0
2021-03-04,191.0
2021-03-05,219.0
2021-03-06,184.0
2021-03-07,157.0
2021-03-08,179.0
2021-03-09,230.0
2021-03-10,224.0
2021-03-11,239.0
2021-03-12,230.0
2021-03-13,208.0
2021-03-14,194.0
2021-03-15,203.0
2021-03-16,206.0
2021-03-17,257.0
2021-03-18,240.0
2021-03-19,205.0
2021-03-20,224.0
2021-03-21,264.0
2021-03-22,286.0
2021-03-23,250.0
2021-03-24,284.0
2021-03-25,289.0
