date,appos,appversion,count
2021-02-25,android,233,2926.0
2021-02-25,android,246,108.0
2021-02-25,android,248,<20
2021-02-25,android,252,<20
2021-02-25,ios,233,4701.0
2021-02-25,ios,246,116.0
2021-02-25,ios,248,<20
2021-02-26,android,233,2864.0
2021-02-26,android,246,331.0
2021-02-26,android,248,<20
2021-02-26,android,252,<20
2021-02-26,ios,233,4165.0
2021-02-26,ios,246,730.0
2021-02-26,ios,248,<20
2021-02-26,ios,252,<20
2021-02-27,android,233,984.0
2021-02-27,android,246,1863.0
2021-02-27,android,248,<20
2021-02-27,android,252,<20
2021-02-27,ios,233,1079.0
2021-02-27,ios,246,3620.0
2021-02-27,ios,248,<20
2021-02-27,ios,252,<20
2021-02-28,android,233,485.0
2021-02-28,android,246,2399.0
2021-02-28,android,248,<20
2021-02-28,android,252,<20
2021-02-28,ios,233,299.0
2021-02-28,ios,246,4354.0
2021-02-28,ios,248,<20
2021-02-28,ios,252,<20
2021-03-01,android,233,302.0
2021-03-01,android,246,2580.0
2021-03-01,android,248,<20
2021-03-01,android,252,<20
2021-03-01,ios,233,143.0
2021-03-01,ios,241,<20
2021-03-01,ios,246,4293.0
2021-03-01,ios,248,<20
2021-03-01,ios,252,<20
2021-03-02,android,233,173.0
2021-03-02,android,246,2385.0
2021-03-02,android,248,<20
2021-03-02,android,252,<20
2021-03-02,ios,233,153.0
2021-03-02,ios,246,4291.0
2021-03-02,ios,248,<20
2021-03-02,ios,252,<20
2021-03-03,android,233,138.0
2021-03-03,android,246,2506.0
2021-03-03,android,248,<20
2021-03-03,android,252,<20
2021-03-03,ios,233,109.0
2021-03-03,ios,246,4284.0
2021-03-03,ios,248,<20
2021-03-03,ios,252,<20
2021-03-04,android,233,107.0
2021-03-04,android,246,2641.0
2021-03-04,android,247,100.0
2021-03-04,android,248,103.0
2021-03-04,android,252,<20
2021-03-04,ios,233,95.0
2021-03-04,ios,246,4314.0
2021-03-04,ios,248,<20
2021-03-04,ios,252,<20
2021-03-05,android,233,93.0
2021-03-05,android,246,2195.0
2021-03-05,android,248,657.0
2021-03-05,android,252,<20
2021-03-05,ios,233,73.0
2021-03-05,ios,246,3564.0
2021-03-05,ios,248,1150.0
2021-03-05,ios,252,<20
2021-03-06,android,233,94.0
2021-03-06,android,246,718.0
2021-03-06,android,248,1833.0
2021-03-06,android,252,<20
2021-03-06,ios,233,64.0
2021-03-06,ios,246,758.0
2021-03-06,ios,248,3564.0
2021-03-06,ios,252,<20
2021-03-07,android,233,75.0
2021-03-07,android,246,352.0
2021-03-07,android,248,1891.0
2021-03-07,android,252,<20
2021-03-07,ios,233,59.0
2021-03-07,ios,246,170.0
2021-03-07,ios,248,3757.0
2021-03-07,ios,252,<20
2021-03-08,android,233,65.0
2021-03-08,android,246,166.0
2021-03-08,android,248,2076.0
2021-03-08,android,252,<20
2021-03-08,ios,233,48.0
2021-03-08,ios,246,93.0
2021-03-08,ios,248,3612.0
2021-03-08,ios,252,<20
2021-03-09,android,233,77.0
2021-03-09,android,246,88.0
2021-03-09,android,248,2169.0
2021-03-09,android,252,106.0
2021-03-09,ios,233,66.0
2021-03-09,ios,246,71.0
2021-03-09,ios,248,3932.0
2021-03-09,ios,252,<20
2021-03-10,android,233,73.0
2021-03-10,android,246,66.0
2021-03-10,android,248,2238.0
2021-03-10,android,252,<20
2021-03-10,ios,233,48.0
2021-03-10,ios,246,63.0
2021-03-10,ios,248,4092.0
2021-03-10,ios,252,<20
2021-03-11,android,233,63.0
2021-03-11,android,246,60.0
2021-03-11,android,248,2185.0
2021-03-11,android,252,<20
2021-03-11,ios,233,50.0
2021-03-11,ios,246,43.0
2021-03-11,ios,248,4054.0
2021-03-11,ios,252,<20
2021-03-12,android,233,70.0
2021-03-12,android,246,52.0
2021-03-12,android,248,1656.0
2021-03-12,android,252,917.0
2021-03-12,ios,233,64.0
2021-03-12,ios,246,53.0
2021-03-12,ios,248,3203.0
2021-03-12,ios,252,1030.0
2021-03-13,android,233,56.0
2021-03-13,android,246,39.0
2021-03-13,android,248,566.0
2021-03-13,android,252,1870.0
2021-03-13,ios,233,50.0
2021-03-13,ios,246,36.0
2021-03-13,ios,248,616.0
2021-03-13,ios,252,3708.0
2021-03-14,android,233,55.0
2021-03-14,android,246,34.0
2021-03-14,android,248,278.0
2021-03-14,android,252,2385.0
2021-03-14,ios,233,44.0
2021-03-14,ios,246,32.0
2021-03-14,ios,248,153.0
2021-03-14,ios,252,3749.0
2021-03-15,android,233,56.0
2021-03-15,android,246,30.0
2021-03-15,android,248,169.0
2021-03-15,android,252,2506.0
2021-03-15,ios,233,34.0
2021-03-15,ios,246,28.0
2021-03-15,ios,248,89.0
2021-03-15,ios,252,3592.0
2021-03-16,android,233,61.0
2021-03-16,android,246,33.0
2021-03-16,android,248,100.0
2021-03-16,android,252,2653.0
2021-03-16,ios,233,29.0
2021-03-16,ios,246,37.0
2021-03-16,ios,248,79.0
2021-03-16,ios,252,3983.0
2021-03-17,android,233,59.0
2021-03-17,android,246,27.0
2021-03-17,android,248,70.0
2021-03-17,android,252,3148.0
2021-03-17,ios,233,32.0
2021-03-17,ios,246,32.0
2021-03-17,ios,248,69.0
2021-03-17,ios,252,4614.0
2021-03-18,android,233,43.0
2021-03-18,android,246,29.0
2021-03-18,android,248,40.0
2021-03-18,android,252,3017.0
2021-03-18,ios,233,43.0
2021-03-18,ios,246,<20
2021-03-18,ios,248,51.0
2021-03-18,ios,252,4467.0
2021-03-19,android,233,41.0
2021-03-19,android,246,30.0
2021-03-19,android,248,45.0
2021-03-19,android,252,2719.0
2021-03-19,ios,233,34.0
2021-03-19,ios,246,20.0
2021-03-19,ios,248,57.0
2021-03-19,ios,252,4197.0
2021-03-20,android,233,45.0
2021-03-20,android,246,<20
2021-03-20,android,248,29.0
2021-03-20,android,252,2640.0
2021-03-20,ios,233,38.0
2021-03-20,ios,246,29.0
2021-03-20,ios,248,41.0
2021-03-20,ios,252,4270.0
2021-03-21,android,233,48.0
2021-03-21,android,246,24.0
2021-03-21,android,248,25.0
2021-03-21,android,252,2422.0
2021-03-21,ios,233,33.0
2021-03-21,ios,246,21.0
2021-03-21,ios,248,38.0
2021-03-21,ios,252,3698.0
2021-03-22,android,233,45.0
2021-03-22,android,246,<20
2021-03-22,android,248,27.0
2021-03-22,android,252,2548.0
2021-03-22,ios,233,29.0
2021-03-22,ios,246,20.0
2021-03-22,ios,248,24.0
2021-03-22,ios,252,3444.0
2021-03-23,android,233,62.0
2021-03-23,android,246,31.0
2021-03-23,android,248,26.0
2021-03-23,android,252,4080.0
2021-03-23,ios,233,30.0
2021-03-23,ios,246,<20
2021-03-23,ios,248,21.0
2021-03-23,ios,252,3721.0
2021-03-24,android,233,43.0
2021-03-24,android,246,22.0
2021-03-24,android,248,22.0
2021-03-24,android,252,3178.0
2021-03-24,android,265,97.0
2021-03-24,ios,233,28.0
2021-03-24,ios,246,22.0
2021-03-24,ios,248,<20
2021-03-24,ios,252,3926.0
2021-03-25,android,233,39.0
2021-03-25,android,246,21.0
2021-03-25,android,248,21.0
2021-03-25,android,252,2867.0
2021-03-25,android,266,95.0
2021-03-25,android,267,102.0
2021-03-25,ios,233,30.0
2021-03-25,ios,246,23.0
2021-03-25,ios,248,39.0
2021-03-25,ios,252,3909.0
2021-03-25,ios,267,<20
