date,appos,appversion,count
2021-02-25,android,233,1554.0
2021-02-25,android,246,93.0
2021-02-25,android,248,<20
2021-02-25,ios,233,2667.0
2021-02-25,ios,246,<20
2021-02-26,android,233,1714.0
2021-02-26,android,246,299.0
2021-02-26,android,248,<20
2021-02-26,android,252,<20
2021-02-26,ios,233,2983.0
2021-02-26,ios,246,618.0
2021-02-26,ios,252,<20
2021-02-27,android,233,886.0
2021-02-27,android,246,1852.0
2021-02-27,android,248,<20
2021-02-27,android,252,<20
2021-02-27,ios,233,785.0
2021-02-27,ios,246,2688.0
2021-02-27,ios,248,<20
2021-02-28,android,233,275.0
2021-02-28,android,246,2197.0
2021-02-28,android,248,<20
2021-02-28,android,252,<20
2021-02-28,ios,233,275.0
2021-02-28,ios,246,3203.0
2021-02-28,ios,248,<20
2021-03-01,android,233,177.0
2021-03-01,android,246,2197.0
2021-03-01,android,248,<20
2021-03-01,android,252,<20
2021-03-01,ios,233,123.0
2021-03-01,ios,241,<20
2021-03-01,ios,246,3225.0
2021-03-01,ios,248,<20
2021-03-02,android,233,95.0
2021-03-02,android,246,1998.0
2021-03-02,android,248,<20
2021-03-02,android,252,<20
2021-03-02,ios,233,107.0
2021-03-02,ios,246,2977.0
2021-03-03,android,233,69.0
2021-03-03,android,246,1945.0
2021-03-03,android,248,<20
2021-03-03,android,252,<20
2021-03-03,ios,233,61.0
2021-03-03,ios,246,2755.0
2021-03-03,ios,248,<20
2021-03-04,android,233,48.0
2021-03-04,android,246,2017.0
2021-03-04,android,247,84.0
2021-03-04,android,248,98.0
2021-03-04,android,252,<20
2021-03-04,ios,233,48.0
2021-03-04,ios,246,2739.0
2021-03-04,ios,248,<20
2021-03-05,android,233,45.0
2021-03-05,android,246,1712.0
2021-03-05,android,248,595.0
2021-03-05,android,252,<20
2021-03-05,ios,233,47.0
2021-03-05,ios,246,2083.0
2021-03-05,ios,248,1094.0
2021-03-06,android,233,30.0
2021-03-06,android,246,480.0
2021-03-06,android,248,1538.0
2021-03-06,android,252,<20
2021-03-06,ios,233,32.0
2021-03-06,ios,246,418.0
2021-03-06,ios,248,2358.0
2021-03-07,android,233,34.0
2021-03-07,android,246,214.0
2021-03-07,android,248,1498.0
2021-03-07,android,252,<20
2021-03-07,ios,233,28.0
2021-03-07,ios,246,132.0
2021-03-07,ios,248,2669.0
2021-03-08,android,233,22.0
2021-03-08,android,246,98.0
2021-03-08,android,248,1638.0
2021-03-08,android,252,<20
2021-03-08,ios,233,32.0
2021-03-08,ios,246,63.0
2021-03-08,ios,248,2714.0
2021-03-08,ios,252,<20
2021-03-09,android,233,28.0
2021-03-09,android,246,50.0
2021-03-09,android,248,1680.0
2021-03-09,android,252,91.0
2021-03-09,ios,233,37.0
2021-03-09,ios,246,50.0
2021-03-09,ios,248,2597.0
2021-03-09,ios,252,<20
2021-03-10,android,233,30.0
2021-03-10,android,246,33.0
2021-03-10,android,248,1726.0
2021-03-10,android,252,<20
2021-03-10,ios,233,32.0
2021-03-10,ios,246,43.0
2021-03-10,ios,248,2661.0
2021-03-10,ios,252,<20
2021-03-11,android,233,32.0
2021-03-11,android,246,28.0
2021-03-11,android,248,1703.0
2021-03-11,android,252,<20
2021-03-11,ios,233,31.0
2021-03-11,ios,246,29.0
2021-03-11,ios,248,2656.0
2021-03-11,ios,252,<20
2021-03-12,android,233,21.0
2021-03-12,android,246,24.0
2021-03-12,android,248,1169.0
2021-03-12,android,252,772.0
2021-03-12,ios,233,25.0
2021-03-12,ios,246,33.0
2021-03-12,ios,248,1781.0
2021-03-12,ios,252,1008.0
2021-03-13,android,233,28.0
2021-03-13,android,246,29.0
2021-03-13,android,248,393.0
2021-03-13,android,252,1493.0
2021-03-13,ios,233,22.0
2021-03-13,ios,246,<20
2021-03-13,ios,248,518.0
2021-03-13,ios,252,2221.0
2021-03-14,android,233,27.0
2021-03-14,android,246,21.0
2021-03-14,android,248,174.0
2021-03-14,android,252,1849.0
2021-03-14,ios,233,24.0
2021-03-14,ios,246,25.0
2021-03-14,ios,248,180.0
2021-03-14,ios,252,2416.0
2021-03-15,android,233,24.0
2021-03-15,android,246,<20
2021-03-15,android,248,94.0
2021-03-15,android,252,1943.0
2021-03-15,ios,233,30.0
2021-03-15,ios,246,20.0
2021-03-15,ios,248,90.0
2021-03-15,ios,252,2506.0
2021-03-16,android,233,<20
2021-03-16,android,246,<20
2021-03-16,android,248,60.0
2021-03-16,android,252,2037.0
2021-03-16,ios,233,<20
2021-03-16,ios,246,30.0
2021-03-16,ios,248,64.0
2021-03-16,ios,252,2591.0
2021-03-17,android,233,20.0
2021-03-17,android,246,21.0
2021-03-17,android,248,53.0
2021-03-17,android,252,2470.0
2021-03-17,ios,233,21.0
2021-03-17,ios,246,<20
2021-03-17,ios,248,64.0
2021-03-17,ios,252,3276.0
2021-03-18,android,233,24.0
2021-03-18,android,246,20.0
2021-03-18,android,248,24.0
2021-03-18,android,252,2327.0
2021-03-18,ios,233,27.0
2021-03-18,ios,246,20.0
2021-03-18,ios,248,38.0
2021-03-18,ios,252,3130.0
2021-03-19,android,233,<20
2021-03-19,android,246,<20
2021-03-19,android,248,32.0
2021-03-19,android,252,2099.0
2021-03-19,ios,233,<20
2021-03-19,ios,246,<20
2021-03-19,ios,248,35.0
2021-03-19,ios,252,2659.0
2021-03-20,android,233,<20
2021-03-20,android,246,<20
2021-03-20,android,248,<20
2021-03-20,android,252,1981.0
2021-03-20,ios,233,<20
2021-03-20,ios,246,<20
2021-03-20,ios,248,28.0
2021-03-20,ios,252,2785.0
2021-03-21,android,233,<20
2021-03-21,android,246,<20
2021-03-21,android,248,<20
2021-03-21,android,252,1787.0
