date,region,count
2021-01-03,AB,<20
2021-01-03,BC,<20
2021-01-03,MB,<20
2021-01-03,NB,<20
2021-01-03,NL,<20
2021-01-03,NT,<20
2021-01-03,NS,<20
2021-01-03,NU,<20
2021-01-03,ON,<20
2021-01-03,PE,<20
2021-01-03,QC,<20
2021-01-03,SK,<20
2021-01-03,YT,<20
2021-01-03,NPTS,<20
2021-01-10,AB,<20
2021-01-10,BC,<20
2021-01-10,MB,<20
2021-01-10,NB,<20
2021-01-10,NL,<20
2021-01-10,NT,<20
2021-01-10,NS,<20
2021-01-10,NU,<20
2021-01-10,ON,<20
2021-01-10,PE,<20
2021-01-10,QC,<20
2021-01-10,SK,<20
2021-01-10,YT,<20
2021-01-10,NPTS,<20
2021-01-17,AB,<20
2021-01-17,BC,<20
2021-01-17,MB,<20
2021-01-17,NB,<20
2021-01-17,NL,<20
2021-01-17,NT,<20
2021-01-17,NS,<20
2021-01-17,NU,<20
2021-01-17,ON,<20
2021-01-17,PE,<20
2021-01-17,QC,<20
2021-01-17,SK,<20
2021-01-17,YT,<20
2021-01-17,NPTS,<20
2021-01-24,AB,<20
2021-01-24,BC,<20
2021-01-24,MB,<20
2021-01-24,NB,<20
2021-01-24,NL,<20
2021-01-24,NT,<20
2021-01-24,NS,<20
2021-01-24,NU,<20
2021-01-24,ON,<20
2021-01-24,PE,<20
2021-01-24,QC,<20
2021-01-24,SK,<20
2021-01-24,YT,<20
2021-01-24,NPTS,<20
2021-01-31,AB,<20
2021-01-31,BC,<20
2021-01-31,MB,<20
2021-01-31,NB,<20
2021-01-31,NL,<20
2021-01-31,NT,<20
2021-01-31,NS,<20
2021-01-31,NU,<20
2021-01-31,ON,<20
2021-01-31,PE,<20
2021-01-31,QC,<20
2021-01-31,SK,<20
2021-01-31,YT,<20
2021-01-31,NPTS,<20
2021-02-07,AB,<20
2021-02-07,BC,<20
2021-02-07,MB,<20
2021-02-07,NB,<20
2021-02-07,NL,<20
2021-02-07,NT,<20
2021-02-07,NS,<20
2021-02-07,NU,<20
2021-02-07,ON,<20
2021-02-07,PE,<20
2021-02-07,QC,<20
2021-02-07,SK,<20
2021-02-07,YT,<20
2021-02-07,NPTS,<20
2021-02-14,AB,<20
2021-02-14,BC,<20
2021-02-14,MB,<20
2021-02-14,NB,<20
2021-02-14,NL,<20
2021-02-14,NT,<20
2021-02-14,NS,<20
2021-02-14,NU,<20
2021-02-14,ON,<20
2021-02-14,PE,<20
2021-02-14,QC,<20
2021-02-14,SK,<20
2021-02-14,YT,<20
2021-02-14,NPTS,<20
2021-02-21,AB,<20
2021-02-21,BC,<20
2021-02-21,MB,<20
2021-02-21,NB,<20
2021-02-21,NL,<20
2021-02-21,NT,<20
2021-02-21,NS,<20
2021-02-21,NU,<20
2021-02-21,ON,<20
2021-02-21,PE,<20
2021-02-21,QC,<20
2021-02-21,SK,<20
2021-02-21,YT,<20
2021-02-21,NPTS,<20
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,<20
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,<20
2021-02-28,PE,<20
2021-02-28,QC,<20
2021-02-28,SK,<20
2021-02-28,YT,<20
2021-02-28,NPTS,<20
2021-03-07,AB,<20
2021-03-07,BC,<20
2021-03-07,MB,<20
2021-03-07,NB,<20
2021-03-07,NL,<20
2021-03-07,NT,<20
2021-03-07,NS,<20
2021-03-07,NU,<20
2021-03-07,ON,<20
2021-03-07,PE,<20
2021-03-07,QC,<20
2021-03-07,SK,<20
2021-03-07,YT,<20
2021-03-07,NPTS,<20
2021-03-14,AB,<20
2021-03-14,BC,<20
2021-03-14,MB,<20
2021-03-14,NB,<20
2021-03-14,NL,<20
2021-03-14,NT,<20
2021-03-14,NS,<20
2021-03-14,NU,<20
2021-03-14,ON,<20
2021-03-14,PE,<20
2021-03-14,QC,<20
2021-03-14,SK,<20
2021-03-14,YT,<20
2021-03-14,NPTS,<20
