date,region,appos,count
2021-01-01,AB,android,<20
2021-01-01,AB,ios,<20
2021-01-01,BC,android,<20
2021-01-01,BC,ios,<20
2021-01-01,MB,android,<20
2021-01-01,MB,ios,<20
2021-01-01,NB,android,<20
2021-01-01,NB,ios,<20
2021-01-01,NL,android,<20
2021-01-01,NL,ios,<20
2021-01-01,NT,android,<20
2021-01-01,NT,ios,<20
2021-01-01,NS,android,<20
2021-01-01,NS,ios,<20
2021-01-01,NU,android,<20
2021-01-01,NU,ios,<20
2021-01-01,ON,android,<20
2021-01-01,ON,ios,<20
2021-01-01,PE,android,<20
2021-01-01,PE,ios,<20
2021-01-01,QC,android,<20
2021-01-01,QC,ios,<20
2021-01-01,SK,android,<20
2021-01-01,SK,ios,<20
2021-01-01,YT,android,<20
2021-01-01,YT,ios,<20
2021-01-01,NPTS,android,<20
2021-01-01,NPTS,ios,<20
2021-01-02,AB,android,<20
2021-01-02,AB,ios,<20
2021-01-02,BC,android,<20
2021-01-02,BC,ios,<20
2021-01-02,MB,android,<20
2021-01-02,MB,ios,<20
2021-01-02,NB,android,<20
2021-01-02,NB,ios,<20
2021-01-02,NL,android,<20
2021-01-02,NL,ios,<20
2021-01-02,NT,android,<20
2021-01-02,NT,ios,<20
2021-01-02,NS,android,<20
2021-01-02,NS,ios,<20
2021-01-02,NU,android,<20
2021-01-02,NU,ios,<20
2021-01-02,ON,android,<20
2021-01-02,ON,ios,<20
2021-01-02,PE,android,<20
2021-01-02,PE,ios,<20
2021-01-02,QC,android,<20
2021-01-02,QC,ios,<20
2021-01-02,SK,android,<20
2021-01-02,SK,ios,<20
2021-01-02,YT,android,<20
2021-01-02,YT,ios,<20
2021-01-02,NPTS,android,<20
2021-01-02,NPTS,ios,<20
2021-01-03,AB,android,<20
2021-01-03,AB,ios,<20
2021-01-03,BC,android,<20
2021-01-03,BC,ios,<20
2021-01-03,MB,android,<20
2021-01-03,MB,ios,<20
2021-01-03,NB,android,<20
2021-01-03,NB,ios,<20
2021-01-03,NL,android,<20
2021-01-03,NL,ios,<20
2021-01-03,NT,android,<20
2021-01-03,NT,ios,<20
2021-01-03,NS,android,<20
2021-01-03,NS,ios,<20
2021-01-03,NU,android,<20
2021-01-03,NU,ios,<20
2021-01-03,ON,android,<20
2021-01-03,ON,ios,<20
2021-01-03,PE,android,<20
2021-01-03,PE,ios,<20
2021-01-03,QC,android,<20
2021-01-03,QC,ios,<20
2021-01-03,SK,android,<20
2021-01-03,SK,ios,<20
2021-01-03,YT,android,<20
2021-01-03,YT,ios,<20
2021-01-03,NPTS,android,<20
2021-01-03,NPTS,ios,<20
2021-01-04,AB,android,<20
2021-01-04,AB,ios,<20
2021-01-04,BC,android,<20
2021-01-04,BC,ios,<20
2021-01-04,MB,android,<20
2021-01-04,MB,ios,<20
2021-01-04,NB,android,<20
2021-01-04,NB,ios,<20
2021-01-04,NL,android,<20
2021-01-04,NL,ios,<20
2021-01-04,NT,android,<20
2021-01-04,NT,ios,<20
2021-01-04,NS,android,<20
2021-01-04,NS,ios,<20
2021-01-04,NU,android,<20
2021-01-04,NU,ios,<20
2021-01-04,ON,android,<20
2021-01-04,ON,ios,<20
2021-01-04,PE,android,<20
2021-01-04,PE,ios,<20
2021-01-04,QC,android,<20
2021-01-04,QC,ios,<20
2021-01-04,SK,android,<20
2021-01-04,SK,ios,<20
2021-01-04,YT,android,<20
2021-01-04,YT,ios,<20
2021-01-04,NPTS,android,<20
2021-01-04,NPTS,ios,<20
2021-01-05,AB,android,<20
2021-01-05,AB,ios,<20
2021-01-05,BC,android,<20
2021-01-05,BC,ios,<20
2021-01-05,MB,android,<20
2021-01-05,MB,ios,<20
2021-01-05,NB,android,<20
2021-01-05,NB,ios,<20
2021-01-05,NL,android,<20
2021-01-05,NL,ios,<20
2021-01-05,NT,android,<20
2021-01-05,NT,ios,<20
2021-01-05,NS,android,<20
2021-01-05,NS,ios,<20
2021-01-05,NU,android,<20
2021-01-05,NU,ios,<20
2021-01-05,ON,android,<20
2021-01-05,ON,ios,<20
2021-01-05,PE,android,<20
2021-01-05,PE,ios,<20
2021-01-05,QC,android,<20
2021-01-05,QC,ios,<20
2021-01-05,SK,android,<20
2021-01-05,SK,ios,<20
2021-01-05,YT,android,<20
2021-01-05,YT,ios,<20
2021-01-05,NPTS,android,<20
2021-01-05,NPTS,ios,<20
2021-01-06,AB,android,<20
2021-01-06,AB,ios,<20
2021-01-06,BC,android,<20
2021-01-06,BC,ios,<20
2021-01-06,MB,android,<20
2021-01-06,MB,ios,<20
2021-01-06,NB,android,<20
2021-01-06,NB,ios,<20
2021-01-06,NL,android,<20
2021-01-06,NL,ios,<20
2021-01-06,NT,android,<20
2021-01-06,NT,ios,<20
2021-01-06,NS,android,<20
2021-01-06,NS,ios,<20
2021-01-06,NU,android,<20
2021-01-06,NU,ios,<20
2021-01-06,ON,android,<20
2021-01-06,ON,ios,<20
2021-01-06,PE,android,<20
2021-01-06,PE,ios,<20
2021-01-06,QC,android,<20
2021-01-06,QC,ios,<20
2021-01-06,SK,android,<20
2021-01-06,SK,ios,<20
2021-01-06,YT,android,<20
2021-01-06,YT,ios,<20
2021-01-06,NPTS,android,<20
2021-01-06,NPTS,ios,<20
2021-01-07,AB,android,<20
2021-01-07,AB,ios,<20
2021-01-07,BC,android,<20
2021-01-07,BC,ios,<20
2021-01-07,MB,android,<20
2021-01-07,MB,ios,<20
2021-01-07,NB,android,<20
2021-01-07,NB,ios,<20
2021-01-07,NL,android,<20
2021-01-07,NL,ios,<20
2021-01-07,NT,android,<20
2021-01-07,NT,ios,<20
2021-01-07,NS,android,<20
2021-01-07,NS,ios,<20
2021-01-07,NU,android,<20
2021-01-07,NU,ios,<20
2021-01-07,ON,android,<20
2021-01-07,ON,ios,<20
2021-01-07,PE,android,<20
2021-01-07,PE,ios,<20
2021-01-07,QC,android,<20
2021-01-07,QC,ios,<20
2021-01-07,SK,android,<20
2021-01-07,SK,ios,<20
2021-01-07,YT,android,<20
2021-01-07,YT,ios,<20
2021-01-07,NPTS,android,<20
2021-01-07,NPTS,ios,<20
2021-01-08,AB,android,<20
2021-01-08,AB,ios,<20
2021-01-08,BC,android,<20
2021-01-08,BC,ios,<20
2021-01-08,MB,android,<20
2021-01-08,MB,ios,<20
2021-01-08,NB,android,<20
2021-01-08,NB,ios,<20
2021-01-08,NL,android,<20
2021-01-08,NL,ios,<20
2021-01-08,NT,android,<20
2021-01-08,NT,ios,<20
2021-01-08,NS,android,<20
2021-01-08,NS,ios,<20
2021-01-08,NU,android,<20
2021-01-08,NU,ios,<20
2021-01-08,ON,android,<20
2021-01-08,ON,ios,<20
2021-01-08,PE,android,<20
2021-01-08,PE,ios,<20
2021-01-08,QC,android,<20
2021-01-08,QC,ios,<20
2021-01-08,SK,android,<20
2021-01-08,SK,ios,<20
2021-01-08,YT,android,<20
2021-01-08,YT,ios,<20
2021-01-08,NPTS,android,<20
2021-01-08,NPTS,ios,<20
2021-01-09,AB,android,<20
2021-01-09,AB,ios,<20
2021-01-09,BC,android,<20
2021-01-09,BC,ios,<20
2021-01-09,MB,android,<20
2021-01-09,MB,ios,<20
2021-01-09,NB,android,<20
2021-01-09,NB,ios,<20
2021-01-09,NL,android,<20
2021-01-09,NL,ios,<20
2021-01-09,NT,android,<20
2021-01-09,NT,ios,<20
2021-01-09,NS,android,<20
2021-01-09,NS,ios,<20
2021-01-09,NU,android,<20
2021-01-09,NU,ios,<20
2021-01-09,ON,android,<20
2021-01-09,ON,ios,<20
2021-01-09,PE,android,<20
2021-01-09,PE,ios,<20
2021-01-09,QC,android,<20
2021-01-09,QC,ios,<20
2021-01-09,SK,android,<20
2021-01-09,SK,ios,<20
2021-01-09,YT,android,<20
2021-01-09,YT,ios,<20
2021-01-09,NPTS,android,<20
2021-01-09,NPTS,ios,<20
2021-01-10,AB,android,<20
2021-01-10,AB,ios,<20
2021-01-10,BC,android,<20
2021-01-10,BC,ios,<20
2021-01-10,MB,android,<20
2021-01-10,MB,ios,<20
2021-01-10,NB,android,<20
2021-01-10,NB,ios,<20
2021-01-10,NL,android,<20
2021-01-10,NL,ios,<20
2021-01-10,NT,android,<20
2021-01-10,NT,ios,<20
2021-01-10,NS,android,<20
2021-01-10,NS,ios,<20
2021-01-10,NU,android,<20
2021-01-10,NU,ios,<20
2021-01-10,ON,android,<20
2021-01-10,ON,ios,<20
2021-01-10,PE,android,<20
2021-01-10,PE,ios,<20
2021-01-10,QC,android,<20
2021-01-10,QC,ios,<20
2021-01-10,SK,android,<20
2021-01-10,SK,ios,<20
2021-01-10,YT,android,<20
2021-01-10,YT,ios,<20
2021-01-10,NPTS,android,<20
2021-01-10,NPTS,ios,<20
2021-01-11,AB,android,<20
2021-01-11,AB,ios,<20
2021-01-11,BC,android,<20
2021-01-11,BC,ios,<20
2021-01-11,MB,android,<20
2021-01-11,MB,ios,<20
2021-01-11,NB,android,<20
2021-01-11,NB,ios,<20
2021-01-11,NL,android,<20
2021-01-11,NL,ios,<20
2021-01-11,NT,android,<20
2021-01-11,NT,ios,<20
2021-01-11,NS,android,<20
2021-01-11,NS,ios,<20
2021-01-11,NU,android,<20
2021-01-11,NU,ios,<20
2021-01-11,ON,android,<20
2021-01-11,ON,ios,<20
2021-01-11,PE,android,<20
2021-01-11,PE,ios,<20
2021-01-11,QC,android,<20
2021-01-11,QC,ios,<20
2021-01-11,SK,android,<20
2021-01-11,SK,ios,<20
2021-01-11,YT,android,<20
2021-01-11,YT,ios,<20
2021-01-11,NPTS,android,<20
2021-01-11,NPTS,ios,<20
2021-01-12,AB,android,<20
2021-01-12,AB,ios,<20
2021-01-12,BC,android,<20
2021-01-12,BC,ios,<20
2021-01-12,MB,android,<20
2021-01-12,MB,ios,<20
2021-01-12,NB,android,<20
2021-01-12,NB,ios,<20
2021-01-12,NL,android,<20
2021-01-12,NL,ios,<20
2021-01-12,NT,android,<20
2021-01-12,NT,ios,<20
2021-01-12,NS,android,<20
2021-01-12,NS,ios,<20
2021-01-12,NU,android,<20
2021-01-12,NU,ios,<20
2021-01-12,ON,android,<20
2021-01-12,ON,ios,<20
2021-01-12,PE,android,<20
2021-01-12,PE,ios,<20
2021-01-12,QC,android,<20
2021-01-12,QC,ios,<20
2021-01-12,SK,android,<20
2021-01-12,SK,ios,<20
2021-01-12,YT,android,<20
2021-01-12,YT,ios,<20
2021-01-12,NPTS,android,<20
2021-01-12,NPTS,ios,<20
2021-01-13,AB,android,<20
2021-01-13,AB,ios,<20
2021-01-13,BC,android,<20
2021-01-13,BC,ios,<20
2021-01-13,MB,android,<20
2021-01-13,MB,ios,<20
2021-01-13,NB,android,<20
2021-01-13,NB,ios,<20
2021-01-13,NL,android,<20
2021-01-13,NL,ios,<20
2021-01-13,NT,android,<20
2021-01-13,NT,ios,<20
2021-01-13,NS,android,<20
2021-01-13,NS,ios,<20
2021-01-13,NU,android,<20
2021-01-13,NU,ios,<20
2021-01-13,ON,android,<20
2021-01-13,ON,ios,<20
2021-01-13,PE,android,<20
2021-01-13,PE,ios,<20
2021-01-13,QC,android,<20
2021-01-13,QC,ios,<20
2021-01-13,SK,android,<20
2021-01-13,SK,ios,<20
2021-01-13,YT,android,<20
2021-01-13,YT,ios,<20
2021-01-13,NPTS,android,<20
2021-01-13,NPTS,ios,<20
2021-01-14,AB,android,<20
2021-01-14,AB,ios,<20
2021-01-14,BC,android,<20
2021-01-14,BC,ios,<20
2021-01-14,MB,android,<20
2021-01-14,MB,ios,<20
2021-01-14,NB,android,<20
2021-01-14,NB,ios,<20
2021-01-14,NL,android,<20
2021-01-14,NL,ios,<20
2021-01-14,NT,android,<20
2021-01-14,NT,ios,<20
2021-01-14,NS,android,<20
2021-01-14,NS,ios,<20
2021-01-14,NU,android,<20
2021-01-14,NU,ios,<20
2021-01-14,ON,android,<20
2021-01-14,ON,ios,<20
2021-01-14,PE,android,<20
2021-01-14,PE,ios,<20
2021-01-14,QC,android,<20
2021-01-14,QC,ios,<20
2021-01-14,SK,android,<20
2021-01-14,SK,ios,<20
2021-01-14,YT,android,<20
2021-01-14,YT,ios,<20
2021-01-14,NPTS,android,<20
2021-01-14,NPTS,ios,<20
2021-01-15,AB,android,<20
2021-01-15,AB,ios,<20
2021-01-15,BC,android,<20
2021-01-15,BC,ios,<20
2021-01-15,MB,android,<20
2021-01-15,MB,ios,<20
2021-01-15,NB,android,<20
2021-01-15,NB,ios,<20
