date,region,appos,count
2021-02-28,AB,android,3685
2021-02-28,AB,ios,27685
2021-02-28,BC,android,9951
2021-02-28,BC,ios,55820
2021-02-28,MB,android,7682
2021-02-28,MB,ios,47902
2021-02-28,NB,android,7222
2021-02-28,NB,ios,27353
2021-02-28,NL,android,9297
2021-02-28,NL,ios,32081
2021-02-28,NT,android,165
2021-02-28,NT,ios,871
2021-02-28,NS,android,7254
2021-02-28,NS,ios,29984
2021-02-28,NU,android,82
2021-02-28,NU,ios,198
2021-02-28,ON,android,86827
2021-02-28,ON,ios,366164
2021-02-28,PE,android,1141
2021-02-28,PE,ios,4915
2021-02-28,QC,android,47418
2021-02-28,QC,ios,173905
2021-02-28,SK,android,3982
2021-02-28,SK,ios,28831
2021-02-28,YT,android,48
2021-02-28,YT,ios,293
2021-02-28,NPTS,android,9285
2021-02-28,NPTS,ios,65457
