date,region,count-nombre
2021-02-28,AB,31375
2021-02-28,BC,63293
2021-02-28,MB,55598
2021-02-28,NB,34589
2021-02-28,NL,39069
2021-02-28,NT,1037
2021-02-28,NS,37249
2021-02-28,NU,253
2021-02-28,ON,453130
2021-02-28,PE,6057
2021-02-28,QC,221385
2021-02-28,SK,25610
2021-02-28,YT,342
2021-02-28,npts-ptso,72456
2021-03-31,AB,87276
2021-03-31,BC,175626
2021-03-31,MB,122006
2021-03-31,NB,79551
2021-03-31,NL,117343
2021-03-31,NT,2426
2021-03-31,NS,113529
2021-03-31,NU,627
2021-03-31,ON,1377109
2021-03-31,PE,19649
2021-03-31,QC,680624
2021-03-31,SK,74774
2021-03-31,YT,1069
2021-03-31,npts-ptso,230313
2021-04-30,AB,87809
2021-04-30,BC,177581
2021-04-30,MB,126263
2021-04-30,NB,83059
2021-04-30,NL,118667
2021-04-30,NT,2667
2021-04-30,NS,120068
2021-04-30,NU,737
2021-04-30,ON,1453865
2021-04-30,PE,20168
2021-04-30,QC,698611
2021-04-30,SK,78532
2021-04-30,YT,1105
2021-04-30,npts-ptso,256814
2021-05-31,AB,79639
2021-05-31,BC,166641
2021-05-31,MB,152529
2021-05-31,NB,87737
2021-05-31,NL,143690
2021-05-31,NT,2867
2021-05-31,NS,169240
2021-05-31,NU,775
2021-05-31,ON,1669713
2021-05-31,PE,18957
2021-05-31,QC,780117
2021-05-31,SK,91314
2021-05-31,YT,1028
2021-05-31,npts-ptso,276286
2021-06-30,AB,91665
2021-06-30,BC,180193
2021-06-30,MB,183459
2021-06-30,NB,110788
2021-06-30,NL,169236
2021-06-30,NT,3489
2021-06-30,NS,194942
2021-06-30,NU,991
2021-06-30,ON,1913865
2021-06-30,PE,23371
2021-06-30,QC,890030
2021-06-30,SK,87930
2021-06-30,YT,1265
2021-06-30,npts-ptso,356773
2021-07-31,AB,80598
2021-07-31,BC,167450
2021-07-31,MB,144772
2021-07-31,NB,96154
2021-07-31,NL,138561
2021-07-31,NT,3503
2021-07-31,NS,155146
2021-07-31,NU,1047
2021-07-31,ON,1631122
2021-07-31,PE,21761
2021-07-31,QC,739740
2021-07-31,SK,81147
2021-07-31,YT,1327
2021-07-31,npts-ptso,416508
2021-08-31,AB,71284
2021-08-31,BC,149821
2021-08-31,MB,132144
2021-08-31,NB,86523
2021-08-31,NL,125013
2021-08-31,NT,3528
2021-08-31,NS,138491
2021-08-31,NU,1021
2021-08-31,ON,1482979
2021-08-31,PE,19836
2021-08-31,QC,680155
2021-08-31,SK,79473
2021-08-31,YT,1243
2021-08-31,npts-ptso,412214
2021-09-30,AB,70466
2021-09-30,BC,149522
2021-09-30,MB,330766
2021-09-30,NB,92787
2021-09-30,NL,170319
2021-09-30,NT,4401
2021-09-30,NS,236942
2021-09-30,NU,1049
2021-09-30,ON,2289250
2021-09-30,PE,19616
2021-09-30,QC,962184
2021-09-30,SK,104052
2021-09-30,YT,1212
2021-09-30,npts-ptso,602893
2021-10-31,AB,68559
2021-10-31,BC,163647
2021-10-31,MB,488260
2021-10-31,NB,102822
2021-10-31,NL,260387
2021-10-31,NT,4930
2021-10-31,NS,277814
2021-10-31,NU,1101
2021-10-31,ON,2727806
2021-10-31,PE,19980
2021-10-31,QC,1275309
2021-10-31,SK,142045
2021-10-31,YT,1230
2021-10-31,npts-ptso,690949
