date,region,os-se,count-nombre
2021-02-28,AB,android,3690
2021-02-28,AB,ios,27685
2021-02-28,BC,android,9960
2021-02-28,BC,ios,55823
2021-02-28,MB,android,7694
2021-02-28,MB,ios,47904
2021-02-28,NB,android,7234
2021-02-28,NB,ios,27355
2021-02-28,NL,android,9313
2021-02-28,NL,ios,32084
2021-02-28,NT,android,166
2021-02-28,NT,ios,871
2021-02-28,NS,android,7263
2021-02-28,NS,ios,29986
2021-02-28,NU,android,82
2021-02-28,NU,ios,198
2021-02-28,ON,android,86941
2021-02-28,ON,ios,366187
2021-02-28,PE,android,1142
2021-02-28,PE,ios,4915
2021-02-28,QC,android,47471
2021-02-28,QC,ios,173913
2021-02-28,SK,android,3986
2021-02-28,SK,ios,28832
2021-02-28,YT,android,48
2021-02-28,YT,ios,293
2021-02-28,npts-ptso,android,9297
2021-02-28,npts-ptso,ios,65482
2021-03-31,AB,android,11830
2021-03-31,AB,ios,75446
2021-03-31,BC,android,23722
2021-03-31,BC,ios,151904
2021-03-31,MB,android,20572
2021-03-31,MB,ios,101432
2021-03-31,NB,android,20426
2021-03-31,NB,ios,59124
2021-03-31,NL,android,24029
2021-03-31,NL,ios,93314
2021-03-31,NT,android,473
2021-03-31,NT,ios,1953
2021-03-31,NS,android,26901
2021-03-31,NS,ios,86627
2021-03-31,NU,android,160
2021-03-31,NU,ios,467
2021-03-31,ON,android,316452
2021-03-31,ON,ios,1060652
2021-03-31,PE,android,4641
2021-03-31,PE,ios,15008
2021-03-31,QC,android,181314
2021-03-31,QC,ios,499285
2021-03-31,SK,android,14231
2021-03-31,SK,ios,60543
2021-03-31,YT,android,182
2021-03-31,YT,ios,886
2021-03-31,npts-ptso,android,30934
2021-03-31,npts-ptso,ios,199376
2021-04-30,AB,android,13007
2021-04-30,AB,ios,74801
2021-04-30,BC,android,25770
2021-04-30,BC,ios,151811
2021-04-30,MB,android,23685
2021-04-30,MB,ios,102577
2021-04-30,NB,android,23225
2021-04-30,NB,ios,59832
2021-04-30,NL,android,25381
2021-04-30,NL,ios,93284
2021-04-30,NT,android,605
2021-04-30,NT,ios,2062
2021-04-30,NS,android,30940
2021-04-30,NS,ios,89124
2021-04-30,NU,android,215
2021-04-30,NU,ios,522
2021-04-30,ON,android,362243
2021-04-30,ON,ios,1091607
2021-04-30,PE,android,4983
2021-04-30,PE,ios,15184
2021-04-30,QC,android,199421
2021-04-30,QC,ios,499157
2021-04-30,SK,android,16743
2021-04-30,SK,ios,61788
2021-04-30,YT,android,209
2021-04-30,YT,ios,896
2021-04-30,npts-ptso,android,36097
2021-04-30,npts-ptso,ios,220700
2021-05-31,AB,android,15439
2021-05-31,AB,ios,63919
2021-05-31,BC,android,33041
2021-05-31,BC,ios,130766
2021-05-31,MB,android,53661
2021-05-31,MB,ios,89738
2021-05-31,NB,android,32567
2021-05-31,NB,ios,52351
2021-05-31,NL,android,53776
2021-05-31,NL,ios,80954
2021-05-31,NT,android,846
2021-05-31,NT,ios,2020
2021-05-31,NS,android,75756
2021-05-31,NS,ios,83819
2021-05-31,NU,android,288
2021-05-31,NU,ios,487
2021-05-31,ON,android,654982
2021-05-31,ON,ios,955973
2021-05-31,PE,android,5637
2021-05-31,PE,ios,13318
2021-05-31,QC,android,320909
2021-05-31,QC,ios,421631
2021-05-31,SK,android,33051
2021-05-31,SK,ios,53450
2021-05-31,YT,android,255
2021-05-31,YT,ios,772
2021-05-31,npts-ptso,android,81019
2021-05-31,npts-ptso,ios,186112
2021-06-30,AB,android,23110
2021-06-30,AB,ios,67013
2021-06-30,BC,android,40030
2021-06-30,BC,ios,139419
2021-06-30,MB,android,76482
2021-06-30,MB,ios,97661
2021-06-30,NB,android,47594
2021-06-30,NB,ios,57023
2021-06-30,NL,android,64069
2021-06-30,NL,ios,89168
2021-06-30,NT,android,1248
2021-06-30,NT,ios,2240
2021-06-30,NS,android,89015
2021-06-30,NS,ios,91178
2021-06-30,NU,android,462
2021-06-30,NU,ios,529
2021-06-30,ON,android,786438
2021-06-30,ON,ios,1029475
2021-06-30,PE,android,8653
2021-06-30,PE,ios,14516
2021-06-30,QC,android,391485
2021-06-30,QC,ios,445495
2021-06-30,SK,android,29743
2021-06-30,SK,ios,56864
2021-06-30,YT,android,400
2021-06-30,YT,ios,865
2021-06-30,npts-ptso,android,122603
2021-06-30,npts-ptso,ios,213278
2021-07-31,AB,android,18651
2021-07-31,AB,ios,61493
2021-07-31,BC,android,36855
2021-07-31,BC,ios,130017
2021-07-31,MB,android,48480
2021-07-31,MB,ios,93134
2021-07-31,NB,android,38876
2021-07-31,NB,ios,54672
2021-07-31,NL,android,47231
2021-07-31,NL,ios,86324
2021-07-31,NT,android,1314
2021-07-31,NT,ios,2189
2021-07-31,NS,android,62588
2021-07-31,NS,ios,87728
2021-07-31,NU,android,497
2021-07-31,NU,ios,549
2021-07-31,ON,android,609598
2021-07-31,ON,ios,986756
2021-07-31,PE,android,7694
2021-07-31,PE,ios,14033
2021-07-31,QC,android,300375
2021-07-31,QC,ios,419756
2021-07-31,SK,android,26982
2021-07-31,SK,ios,53231
2021-07-31,YT,android,442
2021-07-31,YT,ios,884
2021-07-31,npts-ptso,android,139068
2021-07-31,npts-ptso,ios,268766
2021-08-31,AB,android,16295
2021-08-31,AB,ios,54547
2021-08-31,BC,android,31822
2021-08-31,BC,ios,117431
2021-08-31,MB,android,44846
2021-08-31,MB,ios,84376
2021-08-31,NB,android,34330
2021-08-31,NB,ios,49994
2021-08-31,NL,android,41619
2021-08-31,NL,ios,79046
2021-08-31,NT,android,1335
2021-08-31,NT,ios,2125
2021-08-31,NS,android,54070
2021-08-31,NS,ios,79910
2021-08-31,NU,android,489
2021-08-31,NU,ios,532
2021-08-31,ON,android,541516
2021-08-31,ON,ios,907239
2021-08-31,PE,android,6862
2021-08-31,PE,ios,12952
2021-08-31,QC,android,279673
2021-08-31,QC,ios,379027
2021-08-31,SK,android,27680
2021-08-31,SK,ios,47914
2021-08-31,YT,android,418
2021-08-31,YT,ios,824
2021-08-31,npts-ptso,android,132222
2021-08-31,npts-ptso,ios,272263
2021-09-30,AB,android,15748
2021-09-30,AB,ios,53897
2021-09-30,BC,android,29683
2021-09-30,BC,ios,117785
2021-09-30,MB,android,204109
2021-09-30,MB,ios,84266
2021-09-30,NB,android,36185
2021-09-30,NB,ios,50689
2021-09-30,NL,android,68301
2021-09-30,NL,ios,80676
2021-09-30,NT,android,1698
2021-09-30,NT,ios,2294
2021-09-30,NS,android,132781
2021-09-30,NS,ios,79899
2021-09-30,NU,android,476
2021-09-30,NU,ios,572
2021-09-30,ON,android,1170444
2021-09-30,ON,ios,919015
2021-09-30,PE,android,6353
2021-09-30,PE,ios,13183
2021-09-30,QC,android,492235
2021-09-30,QC,ios,375044
2021-09-30,SK,android,48376
2021-09-30,SK,ios,48317
2021-09-30,YT,android,388
2021-09-30,YT,ios,824
2021-09-30,npts-ptso,android,268381
2021-09-30,npts-ptso,ios,308638
