date,number_of_checks-no_verification,count-nombre
2021-02-28,0,<20
2021-02-28,1-6,28330
2021-02-28,7-12,3214
2021-02-28,13-30,103
2021-02-28,30+,<20
2021-03-31,0,<20
2021-03-31,1-6,58819082
2021-03-31,7-12,21867515
2021-03-31,13-30,2833
2021-03-31,30+,57
2021-04-30,0,<20
2021-04-30,1-6,61595827
2021-04-30,7-12,28740384
2021-04-30,13-30,20207
2021-04-30,30+,<20
2021-05-31,0,<20
2021-05-31,1-6,33953589
2021-05-31,7-12,58478491
2021-05-31,13-30,195866
2021-05-31,30+,<20
2021-06-30,0,<20
2021-06-30,1-6,35584568
2021-06-30,7-12,55780178
2021-06-30,13-30,162803
2021-06-30,30+,<20
2021-07-31,0,<20
2021-07-31,1-6,35089962
2021-07-31,7-12,53639351
2021-07-31,13-30,175679
2021-07-31,30+,<20
2021-08-31,0,<20
2021-08-31,1-6,47626598
2021-08-31,7-12,25152055
2021-08-31,13-30,144795
2021-08-31,30+,<20
2021-09-30,0,<20
2021-09-30,1-6,33761178
2021-09-30,7-12,48483504
2021-09-30,13-30,161431
2021-09-30,30+,<20
