date,os-se,count-nombre
2021-04-30,android,264008
2021-04-30,ios,<20
2021-05-31,android,650147
2021-05-31,ios,1591939
2021-06-30,android,963315
2021-06-30,ios,3092158
2021-07-31,android,1020826
2021-07-31,ios,2799096
2021-08-31,android,911337
2021-08-31,ios,1507011
2021-09-30,android,766731
2021-09-30,ios,2522636
2021-10-31,android,729665
2021-10-31,ios,2367150
2021-11-30,android,706387
2021-11-30,ios,2355738
2021-12-31,android,689540
2021-12-31,ios,2328844
2022-01-31,android,678907
2022-01-31,ios,2260336
