date,os-se,count-nombre
2021-05-31,android,<20
2021-05-31,ios,<20
2021-06-30,android,<20
2021-06-30,ios,<20
2021-07-31,android,1484877
2021-07-31,ios,5902380
2021-08-31,android,2118455
2021-08-31,ios,6035706
2021-09-30,android,1807840
2021-09-30,ios,7089041
2021-10-31,android,1962884
2021-10-31,ios,7175913
2021-11-30,android,1679829
2021-11-30,ios,6621759
2021-12-31,android,1710876
2021-12-31,ios,6633789
2022-01-31,android,1678809
2022-01-31,ios,5611265
2022-02-28,android,1112756
2022-02-28,ios,5055851
2022-03-31,android,1090329
2022-03-31,ios,5976962
2022-04-30,android,990218
2022-04-30,ios,5671315
2022-05-31,android,986956
2022-05-31,ios,6565562
