date,region,count-nombre
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,79
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,431
2021-02-28,PE,<20
2021-02-28,QC,86
2021-02-28,SK,47
2021-02-28,YT,<20
2021-02-28,npts-ptso,<20
2021-03-31,AB,<20
2021-03-31,BC,<20
2021-03-31,MB,189
2021-03-31,NB,<20
2021-03-31,NL,79
2021-03-31,NT,<20
2021-03-31,NS,<20
2021-03-31,NU,<20
2021-03-31,ON,5766
2021-03-31,PE,<20
2021-03-31,QC,711
2021-03-31,SK,500
2021-03-31,YT,<20
2021-03-31,npts-ptso,304
2021-04-30,AB,27
2021-04-30,BC,20
2021-04-30,MB,1277
2021-04-30,NB,29
2021-04-30,NL,126
2021-04-30,NT,<20
2021-04-30,NS,550
2021-04-30,NU,<20
2021-04-30,ON,28411
2021-04-30,PE,<20
2021-04-30,QC,2231
2021-04-30,SK,1052
2021-04-30,YT,<20
2021-04-30,npts-ptso,1445
2021-05-31,AB,<20
2021-05-31,BC,45
2021-05-31,MB,3507
2021-05-31,NB,117
2021-05-31,NL,258
2021-05-31,NT,77
2021-05-31,NS,627
2021-05-31,NU,<20
2021-05-31,ON,18641
2021-05-31,PE,<20
2021-05-31,QC,1085
2021-05-31,SK,1180
2021-05-31,YT,<20
2021-05-31,npts-ptso,846
2021-06-30,AB,<20
2021-06-30,BC,<20
2021-06-30,MB,562
2021-06-30,NB,21
2021-06-30,NL,93
2021-06-30,NT,<20
2021-06-30,NS,85
2021-06-30,NU,<20
2021-06-30,ON,2493
2021-06-30,PE,<20
2021-06-30,QC,118
2021-06-30,SK,388
2021-06-30,YT,<20
2021-06-30,npts-ptso,143
2021-07-31,AB,26
2021-07-31,BC,<20
2021-07-31,MB,153
2021-07-31,NB,<20
2021-07-31,NL,<20
2021-07-31,NT,<20
2021-07-31,NS,57
2021-07-31,NU,<20
2021-07-31,ON,678
2021-07-31,PE,<20
2021-07-31,QC,106
2021-07-31,SK,83
2021-07-31,YT,<20
2021-07-31,npts-ptso,71
2021-08-31,AB,45
2021-08-31,BC,62
2021-08-31,MB,175
2021-08-31,NB,41
2021-08-31,NL,176
2021-08-31,NT,<20
2021-08-31,NS,71
2021-08-31,NU,<20
2021-08-31,ON,3307
2021-08-31,PE,<20
2021-08-31,QC,429
2021-08-31,SK,258
2021-08-31,YT,<20
2021-08-31,npts-ptso,180
2021-09-30,AB,27
2021-09-30,BC,46
2021-09-30,MB,184
2021-09-30,NB,189
2021-09-30,NL,522
2021-09-30,NT,<20
2021-09-30,NS,147
2021-09-30,NU,<20
2021-09-30,ON,5557
2021-09-30,PE,<20
2021-09-30,QC,754
2021-09-30,SK,655
2021-09-30,YT,<20
2021-09-30,npts-ptso,537
