date,region,os-se,count-nombre
2021-02-28,AB,android,<20
2021-02-28,AB,ios,<20
2021-02-28,BC,android,<20
2021-02-28,BC,ios,<20
2021-02-28,MB,android,<20
2021-02-28,MB,ios,<20
2021-02-28,NB,android,<20
2021-02-28,NB,ios,<20
2021-02-28,NL,android,20
2021-02-28,NL,ios,59
2021-02-28,NT,android,<20
2021-02-28,NT,ios,<20
2021-02-28,NS,android,<20
2021-02-28,NS,ios,<20
2021-02-28,NU,android,<20
2021-02-28,NU,ios,<20
2021-02-28,ON,android,159
2021-02-28,ON,ios,272
2021-02-28,PE,android,<20
2021-02-28,PE,ios,<20
2021-02-28,QC,android,43
2021-02-28,QC,ios,43
2021-02-28,SK,android,<20
2021-02-28,SK,ios,29
2021-02-28,YT,android,<20
2021-02-28,YT,ios,<20
2021-02-28,npts-ptso,android,<20
2021-02-28,npts-ptso,ios,<20
2021-03-31,AB,android,<20
2021-03-31,AB,ios,<20
2021-03-31,BC,android,<20
2021-03-31,BC,ios,<20
2021-03-31,MB,android,73
2021-03-31,MB,ios,116
2021-03-31,NB,android,<20
2021-03-31,NB,ios,<20
2021-03-31,NL,android,22
2021-03-31,NL,ios,57
2021-03-31,NT,android,<20
2021-03-31,NT,ios,<20
2021-03-31,NS,android,<20
2021-03-31,NS,ios,<20
2021-03-31,NU,android,<20
2021-03-31,NU,ios,<20
2021-03-31,ON,android,1986
2021-03-31,ON,ios,3780
2021-03-31,PE,android,<20
2021-03-31,PE,ios,<20
2021-03-31,QC,android,268
2021-03-31,QC,ios,443
2021-03-31,SK,android,176
2021-03-31,SK,ios,324
2021-03-31,YT,android,<20
2021-03-31,YT,ios,<20
2021-03-31,npts-ptso,android,108
2021-03-31,npts-ptso,ios,196
2021-04-30,AB,android,<20
2021-04-30,AB,ios,21
2021-04-30,BC,android,<20
2021-04-30,BC,ios,<20
2021-04-30,MB,android,362
2021-04-30,MB,ios,915
2021-04-30,NB,android,26
2021-04-30,NB,ios,<20
2021-04-30,NL,android,23
2021-04-30,NL,ios,103
2021-04-30,NT,android,<20
2021-04-30,NT,ios,<20
2021-04-30,NS,android,188
2021-04-30,NS,ios,362
2021-04-30,NU,android,<20
2021-04-30,NU,ios,<20
2021-04-30,ON,android,8613
2021-04-30,ON,ios,19798
2021-04-30,PE,android,<20
2021-04-30,PE,ios,<20
2021-04-30,QC,android,741
2021-04-30,QC,ios,1490
2021-04-30,SK,android,397
2021-04-30,SK,ios,655
2021-04-30,YT,android,<20
2021-04-30,YT,ios,<20
2021-04-30,npts-ptso,android,372
2021-04-30,npts-ptso,ios,1073
2021-05-31,AB,android,<20
2021-05-31,AB,ios,<20
2021-05-31,BC,android,<20
2021-05-31,BC,ios,43
2021-05-31,MB,android,709
2021-05-31,MB,ios,2798
2021-05-31,NB,android,35
2021-05-31,NB,ios,82
2021-05-31,NL,android,77
2021-05-31,NL,ios,181
2021-05-31,NT,android,<20
2021-05-31,NT,ios,60
2021-05-31,NS,android,197
2021-05-31,NS,ios,430
2021-05-31,NU,android,<20
2021-05-31,NU,ios,<20
2021-05-31,ON,android,6260
2021-05-31,ON,ios,12381
2021-05-31,PE,android,<20
2021-05-31,PE,ios,<20
2021-05-31,QC,android,471
2021-05-31,QC,ios,614
2021-05-31,SK,android,311
2021-05-31,SK,ios,869
2021-05-31,YT,android,<20
2021-05-31,YT,ios,<20
2021-05-31,npts-ptso,android,243
2021-05-31,npts-ptso,ios,603
2021-06-30,AB,android,<20
2021-06-30,AB,ios,<20
2021-06-30,BC,android,<20
2021-06-30,BC,ios,<20
2021-06-30,MB,android,205
2021-06-30,MB,ios,357
2021-06-30,NB,android,<20
2021-06-30,NB,ios,<20
2021-06-30,NL,android,28
2021-06-30,NL,ios,65
2021-06-30,NT,android,<20
2021-06-30,NT,ios,<20
2021-06-30,NS,android,45
2021-06-30,NS,ios,40
2021-06-30,NU,android,<20
2021-06-30,NU,ios,<20
2021-06-30,ON,android,872
2021-06-30,ON,ios,1621
2021-06-30,PE,android,<20
2021-06-30,PE,ios,<20
2021-06-30,QC,android,37
2021-06-30,QC,ios,81
2021-06-30,SK,android,229
2021-06-30,SK,ios,159
2021-06-30,YT,android,<20
2021-06-30,YT,ios,<20
2021-06-30,npts-ptso,android,60
2021-06-30,npts-ptso,ios,83
2021-07-31,AB,android,<20
2021-07-31,AB,ios,26
2021-07-31,BC,android,<20
2021-07-31,BC,ios,<20
2021-07-31,MB,android,41
2021-07-31,MB,ios,112
2021-07-31,NB,android,<20
2021-07-31,NB,ios,<20
2021-07-31,NL,android,<20
2021-07-31,NL,ios,<20
2021-07-31,NT,android,<20
2021-07-31,NT,ios,<20
2021-07-31,NS,android,23
2021-07-31,NS,ios,34
2021-07-31,NU,android,<20
2021-07-31,NU,ios,<20
2021-07-31,ON,android,318
2021-07-31,ON,ios,360
2021-07-31,PE,android,<20
2021-07-31,PE,ios,<20
2021-07-31,QC,android,64
2021-07-31,QC,ios,42
2021-07-31,SK,android,32
2021-07-31,SK,ios,51
2021-07-31,YT,android,<20
2021-07-31,YT,ios,<20
2021-07-31,npts-ptso,android,27
2021-07-31,npts-ptso,ios,44
