date,os-se,count-nombre
2021-02-28,android,12201
2021-02-28,ios,19172
2021-03-31,android,88208
2021-03-31,ios,129346
2021-04-30,android,72600
2021-04-30,ios,121918
2021-05-31,android,49766
2021-05-31,ios,95190
2021-06-30,android,35710
2021-06-30,ios,80936
2021-07-31,android,34861
2021-07-31,ios,76570
2021-08-31,android,43554
2021-08-31,ios,88929
2021-09-30,android,52514
2021-09-30,ios,102364
2021-10-31,android,50477
2021-10-31,ios,90615
2021-11-30,android,38599
2021-11-30,ios,91101
2021-12-31,android,70164
2021-12-31,ios,158922
2022-01-31,android,47851
2022-01-31,ios,97401
2022-02-28,android,22192
2022-02-28,ios,45316
2022-03-31,android,18680
2022-03-31,ios,48578
2022-04-30,android,18261
2022-04-30,ios,40975
