date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.0,7260
2021-02-28,android,1.2.1,4703
2021-02-28,android,1.2.2,35
2021-02-28,android,1.2.3,39
2021-02-28,android,1.2.4,<20
2021-02-28,android,1.2.5,<20
2021-02-28,android,1.2.6,<20
2021-02-28,android,1.2.7,22
2021-02-28,android,1.2.8,21
2021-02-28,android,1.2.9,24
2021-02-28,android,1.4.2,<20
2021-02-28,android,1.4.3,<20
2021-02-28,android,1.4.4,<20
2021-02-28,android,1.4.5,<20
2021-02-28,android,1.4.6,<20
2021-02-28,ios,1.2.0,10244
2021-02-28,ios,1.2.1,8820
2021-02-28,ios,1.2.2,46
2021-02-28,ios,1.2.3,<20
2021-02-28,ios,1.2.4,<20
2021-02-28,ios,1.2.6,<20
2021-02-28,ios,1.2.7,<20
2021-02-28,ios,1.2.8,<20
2021-02-28,ios,1.2.9,<20
2021-02-28,ios,1.4.0,<20
2021-02-28,ios,1.4.4,<20
2021-02-28,ios,1.4.6,<20
2021-03-31,android,1.2.0,2188
2021-03-31,android,1.2.1,14249
2021-03-31,android,1.2.2,16466
2021-03-31,android,1.2.3,40711
2021-03-31,android,1.2.4,13167
2021-03-31,android,1.2.5,375
2021-03-31,android,1.2.6,180
2021-03-31,android,1.2.7,163
2021-03-31,android,1.2.8,161
2021-03-31,android,1.2.9,90
2021-03-31,android,1.4.2,25
2021-03-31,android,1.4.3,50
2021-03-31,android,1.4.4,25
2021-03-31,android,1.4.5,<20
2021-03-31,android,1.4.6,71
2021-03-31,android,1.5.2,<20
2021-03-31,ios,1.2.0,1579
2021-03-31,ios,1.2.1,22417
2021-03-31,ios,1.2.2,28845
2021-03-31,ios,1.2.3,56545
2021-03-31,ios,1.2.4,19808
2021-03-31,ios,1.2.6,<20
2021-03-31,ios,1.2.7,<20
2021-03-31,ios,1.2.8,30
2021-03-31,ios,1.2.9,<20
2021-03-31,ios,1.4.0,<20
2021-03-31,ios,1.4.1,<20
2021-03-31,ios,1.4.4,<20
2021-03-31,ios,1.4.5,<20
2021-03-31,ios,1.4.6,<20
2021-04-30,android,1.2.0,450
2021-04-30,android,1.2.1,179
2021-04-30,android,1.2.2,232
2021-04-30,android,1.2.3,971
2021-04-30,android,1.2.4,13654
2021-04-30,android,1.2.5,6093
2021-04-30,android,1.2.6,13300
2021-04-30,android,1.2.7,27635
2021-04-30,android,1.2.8,9436
2021-04-30,android,1.2.9,197
2021-04-30,android,1.4.2,37
2021-04-30,android,1.4.3,40
2021-04-30,android,1.4.4,<20
2021-04-30,android,1.4.5,<20
2021-04-30,android,1.4.6,57
2021-04-30,ios,1.2.0,458
2021-04-30,ios,1.2.1,243
2021-04-30,ios,1.2.2,292
2021-04-30,ios,1.2.3,876
2021-04-30,ios,1.2.4,28280
2021-04-30,ios,1.2.6,21379
2021-04-30,ios,1.2.7,51930
2021-04-30,ios,1.2.8,18383
2021-04-30,ios,1.2.9,<20
2021-04-30,ios,1.4.0,<20
2021-04-30,ios,1.4.1,<20
2021-04-30,ios,1.4.4,<20
2021-04-30,ios,1.4.5,<20
2021-04-30,ios,1.4.6,<20
2021-05-31,android,1.2.0,166
2021-05-31,android,1.2.1,78
2021-05-31,android,1.2.2,104
2021-05-31,android,1.2.3,249
2021-05-31,android,1.2.4,210
2021-05-31,android,1.2.5,54
2021-05-31,android,1.2.6,127
2021-05-31,android,1.2.7,540
2021-05-31,android,1.2.8,31125
2021-05-31,android,1.2.9,16470
2021-05-31,android,1.3.0,81
2021-05-31,android,1.4.2,48
2021-05-31,android,1.4.3,65
2021-05-31,android,1.4.4,31
2021-05-31,android,1.4.5,34
