date,os-se,count-nombre
2021-02-28,android,8929
2021-02-28,ios,13229
2021-03-31,android,66866
2021-03-31,ios,88031
2021-04-30,android,56953
2021-04-30,ios,96190
2021-05-31,android,36390
2021-05-31,ios,61638
2021-06-30,android,23748
2021-06-30,ios,36784
2021-07-31,android,22255
2021-07-31,ios,36909
2021-08-31,android,30191
2021-08-31,ios,49791
2021-09-30,android,38719
2021-09-30,ios,63511
2021-10-31,android,34205
2021-10-31,ios,50258
2021-11-30,android,26715
2021-11-30,ios,43530
2021-12-31,android,58328
2021-12-31,ios,125123
2022-01-31,android,37048
2022-01-31,ios,75761
2022-02-28,android,13661
2022-02-28,ios,24655
2022-03-31,android,10459
2022-03-31,ios,21655
