date,exposure_status-etat_verification,count-nombre
2021-03-31,exposed-expose,<20
2021-03-31,monitoring-surveillance,<20
2021-04-30,exposed-expose,417
2021-04-30,monitoring-surveillance,4342
2021-05-31,exposed-expose,198
2021-05-31,monitoring-surveillance,2599
2021-06-30,exposed-expose,24
2021-06-30,monitoring-surveillance,432
2021-07-31,exposed-expose,<20
2021-07-31,monitoring-surveillance,139
2021-08-31,exposed-expose,<20
2021-08-31,monitoring-surveillance,498
2021-09-30,exposed-expose,24
2021-09-30,monitoring-surveillance,698
