date,region,count-nombre
2021-03-31,AB,<20
2021-03-31,BC,<20
2021-03-31,MB,<20
2021-03-31,NB,<20
2021-03-31,NL,<20
2021-03-31,NT,<20
2021-03-31,NS,<20
2021-03-31,NU,<20
2021-03-31,ON,<20
2021-03-31,PE,<20
2021-03-31,QC,<20
2021-03-31,SK,<20
2021-03-31,YT,<20
2021-03-31,npts-ptso,<20
2021-04-30,AB,<20
2021-04-30,BC,<20
2021-04-30,MB,186
2021-04-30,NB,<20
2021-04-30,NL,<20
2021-04-30,NT,<20
2021-04-30,NS,53
2021-04-30,NU,<20
2021-04-30,ON,3878
2021-04-30,PE,<20
2021-04-30,QC,208
2021-04-30,SK,225
2021-04-30,YT,<20
2021-04-30,npts-ptso,186
2021-05-31,AB,<20
2021-05-31,BC,<20
2021-05-31,MB,407
2021-05-31,NB,<20
2021-05-31,NL,30
2021-05-31,NT,<20
2021-05-31,NS,43
2021-05-31,NU,<20
2021-05-31,ON,1830
2021-05-31,PE,<20
2021-05-31,QC,78
2021-05-31,SK,278
2021-05-31,YT,<20
2021-05-31,npts-ptso,114
2021-06-30,AB,<20
2021-06-30,BC,<20
2021-06-30,MB,91
2021-06-30,NB,<20
2021-06-30,NL,<20
2021-06-30,NT,<20
2021-06-30,NS,<20
2021-06-30,NU,<20
2021-06-30,ON,234
2021-06-30,PE,<20
2021-06-30,QC,<20
2021-06-30,SK,75
2021-06-30,YT,<20
2021-06-30,npts-ptso,<20
2021-07-31,AB,<20
2021-07-31,BC,<20
2021-07-31,MB,<20
2021-07-31,NB,<20
2021-07-31,NL,<20
2021-07-31,NT,<20
2021-07-31,NS,<20
2021-07-31,NU,<20
2021-07-31,ON,86
2021-07-31,PE,<20
2021-07-31,QC,<20
2021-07-31,SK,25
2021-07-31,YT,<20
2021-07-31,npts-ptso,<20
2021-08-31,AB,<20
2021-08-31,BC,<20
2021-08-31,MB,22
2021-08-31,NB,<20
2021-08-31,NL,<20
2021-08-31,NT,<20
2021-08-31,NS,<20
2021-08-31,NU,<20
2021-08-31,ON,356
2021-08-31,PE,<20
2021-08-31,QC,45
2021-08-31,SK,55
2021-08-31,YT,<20
2021-08-31,npts-ptso,21
2021-09-30,AB,<20
2021-09-30,BC,<20
2021-09-30,MB,30
2021-09-30,NB,<20
2021-09-30,NL,<20
2021-09-30,NT,<20
2021-09-30,NS,<20
2021-09-30,NU,<20
2021-09-30,ON,442
2021-09-30,PE,<20
2021-09-30,QC,49
2021-09-30,SK,132
2021-09-30,YT,<20
2021-09-30,npts-ptso,28
2021-10-31,AB,<20
2021-10-31,BC,<20
2021-10-31,MB,43
2021-10-31,NB,<20
2021-10-31,NL,<20
2021-10-31,NT,<20
2021-10-31,NS,<20
2021-10-31,NU,<20
2021-10-31,ON,349
2021-10-31,PE,<20
2021-10-31,QC,58
2021-10-31,SK,136
2021-10-31,YT,<20
2021-10-31,npts-ptso,20
2021-11-30,AB,<20
2021-11-30,BC,<20
2021-11-30,MB,40
2021-11-30,NB,<20
2021-11-30,NL,<20
2021-11-30,NT,<20
2021-11-30,NS,<20
2021-11-30,NU,<20
2021-11-30,ON,600
2021-11-30,PE,<20
2021-11-30,QC,72
2021-11-30,SK,60
2021-11-30,YT,<20
2021-11-30,npts-ptso,30
2021-12-31,AB,<20
2021-12-31,BC,<20
2021-12-31,MB,99
2021-12-31,NB,28
2021-12-31,NL,165
2021-12-31,NT,<20
2021-12-31,NS,20
2021-12-31,NU,<20
2021-12-31,ON,9614
2021-12-31,PE,<20
2021-12-31,QC,991
2021-12-31,SK,109
2021-12-31,YT,<20
2021-12-31,npts-ptso,574
2022-01-31,AB,<20
2022-01-31,BC,<20
2022-01-31,MB,429
2022-01-31,NB,<20
2022-01-31,NL,68
2022-01-31,NT,<20
2022-01-31,NS,<20
2022-01-31,NU,<20
2022-01-31,ON,6345
2022-01-31,PE,<20
2022-01-31,QC,548
2022-01-31,SK,94
2022-01-31,YT,<20
2022-01-31,npts-ptso,345
2022-02-28,AB,<20
2022-02-28,BC,<20
2022-02-28,MB,117
2022-02-28,NB,<20
2022-02-28,NL,<20
2022-02-28,NT,<20
2022-02-28,NS,<20
2022-02-28,NU,<20
2022-02-28,ON,1080
2022-02-28,PE,<20
2022-02-28,QC,27
2022-02-28,SK,<20
2022-02-28,YT,<20
2022-02-28,npts-ptso,67
2022-03-31,AB,<20
2022-03-31,BC,<20
2022-03-31,MB,38
2022-03-31,NB,<20
2022-03-31,NL,<20
2022-03-31,NT,<20
2022-03-31,NS,<20
2022-03-31,NU,<20
2022-03-31,ON,1430
2022-03-31,PE,<20
2022-03-31,QC,30
2022-03-31,SK,<20
2022-03-31,YT,<20
2022-03-31,npts-ptso,69
2022-04-30,AB,<20
2022-04-30,BC,<20
2022-04-30,MB,<20
2022-04-30,NB,<20
2022-04-30,NL,<20
2022-04-30,NT,<20
2022-04-30,NS,<20
2022-04-30,NU,<20
2022-04-30,ON,2081
2022-04-30,PE,<20
2022-04-30,QC,22
2022-04-30,SK,<20
2022-04-30,YT,<20
2022-04-30,npts-ptso,101
2022-05-31,AB,<20
2022-05-31,BC,<20
2022-05-31,MB,<20
2022-05-31,NB,<20
2022-05-31,NL,<20
2022-05-31,NT,<20
2022-05-31,NS,<20
2022-05-31,NU,<20
2022-05-31,ON,699
2022-05-31,PE,<20
2022-05-31,QC,<20
2022-05-31,SK,<20
2022-05-31,YT,<20
2022-05-31,npts-ptso,42
