date,region,date_provided-date_fournie,count-nombre
2021-03-31,AB,date,<20
2021-03-31,AB,no_date-date_so,<20
2021-03-31,BC,date,<20
2021-03-31,BC,no_date-date_so,<20
2021-03-31,MB,date,<20
2021-03-31,MB,no_date-date_so,<20
2021-03-31,NB,date,<20
2021-03-31,NB,no_date-date_so,<20
2021-03-31,NL,date,<20
2021-03-31,NL,no_date-date_so,<20
2021-03-31,NT,date,<20
2021-03-31,NT,no_date-date_so,<20
2021-03-31,NS,date,<20
2021-03-31,NS,no_date-date_so,<20
2021-03-31,NU,date,<20
2021-03-31,NU,no_date-date_so,<20
2021-03-31,ON,date,<20
2021-03-31,ON,no_date-date_so,<20
2021-03-31,PE,date,<20
2021-03-31,PE,no_date-date_so,<20
2021-03-31,QC,date,<20
2021-03-31,QC,no_date-date_so,<20
2021-03-31,SK,date,<20
2021-03-31,SK,no_date-date_so,<20
2021-03-31,YT,date,<20
2021-03-31,YT,no_date-date_so,<20
2021-03-31,npts-ptso,date,<20
2021-03-31,npts-ptso,no_date-date_so,<20
2021-04-30,AB,date,<20
2021-04-30,AB,no_date-date_so,<20
2021-04-30,BC,date,<20
2021-04-30,BC,no_date-date_so,<20
2021-04-30,MB,date,169
2021-04-30,MB,no_date-date_so,<20
2021-04-30,NB,date,<20
2021-04-30,NB,no_date-date_so,<20
2021-04-30,NL,date,<20
2021-04-30,NL,no_date-date_so,<20
2021-04-30,NT,date,<20
2021-04-30,NT,no_date-date_so,<20
2021-04-30,NS,date,49
2021-04-30,NS,no_date-date_so,<20
2021-04-30,NU,date,<20
2021-04-30,NU,no_date-date_so,<20
2021-04-30,ON,date,3383
2021-04-30,ON,no_date-date_so,495
2021-04-30,PE,date,<20
2021-04-30,PE,no_date-date_so,<20
2021-04-30,QC,date,170
2021-04-30,QC,no_date-date_so,38
2021-04-30,SK,date,188
2021-04-30,SK,no_date-date_so,37
2021-04-30,YT,date,<20
2021-04-30,YT,no_date-date_so,<20
2021-04-30,npts-ptso,date,157
2021-04-30,npts-ptso,no_date-date_so,29
2021-05-31,AB,date,<20
2021-05-31,AB,no_date-date_so,<20
2021-05-31,BC,date,<20
2021-05-31,BC,no_date-date_so,<20
2021-05-31,MB,date,375
2021-05-31,MB,no_date-date_so,32
2021-05-31,NB,date,<20
2021-05-31,NB,no_date-date_so,<20
2021-05-31,NL,date,29
2021-05-31,NL,no_date-date_so,<20
2021-05-31,NT,date,<20
2021-05-31,NT,no_date-date_so,<20
2021-05-31,NS,date,42
2021-05-31,NS,no_date-date_so,<20
2021-05-31,NU,date,<20
2021-05-31,NU,no_date-date_so,<20
2021-05-31,ON,date,1720
2021-05-31,ON,no_date-date_so,110
2021-05-31,PE,date,<20
2021-05-31,PE,no_date-date_so,<20
2021-05-31,QC,date,77
2021-05-31,QC,no_date-date_so,<20
2021-05-31,SK,date,256
2021-05-31,SK,no_date-date_so,22
2021-05-31,YT,date,<20
2021-05-31,YT,no_date-date_so,<20
2021-05-31,npts-ptso,date,105
2021-05-31,npts-ptso,no_date-date_so,<20
2021-06-30,AB,date,<20
2021-06-30,AB,no_date-date_so,<20
2021-06-30,BC,date,<20
2021-06-30,BC,no_date-date_so,<20
2021-06-30,MB,date,89
2021-06-30,MB,no_date-date_so,<20
2021-06-30,NB,date,<20
2021-06-30,NB,no_date-date_so,<20
2021-06-30,NL,date,<20
2021-06-30,NL,no_date-date_so,<20
2021-06-30,NT,date,<20
2021-06-30,NT,no_date-date_so,<20
2021-06-30,NS,date,<20
2021-06-30,NS,no_date-date_so,<20
2021-06-30,NU,date,<20
2021-06-30,NU,no_date-date_so,<20
2021-06-30,ON,date,218
2021-06-30,ON,no_date-date_so,<20
2021-06-30,PE,date,<20
2021-06-30,PE,no_date-date_so,<20
2021-06-30,QC,date,<20
2021-06-30,QC,no_date-date_so,<20
2021-06-30,SK,date,66
2021-06-30,SK,no_date-date_so,<20
2021-06-30,YT,date,<20
2021-06-30,YT,no_date-date_so,<20
2021-06-30,npts-ptso,date,<20
2021-06-30,npts-ptso,no_date-date_so,<20
2021-07-31,AB,date,<20
2021-07-31,AB,no_date-date_so,<20
2021-07-31,BC,date,<20
2021-07-31,BC,no_date-date_so,<20
2021-07-31,MB,date,<20
2021-07-31,MB,no_date-date_so,<20
2021-07-31,NB,date,<20
2021-07-31,NB,no_date-date_so,<20
2021-07-31,NL,date,<20
2021-07-31,NL,no_date-date_so,<20
2021-07-31,NT,date,<20
2021-07-31,NT,no_date-date_so,<20
2021-07-31,NS,date,<20
2021-07-31,NS,no_date-date_so,<20
2021-07-31,NU,date,<20
2021-07-31,NU,no_date-date_so,<20
2021-07-31,ON,date,79
2021-07-31,ON,no_date-date_so,<20
2021-07-31,PE,date,<20
2021-07-31,PE,no_date-date_so,<20
2021-07-31,QC,date,<20
2021-07-31,QC,no_date-date_so,<20
2021-07-31,SK,date,20
2021-07-31,SK,no_date-date_so,<20
2021-07-31,YT,date,<20
2021-07-31,YT,no_date-date_so,<20
