date,action,count
2021-01-01,turn_on,<20
2021-01-01,turn_off,<20
2021-01-02,turn_on,<20
2021-01-02,turn_off,<20
2021-01-03,turn_on,<20
2021-01-03,turn_off,<20
2021-01-04,turn_on,<20
2021-01-04,turn_off,<20
2021-01-05,turn_on,<20
2021-01-05,turn_off,<20
2021-01-06,turn_on,<20
2021-01-06,turn_off,<20
2021-01-07,turn_on,<20
2021-01-07,turn_off,<20
2021-01-08,turn_on,<20
2021-01-08,turn_off,<20
2021-01-09,turn_on,<20
2021-01-09,turn_off,<20
2021-01-10,turn_on,<20
2021-01-10,turn_off,<20
2021-01-11,turn_on,<20
2021-01-11,turn_off,<20
2021-01-12,turn_on,<20
2021-01-12,turn_off,<20
2021-01-13,turn_on,<20
2021-01-13,turn_off,<20
2021-01-14,turn_on,<20
2021-01-14,turn_off,<20
2021-01-15,turn_on,<20
2021-01-15,turn_off,<20
2021-01-16,turn_on,<20
2021-01-16,turn_off,<20
2021-01-17,turn_on,<20
2021-01-17,turn_off,<20
2021-01-18,turn_on,<20
2021-01-18,turn_off,<20
2021-01-19,turn_on,<20
2021-01-19,turn_off,<20
2021-01-20,turn_on,<20
2021-01-20,turn_off,<20
2021-01-21,turn_on,<20
2021-01-21,turn_off,<20
2021-01-22,turn_on,<20
2021-01-22,turn_off,<20
2021-01-23,turn_on,<20
2021-01-23,turn_off,<20
2021-01-24,turn_on,<20
2021-01-24,turn_off,<20
2021-01-25,turn_on,<20
2021-01-25,turn_off,<20
2021-01-26,turn_on,<20
2021-01-26,turn_off,<20
2021-01-27,turn_on,<20
2021-01-27,turn_off,<20
2021-01-28,turn_on,<20
2021-01-28,turn_off,<20
2021-01-29,turn_on,<20
2021-01-29,turn_off,<20
2021-01-30,turn_on,<20
2021-01-30,turn_off,<20
2021-01-31,turn_on,<20
2021-01-31,turn_off,<20
2021-02-01,turn_on,<20
2021-02-01,turn_off,<20
2021-02-02,turn_on,<20
2021-02-02,turn_off,<20
2021-02-03,turn_on,<20
2021-02-03,turn_off,<20
2021-02-04,turn_on,<20
2021-02-04,turn_off,<20
2021-02-05,turn_on,<20
2021-02-05,turn_off,<20
2021-02-06,turn_on,<20
2021-02-06,turn_off,<20
2021-02-07,turn_on,<20
2021-02-07,turn_off,<20
2021-02-08,turn_on,<20
2021-02-08,turn_off,<20
2021-02-09,turn_on,<20
2021-02-09,turn_off,<20
2021-02-10,turn_on,<20
2021-02-10,turn_off,<20
2021-02-11,turn_on,<20
2021-02-11,turn_off,<20
2021-02-12,turn_on,<20
2021-02-12,turn_off,<20
2021-02-13,turn_on,<20
2021-02-13,turn_off,<20
2021-02-14,turn_on,<20
2021-02-14,turn_off,<20
2021-02-15,turn_on,<20
2021-02-15,turn_off,<20
2021-02-16,turn_on,<20
2021-02-16,turn_off,<20
2021-02-17,turn_on,<20
2021-02-17,turn_off,<20
2021-02-18,turn_on,<20
2021-02-18,turn_off,<20
2021-02-19,turn_on,<20
2021-02-19,turn_off,<20
2021-02-20,turn_on,<20
2021-02-20,turn_off,<20
2021-02-21,turn_on,26976.0
2021-02-21,turn_off,26976.0
2021-02-22,turn_on,26976.0
2021-02-22,turn_off,26976.0
2021-02-23,turn_on,<20
2021-02-23,turn_off,<20
2021-02-24,turn_on,<20
2021-02-24,turn_off,<20
2021-02-25,turn_on,<20
2021-02-25,turn_off,<20
2021-02-26,turn_on,<20
2021-02-26,turn_off,<20
2021-02-27,turn_on,<20
2021-02-27,turn_off,<20
2021-02-28,turn_on,<20
2021-02-28,turn_off,<20
2021-03-01,turn_on,<20
2021-03-01,turn_off,<20
2021-03-02,turn_on,<20
2021-03-02,turn_off,<20
2021-03-03,turn_on,<20
2021-03-03,turn_off,<20
2021-03-04,turn_on,<20
2021-03-04,turn_off,<20
2021-03-05,turn_on,<20
2021-03-05,turn_off,<20
2021-03-06,turn_on,<20
2021-03-06,turn_off,<20
2021-03-07,turn_on,<20
2021-03-07,turn_off,<20
2021-03-08,turn_on,<20
2021-03-08,turn_off,<20
2021-03-09,turn_on,<20
2021-03-09,turn_off,<20
2021-03-10,turn_on,<20
2021-03-10,turn_off,<20
2021-03-11,turn_on,<20
2021-03-11,turn_off,<20
2021-03-12,turn_on,<20
2021-03-12,turn_off,<20
2021-03-13,turn_on,<20
2021-03-13,turn_off,<20
2021-03-14,turn_on,<20
2021-03-14,turn_off,<20
2021-03-15,turn_on,<20
2021-03-15,turn_off,<20
2021-03-16,turn_on,<20
2021-03-16,turn_off,<20
2021-03-17,turn_on,<20
2021-03-17,turn_off,<20
2021-03-18,turn_on,34.0
2021-03-18,turn_off,<20
2021-03-19,turn_on,<20
2021-03-19,turn_off,<20
2021-03-20,turn_on,<20
2021-03-20,turn_off,<20
2021-03-21,turn_on,<20
2021-03-21,turn_off,<20
