date,frameworkenabled,pushnotification,count
2021-01-03,true,granted,<20
2021-01-03,true,blocked,<20
2021-01-03,false,granted,<20
2021-01-03,false,blocked,<20
2021-01-10,true,granted,<20
2021-01-10,true,blocked,<20
2021-01-10,false,granted,<20
2021-01-10,false,blocked,<20
2021-01-17,true,granted,<20
2021-01-17,true,blocked,<20
2021-01-17,false,granted,<20
2021-01-17,false,blocked,<20
2021-01-24,true,granted,<20
2021-01-24,true,blocked,<20
2021-01-24,false,granted,<20
2021-01-24,false,blocked,<20
2021-01-31,true,granted,<20
2021-01-31,true,blocked,<20
2021-01-31,false,granted,<20
2021-01-31,false,blocked,<20
2021-02-07,true,granted,<20
2021-02-07,true,blocked,<20
2021-02-07,false,granted,<20
2021-02-07,false,blocked,<20
2021-02-14,true,granted,<20
2021-02-14,true,blocked,<20
2021-02-14,false,granted,<20
2021-02-14,false,blocked,<20
2021-02-21,true,granted,<20
2021-02-21,true,blocked,<20
2021-02-21,false,granted,<20
2021-02-21,false,blocked,<20
2021-02-28,true,granted,<20
2021-02-28,true,blocked,<20
2021-02-28,false,granted,<20
2021-02-28,false,blocked,<20
2021-03-07,true,granted,<20
2021-03-07,true,blocked,<20
2021-03-07,false,granted,<20
2021-03-07,false,blocked,<20
2021-03-14,true,granted,<20
2021-03-14,true,blocked,<20
2021-03-14,false,granted,<20
2021-03-14,false,blocked,<20
