date,region,appos,count
2021-02-23,NPTS,android,<20
2021-02-23,QC,android,<20
2021-02-23,QC,ios,<20
2021-02-24,MB,ios,<20
2021-02-24,NPTS,android,<20
2021-02-24,NPTS,ios,<20
2021-02-24,QC,android,<20
2021-02-24,QC,ios,<20
2021-02-25,MB,ios,<20
2021-02-25,NPTS,android,<20
2021-02-25,NPTS,ios,<20
2021-02-25,NT,ios,<20
2021-02-25,QC,ios,<20
2021-02-26,MB,ios,<20
2021-02-26,NPTS,android,<20
2021-02-26,NPTS,ios,<20
2021-02-26,NT,ios,<20
2021-02-26,ON,android,<20
2021-02-26,ON,ios,<20
2021-02-26,QC,ios,<20
2021-02-27,MB,ios,<20
2021-02-27,NPTS,android,<20
2021-02-27,NPTS,ios,<20
2021-02-27,NT,ios,<20
2021-02-27,ON,android,<20
2021-02-27,ON,ios,<20
2021-02-27,QC,ios,<20
2021-02-28,MB,ios,<20
2021-02-28,NPTS,ios,<20
2021-02-28,NT,ios,<20
2021-02-28,ON,android,<20
2021-02-28,ON,ios,<20
2021-02-28,QC,ios,<20
2021-03-01,MB,ios,<20
2021-03-01,NPTS,ios,<20
2021-03-01,NT,ios,<20
2021-03-01,ON,android,<20
2021-03-01,ON,ios,<20
2021-03-01,QC,ios,<20
2021-03-02,NPTS,ios,<20
2021-03-02,NT,ios,<20
2021-03-02,ON,android,<20
2021-03-02,ON,ios,<20
2021-03-02,QC,ios,<20
2021-03-03,NPTS,ios,<20
2021-03-03,NT,ios,<20
2021-03-03,ON,android,<20
2021-03-03,QC,ios,<20
2021-03-04,NPTS,android,<20
2021-03-04,ON,android,<20
2021-03-05,MB,ios,<20
2021-03-05,NPTS,ios,<20
2021-03-05,NT,ios,<20
2021-03-05,ON,ios,<20
2021-03-06,NT,ios,<20
2021-03-06,ON,ios,<20
2021-03-06,QC,ios,<20
2021-03-07,NT,ios,<20
2021-03-07,ON,ios,<20
2021-03-07,QC,ios,<20
2021-03-08,NT,ios,<20
2021-03-08,ON,android,<20
2021-03-08,QC,ios,<20
2021-03-09,NPTS,android,<20
2021-03-09,NPTS,ios,<20
2021-03-09,ON,ios,<20
2021-03-10,NPTS,ios,<20
2021-03-10,ON,android,<20
2021-03-10,ON,ios,<20
2021-03-11,NPTS,android,<20
2021-03-11,NPTS,ios,<20
2021-03-11,ON,ios,<20
2021-03-12,NPTS,android,<20
2021-03-12,NPTS,ios,<20
2021-03-12,ON,android,<20
2021-03-12,ON,ios,<20
2021-03-13,ON,android,<20
2021-03-13,ON,ios,<20
2021-03-13,QC,ios,<20
2021-03-14,NS,ios,<20
2021-03-14,ON,ios,<20
2021-03-14,QC,ios,<20
2021-03-15,NPTS,android,<20
2021-03-15,NS,ios,<20
2021-03-15,ON,android,<20
2021-03-15,QC,ios,<20
2021-03-16,NPTS,android,31
2021-03-16,NS,ios,<20
2021-03-16,ON,android,<20
2021-03-16,QC,ios,<20
2021-03-17,NPTS,android,26
2021-03-17,NS,ios,<20
2021-03-17,ON,android,<20
2021-03-17,QC,android,<20
2021-03-17,QC,ios,<20
2021-03-18,MB,android,<20
2021-03-18,NPTS,android,<20
2021-03-18,NS,ios,<20
2021-03-18,ON,android,<20
2021-03-18,QC,ios,<20
2021-03-19,NPTS,android,<20
2021-03-19,NS,ios,<20
2021-03-19,ON,android,<20
