date,appos,appversion,count
2021-02-23,android,242,<20
2021-02-23,android,243,<20
2021-02-23,ios,242,<20
2021-02-24,android,242,<20
2021-02-24,android,243,<20
2021-02-24,ios,242,<20
2021-02-24,ios,243,<20
2021-02-25,android,245,<20
2021-02-25,android,246,<20
2021-02-25,ios,243,<20
2021-02-26,android,246,<20
2021-02-26,ios,243,<20
2021-02-26,ios,246,<20
2021-02-27,android,246,<20
2021-02-27,ios,243,<20
2021-02-27,ios,246,<20
2021-02-28,android,246,<20
2021-02-28,ios,243,<20
2021-02-28,ios,246,<20
2021-03-01,android,246,<20
2021-03-01,ios,223,<20
2021-03-01,ios,243,<20
2021-03-01,ios,246,<20
2021-03-02,android,246,<20
2021-03-02,ios,246,<20
2021-03-03,android,246,<20
2021-03-03,ios,223,<20
2021-03-03,ios,246,<20
2021-03-04,android,246,<20
2021-03-04,android,250,<20
2021-03-04,android,251,<20
2021-03-05,ios,251,<20
2021-03-06,ios,251,<20
2021-03-07,ios,251,<20
2021-03-08,android,251,<20
2021-03-08,ios,251,<20
2021-03-09,android,223,<20
2021-03-09,android,247,<20
2021-03-09,android,253,<20
2021-03-09,ios,223,<20
2021-03-09,ios,251,<20
2021-03-09,ios,253,<20
2021-03-10,android,253,<20
2021-03-10,ios,223,<20
2021-03-10,ios,253,<20
2021-03-11,android,247,<20
2021-03-11,android,253,<20
2021-03-11,ios,253,<20
2021-03-12,android,247,<20
2021-03-12,ios,223,<20
2021-03-12,ios,247,<20
2021-03-12,ios,253,<20
2021-03-13,android,247,<20
2021-03-13,ios,253,<20
2021-03-14,ios,253,<20
2021-03-15,android,223,<20
2021-03-15,android,247,<20
2021-03-15,ios,253,<20
2021-03-16,android,223,<20
2021-03-16,android,247,<20
2021-03-16,android,253,<20
2021-03-16,android,254,<20
2021-03-16,android,255,<20
2021-03-16,android,256,<20
2021-03-16,ios,253,<20
2021-03-17,android,223,<20
2021-03-17,android,247,<20
2021-03-17,android,254,<20
2021-03-17,android,256,<20
2021-03-17,android,257,<20
2021-03-17,android,258,<20
2021-03-17,ios,253,<20
2021-03-18,android,223,<20
2021-03-18,android,247,<20
2021-03-18,android,257,<20
2021-03-18,android,258,<20
2021-03-18,android,259,<20
2021-03-18,android,260,<20
2021-03-18,ios,253,<20
2021-03-19,android,223,<20
2021-03-19,android,260,<20
2021-03-19,android,261,<20
