date,appos,appversion,count
2021-02-28,android,242,<20
2021-02-28,android,243,<20
2021-02-28,android,245,<20
2021-02-28,android,246,<20
2021-02-28,ios,242,<20
2021-02-28,ios,243,<20
2021-02-28,ios,246,<20
2021-03-31,android,223,31
2021-03-31,android,246,<20
2021-03-31,android,247,<20
2021-03-31,android,250,<20
2021-03-31,android,251,<20
2021-03-31,android,253,<20
2021-03-31,android,254,<20
2021-03-31,android,255,<20
2021-03-31,android,256,<20
2021-03-31,android,257,22
2021-03-31,android,258,<20
2021-03-31,android,259,<20
2021-03-31,android,260,<20
2021-03-31,android,261,<20
2021-03-31,ios,223,<20
2021-03-31,ios,243,<20
2021-03-31,ios,246,<20
2021-03-31,ios,247,<20
2021-03-31,ios,251,<20
