date,count-nombre
2021-02-28,1018585
2021-03-07,2938513
2021-03-14,3081518
2021-03-21,3117717
2021-03-28,3150161
2021-04-04,3178406
2021-04-11,3210416
2021-04-18,3233105
2021-04-25,3243422
2021-05-02,3246230
2021-05-09,3243165
2021-05-16,3230852
2021-05-23,3780631
2021-05-30,4891578
2021-06-06,4958565
2021-06-13,4773126
2021-06-20,4518638
2021-06-27,4385647
2021-07-04,4042736
2021-07-11,3906683
2021-07-18,3862953
2021-07-25,3771234
2021-08-01,3702910
2021-08-08,3524108
2021-08-15,3446653
2021-08-22,3560495
2021-08-29,3499904
2021-09-05,3425014
2021-09-12,3400261
2021-09-19,3359926
2021-09-26,8149634
2021-10-03,9730045
2021-10-10,8301386
2021-10-17,7180599
2021-10-24,6114501
2021-10-31,5227272
2021-11-07,4323233
2021-11-14,4114931
2021-11-21,4107944
2021-11-28,4178010
2021-12-05,4084299
2021-12-12,3789939
2021-12-19,3687973
2021-12-26,3630511
2022-01-02,3613586
2022-01-09,3558255
2022-01-16,3535406
2022-01-23,3413022
2022-01-30,3331806
2022-02-06,3193761
2022-02-13,3178409
2022-02-20,3106137
2022-02-27,3106982
2022-03-06,2998348
