date,region,count
2021-02-28,AB,31370
2021-02-28,BC,63283
2021-02-28,MB,55584
2021-02-28,NB,34574
2021-02-28,NL,39053
2021-02-28,NT,1037
2021-02-28,NS,37238
2021-02-28,NU,253
2021-02-28,ON,452987
2021-02-28,PE,6056
2021-02-28,QC,221320
2021-02-28,SK,25605
2021-02-28,YT,342
2021-02-28,NPTS,72420
2021-03-07,AB,84809
2021-03-07,BC,170941
2021-03-07,MB,117222
2021-03-07,NB,76017
2021-03-07,NL,114162
2021-03-07,NT,2275
2021-03-07,NS,108806
2021-03-07,NU,586
2021-03-07,ON,1310240
2021-03-07,PE,19063
2021-03-07,QC,650769
2021-03-07,SK,71500
2021-03-07,YT,1018
2021-03-07,NPTS,209927
2021-03-14,AB,87402
2021-03-14,BC,176484
2021-03-14,MB,122222
2021-03-14,NB,79683
2021-03-14,NL,118234
2021-03-14,NT,2402
2021-03-14,NS,113263
2021-03-14,NU,621
2021-03-14,ON,1375044
2021-03-14,PE,19708
2021-03-14,QC,683844
2021-03-14,SK,74470
2021-03-14,YT,1064
2021-03-14,NPTS,225918
2021-03-21,AB,87680
2021-03-21,BC,177171
2021-03-21,MB,123242
2021-03-21,NB,80259
2021-03-21,NL,118308
2021-03-21,NT,2455
2021-03-21,NS,114397
2021-03-21,NU,635
2021-03-21,ON,1392578
2021-03-21,PE,19723
2021-03-21,QC,688346
2021-03-21,SK,75462
2021-03-21,YT,1079
2021-03-21,NPTS,234961
