date,region,appos,count
2021-02-28,AB,android,3685
2021-02-28,AB,ios,27685
2021-02-28,BC,android,9952
2021-02-28,BC,ios,55820
2021-02-28,MB,android,7683
2021-02-28,MB,ios,47902
2021-02-28,NB,android,7222
2021-02-28,NB,ios,27353
2021-02-28,NL,android,9297
2021-02-28,NL,ios,32081
2021-02-28,NT,android,165
2021-02-28,NT,ios,871
2021-02-28,NS,android,7254
2021-02-28,NS,ios,29984
2021-02-28,NU,android,82
2021-02-28,NU,ios,198
2021-02-28,ON,android,86829
2021-02-28,ON,ios,366164
2021-02-28,PE,android,1141
2021-02-28,PE,ios,4915
2021-02-28,QC,android,47419
2021-02-28,QC,ios,173905
2021-02-28,SK,android,3982
2021-02-28,SK,ios,28831
2021-02-28,YT,android,48
2021-02-28,YT,ios,293
2021-02-28,NPTS,android,9285
2021-02-28,NPTS,ios,65457
2021-03-07,AB,android,11217
2021-03-07,AB,ios,73592
2021-03-07,BC,android,22524
2021-03-07,BC,ios,148417
2021-03-07,MB,android,18730
2021-03-07,MB,ios,98494
2021-03-07,NB,android,18655
2021-03-07,NB,ios,57366
2021-03-07,NL,android,23193
2021-03-07,NL,ios,90970
2021-03-07,NT,android,424
2021-03-07,NT,ios,1850
2021-03-07,NS,android,25016
2021-03-07,NS,ios,83793
2021-03-07,NU,android,145
2021-03-07,NU,ios,440
2021-03-07,ON,android,287422
2021-03-07,ON,ios,1022841
2021-03-07,PE,android,4533
2021-03-07,PE,ios,14531
2021-03-07,QC,android,164523
2021-03-07,QC,ios,486259
2021-03-07,SK,android,12926
2021-03-07,SK,ios,58576
2021-03-07,YT,android,167
2021-03-07,YT,ios,851
2021-03-07,NPTS,android,25458
2021-03-07,NPTS,ios,184476
2021-03-14,AB,android,11912
2021-03-14,AB,ios,75489
2021-03-14,BC,android,23920
2021-03-14,BC,ios,152564
2021-03-14,MB,android,20643
2021-03-14,MB,ios,101580
2021-03-14,NB,android,20403
2021-03-14,NB,ios,59282
2021-03-14,NL,android,24488
2021-03-14,NL,ios,93747
2021-03-14,NT,android,466
2021-03-14,NT,ios,1936
2021-03-14,NS,android,26626
2021-03-14,NS,ios,86638
2021-03-14,NU,android,150
2021-03-14,NU,ios,470
2021-03-14,ON,android,315813
2021-03-14,ON,ios,1059243
2021-03-14,PE,android,4657
2021-03-14,PE,ios,15051
2021-03-14,QC,android,182479
2021-03-14,QC,ios,501375
2021-03-14,SK,android,13950
2021-03-14,SK,ios,60520
2021-03-14,YT,android,181
2021-03-14,YT,ios,883
2021-03-14,NPTS,android,30786
2021-03-14,NPTS,ios,195142
2021-03-21,AB,android,11928
2021-03-21,AB,ios,75752
2021-03-21,BC,android,23897
2021-03-21,BC,ios,153275
2021-03-21,MB,android,20838
2021-03-21,MB,ios,102405
2021-03-21,NB,android,20576
2021-03-21,NB,ios,59687
2021-03-21,NL,android,24164
2021-03-21,NL,ios,94150
2021-03-21,NT,android,474
2021-03-21,NT,ios,1981
2021-03-21,NS,android,26883
2021-03-21,NS,ios,87516
2021-03-21,NU,android,160
2021-03-21,NU,ios,475
2021-03-21,ON,android,320489
2021-03-21,ON,ios,1072117
2021-03-21,PE,android,4561
2021-03-21,PE,ios,15161
2021-03-21,QC,android,184189
2021-03-21,QC,ios,504184
2021-03-21,SK,android,14299
2021-03-21,SK,ios,61163
2021-03-21,YT,android,182
2021-03-21,YT,ios,897
2021-03-21,NPTS,android,32207
2021-03-21,NPTS,ios,202777
2021-03-28,AB,android,12007
2021-03-28,AB,ios,75495
2021-03-28,BC,android,24056
2021-03-28,BC,ios,152929
2021-03-28,MB,android,21393
2021-03-28,MB,ios,102627
2021-03-28,NB,android,21256
2021-03-28,NB,ios,59822
2021-03-28,NL,android,24021
2021-03-28,NL,ios,94108
2021-03-28,NT,android,503
2021-03-28,NT,ios,2006
2021-03-28,NS,android,28058
2021-03-28,NS,ios,87910
2021-03-28,NU,android,175
2021-03-28,NU,ios,473
2021-03-28,ON,android,330551
2021-03-28,ON,ios,1078702
2021-03-28,PE,android,4711
2021-03-28,PE,ios,15199
2021-03-28,QC,android,187996
2021-03-28,QC,ios,503618
2021-03-28,SK,android,15079
2021-03-28,SK,ios,61423
2021-03-28,YT,android,191
2021-03-28,YT,ios,898
2021-03-28,NPTS,android,33374
2021-03-28,NPTS,ios,208674
