date,appos,appversion,count
2021-02-28,android,235,<20
2021-02-28,android,239,<20
2021-02-28,android,241,<20
2021-02-28,android,244,<20
2021-02-28,android,246,241448
2021-02-28,android,248,2359
2021-02-28,android,252,286
2021-02-28,android,267,<20
2021-02-28,ios,238,<20
2021-02-28,ios,239,<20
2021-02-28,ios,241,<20
2021-02-28,ios,244,<20
2021-02-28,ios,246,1110778
2021-02-28,ios,248,2738
2021-02-28,ios,252,59
2021-03-07,android,235,<20
2021-03-07,android,241,<20
2021-03-07,android,246,516189
2021-03-07,android,247,51
2021-03-07,android,248,97751
2021-03-07,android,252,895
2021-03-07,android,267,<20
2021-03-07,ios,233,<20
2021-03-07,ios,238,<20
2021-03-07,ios,241,<20
2021-03-07,ios,246,2056596
2021-03-07,ios,247,<20
2021-03-07,ios,248,265635
2021-03-07,ios,252,208
2021-03-14,android,246,26857
2021-03-14,android,247,<20
2021-03-14,android,248,559292
2021-03-14,android,252,90274
2021-03-14,android,267,<20
2021-03-14,ios,241,<20
2021-03-14,ios,246,125723
2021-03-14,ios,247,<20
2021-03-14,ios,248,2019694
2021-03-14,ios,252,258483
2021-03-14,ios,267,<20
2021-03-21,android,246,5214
2021-03-21,android,248,28832
2021-03-21,android,252,650669
2021-03-21,android,267,<20
2021-03-21,ios,241,<20
2021-03-21,ios,246,42105
2021-03-21,ios,248,119675
2021-03-21,ios,252,2269703
2021-03-21,ios,267,<20
