date,os-se,count-nombre
2021-02-28,android,183330
2021-02-28,ios,835240
2021-03-07,android,615590
2021-03-07,ios,2322870
2021-03-14,android,676971
2021-03-14,ios,2404486
2021-03-21,android,685494
2021-03-21,ios,2432157
2021-03-28,android,705183
2021-03-28,ios,2444907
2021-04-04,android,725677
2021-04-04,ios,2452643
2021-04-11,android,749862
2021-04-11,ios,2460441
2021-04-18,android,768040
2021-04-18,ios,2464927
2021-04-25,android,776402
2021-04-25,ios,2466877
2021-05-02,android,778836
2021-05-02,ios,2466339
2021-05-09,android,779843
2021-05-09,ios,2461963
2021-05-16,android,776003
2021-05-16,ios,2453401
2021-05-23,android,1286977
2021-05-23,ios,1922383
2021-05-30,android,1738735
2021-05-30,ios,1680438
2021-06-06,android,1688226
2021-06-06,ios,1918283
2021-06-13,android,1497920
2021-06-13,ios,2275753
2021-06-20,android,1417452
2021-06-20,ios,2333428
2021-06-27,android,1327311
2021-06-27,ios,2583262
2021-07-04,android,1304739
2021-07-04,ios,2316040
2021-07-11,android,1271363
2021-07-11,ios,2285641
2021-07-18,android,1259263
2021-07-18,ios,2260507
2021-07-25,android,1222810
2021-07-25,ios,2239593
2021-08-01,android,1201586
2021-08-01,ios,2220223
2021-08-08,android,1201861
2021-08-08,ios,2026255
2021-08-15,android,1194061
2021-08-15,ios,1978263
2021-08-22,android,1099454
2021-08-22,ios,2155664
2021-08-29,android,1003866
2021-08-29,ios,2156819
2021-09-05,android,974409
2021-09-05,ios,2149627
2021-09-12,android,961216
2021-09-12,ios,2149464
2021-09-19,android,950858
2021-09-19,ios,2146428
2021-09-26,android,2719197
2021-09-26,ios,2107191
2021-10-03,android,2645147
2021-10-03,ios,2113450
