date,os-se,app_version-version_appli,count-nombre
2021-02-28,android,1.2.1,181121
2021-02-28,android,1.2.2,2384
2021-02-28,android,1.2.3,235
2021-02-28,android,1.2.4,115
2021-02-28,android,1.2.5,<20
2021-02-28,android,1.2.6,40
2021-02-28,android,1.2.7,46
2021-02-28,android,1.2.8,22
2021-02-28,android,1.2.9,20
2021-02-28,ios,1.2.1,833096
2021-02-28,ios,1.2.2,2739
2021-02-28,ios,1.2.3,61
2021-02-28,ios,1.2.4,<20
2021-02-28,ios,1.2.6,<20
2021-02-28,ios,1.2.7,<20
2021-02-28,ios,1.2.8,<20
2021-02-28,ios,1.2.9,<20
2021-02-28,ios,1.4.0,<20
2021-03-07,android,1.2.1,516242
2021-03-07,android,1.2.2,97801
2021-03-07,android,1.2.3,995
2021-03-07,android,1.2.4,162
2021-03-07,android,1.2.5,30
2021-03-07,android,1.2.6,48
2021-03-07,android,1.2.7,73
2021-03-07,android,1.2.8,54
2021-03-07,android,1.2.9,34
2021-03-07,ios,1.2.0,<20
2021-03-07,ios,1.2.1,2056642
2021-03-07,ios,1.2.2,265639
2021-03-07,ios,1.2.3,211
2021-03-07,ios,1.2.4,39
2021-03-07,ios,1.2.6,<20
2021-03-07,ios,1.2.7,22
2021-03-07,ios,1.2.8,26
2021-03-07,ios,1.2.9,<20
2021-03-07,ios,1.4.0,<20
2021-03-14,android,1.2.1,26895
2021-03-14,android,1.2.2,559330
2021-03-14,android,1.2.3,90332
2021-03-14,android,1.2.4,105
2021-03-14,android,1.2.5,22
2021-03-14,android,1.2.6,43
2021-03-14,android,1.2.7,59
2021-03-14,android,1.2.8,44
2021-03-14,android,1.2.9,<20
2021-03-14,ios,1.2.1,125782
2021-03-14,ios,1.2.2,2019705
2021-03-14,ios,1.2.3,258485
2021-03-14,ios,1.2.4,<20
2021-03-14,ios,1.2.6,<20
2021-03-14,ios,1.2.7,<20
2021-03-14,ios,1.2.8,<20
2021-03-14,ios,1.4.0,<20
2021-03-21,android,1.2.1,5265
2021-03-21,android,1.2.2,28863
2021-03-21,android,1.2.3,650822
2021-03-21,android,1.2.4,195
2021-03-21,android,1.2.5,32
2021-03-21,android,1.2.6,47
2021-03-21,android,1.2.7,71
2021-03-21,android,1.2.8,55
2021-03-21,android,1.2.9,<20
2021-03-21,ios,1.2.1,42203
2021-03-21,ios,1.2.2,119691
2021-03-21,ios,1.2.3,2269727
2021-03-21,ios,1.2.4,36
2021-03-21,ios,1.2.6,<20
2021-03-21,ios,1.2.7,<20
2021-03-21,ios,1.2.8,<20
2021-03-21,ios,1.2.9,<20
2021-03-21,ios,1.4.0,<20
2021-03-28,android,1.2.1,3647
2021-03-28,android,1.2.2,6507
2021-03-28,android,1.2.3,602152
2021-03-28,android,1.2.4,92362
2021-03-28,android,1.2.5,62
2021-03-28,android,1.2.6,88
2021-03-28,android,1.2.7,101
2021-03-28,android,1.2.8,74
2021-03-28,android,1.2.9,26
2021-03-28,ios,1.2.1,26479
2021-03-28,ios,1.2.2,40610
2021-03-28,ios,1.2.3,2124019
2021-03-28,ios,1.2.4,253314
2021-03-28,ios,1.2.6,<20
2021-03-28,ios,1.2.7,<20
2021-03-28,ios,1.2.8,<20
2021-03-28,ios,1.2.9,<20
2021-03-28,ios,1.4.0,<20
2021-04-04,android,1.2.1,2655
2021-04-04,android,1.2.2,4015
2021-04-04,android,1.2.3,37767
2021-04-04,android,1.2.4,623911
2021-04-04,android,1.2.5,56631
2021-04-04,android,1.2.6,223
2021-04-04,android,1.2.7,169
2021-04-04,android,1.2.8,93
2021-04-04,android,1.2.9,33
2021-04-04,ios,1.2.1,19554
2021-04-04,ios,1.2.2,25154
2021-04-04,ios,1.2.3,151234
2021-04-04,ios,1.2.4,2256274
2021-04-04,ios,1.2.5,<20
2021-04-04,ios,1.2.6,28
2021-04-04,ios,1.2.7,<20
2021-04-04,ios,1.2.8,<20
2021-04-04,ios,1.2.9,<20
2021-04-04,ios,1.4.0,<20
2021-04-11,android,1.2.1,2100
2021-04-11,android,1.2.2,3032
2021-04-11,android,1.2.3,11263
2021-04-11,android,1.2.4,271020
2021-04-11,android,1.2.5,168292
2021-04-11,android,1.2.6,293216
2021-04-11,android,1.2.7,526
2021-04-11,android,1.2.8,151
2021-04-11,android,1.2.9,36
2021-04-11,ios,1.2.1,15553
2021-04-11,ios,1.2.2,18510
2021-04-11,ios,1.2.3,61428
2021-04-11,ios,1.2.4,1484561
2021-04-11,ios,1.2.6,879891
2021-04-11,ios,1.2.7,76
2021-04-11,ios,1.2.8,<20
2021-04-11,ios,1.2.9,<20
2021-04-11,ios,1.4.0,<20
2021-04-18,android,1.2.1,1792
2021-04-18,android,1.2.2,2384
2021-04-18,android,1.2.3,7421
2021-04-18,android,1.2.4,11739
2021-04-18,android,1.2.5,4565
2021-04-18,android,1.2.6,246931
2021-04-18,android,1.2.7,492650
2021-04-18,android,1.2.8,268
2021-04-18,android,1.2.9,42
2021-04-18,ios,1.2.0,<20
2021-04-18,ios,1.2.1,12937
2021-04-18,ios,1.2.2,14699
2021-04-18,ios,1.2.3,40577
2021-04-18,ios,1.2.4,98984
2021-04-18,ios,1.2.6,804841
2021-04-18,ios,1.2.7,1492469
2021-04-18,ios,1.2.8,23
2021-04-18,ios,1.2.9,<20
2021-04-18,ios,1.4.0,<20
2021-04-25,android,1.2.1,1570
2021-04-25,android,1.2.2,1957
2021-04-25,android,1.2.3,5589
2021-04-25,android,1.2.4,6295
2021-04-25,android,1.2.5,1777
2021-04-25,android,1.2.6,6491
2021-04-25,android,1.2.7,751203
2021-04-25,android,1.2.8,1158
2021-04-25,android,1.2.9,58
