date,appos,appversion,count
2021-02-28,android,235,<20
2021-02-28,android,239,<20
2021-02-28,android,241,<20
2021-02-28,android,244,<20
2021-02-28,android,246,241455
2021-02-28,android,248,2369
2021-02-28,android,252,297
2021-02-28,android,267,48
2021-02-28,ios,238,<20
2021-02-28,ios,239,<20
2021-02-28,ios,241,<20
2021-02-28,ios,244,<20
2021-02-28,ios,246,1110780
2021-02-28,ios,248,2738
2021-02-28,ios,252,60
2021-02-28,ios,267,<20
2021-03-07,android,235,<20
2021-03-07,android,241,<20
2021-03-07,android,246,516201
2021-03-07,android,247,51
2021-03-07,android,248,97760
2021-03-07,android,252,938
2021-03-07,android,267,63
2021-03-07,ios,233,<20
2021-03-07,ios,238,<20
2021-03-07,ios,241,<20
2021-03-07,ios,246,2056611
2021-03-07,ios,247,<20
2021-03-07,ios,248,265635
2021-03-07,ios,252,209
2021-03-07,ios,267,<20
2021-03-14,android,246,26870
2021-03-14,android,247,<20
2021-03-14,android,248,559301
2021-03-14,android,252,90300
2021-03-14,android,267,42
2021-03-14,ios,241,<20
2021-03-14,ios,246,125745
2021-03-14,ios,247,<20
2021-03-14,ios,248,2019697
2021-03-14,ios,252,258484
2021-03-14,ios,267,<20
2021-03-21,android,246,5236
2021-03-21,android,248,28842
2021-03-21,android,252,650742
2021-03-21,android,267,85
2021-03-21,ios,241,<20
2021-03-21,ios,246,42149
2021-03-21,ios,248,119683
2021-03-21,ios,252,2269716
2021-03-21,ios,267,22
2021-03-28,android,246,3587
2021-03-28,android,248,6474
2021-03-28,android,252,601952
2021-03-28,android,265,33
2021-03-28,android,266,95
2021-03-28,android,267,91955
2021-03-28,ios,241,<20
2021-03-28,ios,246,26350
2021-03-28,ios,248,40591
2021-03-28,ios,252,2123935
2021-03-28,ios,267,253246
