date,os-se,count-nombre
2020-08-02,android,436716
2020-08-02,ios,759283
2020-08-09,android,656261
2020-08-09,ios,1134273
2020-08-16,android,749159
2020-08-16,ios,1284816
2020-08-23,android,789191
2020-08-23,ios,1353791
2020-08-30,android,821831
2020-08-30,ios,1407591
2020-09-06,android,858924
2020-09-06,ios,1477336
2020-09-13,android,930820
2020-09-13,ios,1529736
2020-09-20,android,1035141
2020-09-20,ios,1654838
2020-09-27,android,1128304
2020-09-27,ios,1819561
2020-10-04,android,1255849
2020-10-04,ios,2054285
2020-10-11,android,1694510
2020-10-11,ios,2621248
2020-10-18,android,1912776
2020-10-18,ios,2761576
2020-10-25,android,2016705
2020-10-25,ios,2846891
2020-11-01,android,2094764
2020-11-01,ios,2921073
2020-11-08,android,2156458
2020-11-08,ios,2986066
2020-11-15,android,2224583
2020-11-15,ios,3062070
2020-11-22,android,2293334
2020-11-22,ios,3144167
2020-11-29,android,2351189
2020-11-29,ios,3204060
2020-12-06,android,2388222
2020-12-06,ios,3246225
2020-12-13,android,2415060
2020-12-13,ios,3280781
2020-12-20,android,2440816
2020-12-20,ios,3315947
2020-12-27,android,2468715
2020-12-27,ios,3351708
2021-01-03,android,2497296
2021-01-03,ios,3393403
2021-01-10,android,2532835
2021-01-10,ios,3453066
2021-01-17,android,2561345
2021-01-17,ios,3497066
2021-01-24,android,2579915
2021-01-24,ios,3522244
2021-01-31,android,2596532
2021-01-31,ios,3546927
2021-02-07,android,2609040
2021-02-07,ios,3562378
2021-02-14,android,2641053
2021-02-14,ios,3629044
2021-02-21,android,2653220
2021-02-21,ios,3644619
2021-02-28,android,2664507
2021-02-28,ios,3656628
2021-03-07,android,2674606
2021-03-07,ios,3667318
2021-03-14,android,2684526
2021-03-14,ios,3676046
2021-03-21,android,2697435
2021-03-21,ios,3685609
2021-03-28,android,2710872
2021-03-28,ios,3694264
2021-04-04,android,2722225
2021-04-04,ios,3704000
2021-04-11,android,2731609
2021-04-11,ios,3714755
2021-04-18,android,2738048
2021-04-18,ios,3725837
2021-04-25,android,2744148
2021-04-25,ios,3735826
2021-05-02,android,2750200
2021-05-02,ios,3745720
2021-05-09,android,2755638
2021-05-09,ios,3753886
2021-05-16,android,2760295
2021-05-16,ios,3760164
2021-05-23,android,2764262
2021-05-23,ios,3765072
2021-05-30,android,2768212
2021-05-30,ios,3770167
2021-06-06,android,2771548
2021-06-06,ios,3773633
2021-06-13,android,2774866
2021-06-13,ios,3776818
2021-06-20,android,2778366
2021-06-20,ios,3780018
2021-06-27,android,2781996
2021-06-27,ios,3783079
2021-07-04,android,2785469
2021-07-04,ios,3785711
2021-07-11,android,2789392
2021-07-11,ios,3789108
2021-07-18,android,2793001
2021-07-18,ios,3792243
2021-07-25,android,2796630
2021-07-25,ios,3795564
2021-08-01,android,2800209
2021-08-01,ios,3799037
2021-08-08,android,2803975
2021-08-08,ios,3803033
2021-08-15,android,2808184
2021-08-15,ios,3807515
2021-08-22,android,2812403
2021-08-22,ios,3812110
2021-08-29,android,2818600
2021-08-29,ios,3817369
2021-09-05,android,2826787
2021-09-05,ios,3822747
2021-09-12,android,2832826
2021-09-12,ios,3828455
2021-09-19,android,2838911
2021-09-19,ios,3833777
2021-09-26,android,2845661
2021-09-26,ios,3839956
2021-10-03,android,2851098
2021-10-03,ios,3845633
2021-10-10,android,2856192
2021-10-10,ios,3851175
2021-10-17,android,2863896
2021-10-17,ios,3855253
