date,os-se,count-nombre
2021-04-04,android,<20
2021-04-04,ios,<20
2021-04-11,android,<20
2021-04-11,ios,<20
2021-04-18,android,<20
2021-04-18,ios,<20
2021-04-25,android,468
2021-04-25,ios,<20
2021-05-02,android,769452
2021-05-02,ios,<20
2021-05-09,android,890575
2021-05-09,ios,<20
2021-05-16,android,893258
2021-05-16,ios,<20
2021-05-23,android,898244
2021-05-23,ios,4413
2021-05-30,android,939558
2021-05-30,ios,14426
2021-06-06,android,1140745
2021-06-06,ios,633773
2021-06-13,android,1252197
2021-06-13,ios,1454228
2021-06-20,android,1341835
2021-06-20,ios,1489469
2021-06-27,android,1391081
2021-06-27,ios,2095105
2021-07-04,android,1409438
2021-07-04,ios,2269241
2021-07-11,android,1410547
2021-07-11,ios,2258944
2021-07-18,android,1402168
2021-07-18,ios,2255620
2021-07-25,android,1382785
2021-07-25,ios,2263973
2021-08-01,android,1371051
2021-08-01,ios,2256382
2021-08-08,android,1373459
2021-08-08,ios,1759004
2021-08-15,android,1369012
2021-08-15,ios,1364544
2021-08-22,android,1257773
2021-08-22,ios,2123002
2021-08-29,android,1145285
2021-08-29,ios,2141556
2021-09-05,android,1140579
2021-09-05,ios,2153952
2021-09-12,android,1145432
2021-09-12,ios,2193956
2021-09-19,android,1141903
2021-09-19,ios,2188504
2021-09-26,android,989907
2021-09-26,ios,2145450
2021-10-03,android,997681
2021-10-03,ios,2154592
2021-10-10,android,990863
2021-10-10,ios,2107241
2021-10-17,android,987227
2021-10-17,ios,2104374
2021-10-24,android,982931
2021-10-24,ios,2101384
2021-10-31,android,975448
2021-10-31,ios,2081298
2021-11-07,android,970572
2021-11-07,ios,2094415
2021-11-14,android,962021
2021-11-14,ios,2093348
2021-11-21,android,955943
2021-11-21,ios,2082932
2021-11-28,android,948726
2021-11-28,ios,2074989
2021-12-05,android,949586
2021-12-05,ios,2068165
2021-12-12,android,941384
2021-12-12,ios,2062337
2021-12-19,android,940163
2021-12-19,ios,2062245
2021-12-26,android,942433
2021-12-26,ios,2076624
2022-01-02,android,938839
2022-01-02,ios,2062999
2022-01-09,android,938012
2022-01-09,ios,2064486
2022-01-16,android,931946
2022-01-16,ios,2055285
2022-01-23,android,923350
2022-01-23,ios,2059341
2022-01-30,android,911705
2022-01-30,ios,2026798
2022-02-06,android,900354
2022-02-06,ios,2011879
2022-02-13,android,889359
2022-02-13,ios,1991380
2022-02-20,android,873833
2022-02-20,ios,1993261
2022-02-27,android,859147
2022-02-27,ios,1951510
2022-03-06,android,850239
2022-03-06,ios,1934362
2022-03-13,android,832758
2022-03-13,ios,1909254
2022-03-20,android,816469
2022-03-20,ios,1881703
2022-03-27,android,801791
2022-03-27,ios,1859240
2022-04-03,android,785080
2022-04-03,ios,1838200
2022-04-10,android,773310
2022-04-10,ios,1818161
2022-04-17,android,760039
2022-04-17,ios,1793351
