date,os-se,count-nombre
2020-08-02,android,436716
2020-08-02,ios,759283
2020-08-09,android,219545
2020-08-09,ios,374990
2020-08-16,android,92898
2020-08-16,ios,150543
2020-08-23,android,40032
2020-08-23,ios,68975
2020-08-30,android,32640
2020-08-30,ios,53800
2020-09-06,android,37093
2020-09-06,ios,69745
2020-09-13,android,71896
2020-09-13,ios,52400
2020-09-20,android,104321
2020-09-20,ios,125102
2020-09-27,android,93163
2020-09-27,ios,164061
2020-10-04,android,127545
2020-10-04,ios,234724
2020-10-11,android,438661
2020-10-11,ios,566963
2020-10-18,android,218266
2020-10-18,ios,140328
2020-10-25,android,103929
2020-10-25,ios,85325
2020-11-01,android,78066
2020-11-01,ios,69601
2020-11-08,android,61694
2020-11-08,ios,64993
2020-11-15,android,68125
2020-11-15,ios,76003
2020-11-22,android,68751
2020-11-22,ios,89306
2020-11-29,android,57855
2020-11-29,ios,74903
2020-12-06,android,37033
2020-12-06,ios,42063
2020-12-13,android,26838
2020-12-13,ios,34556
2020-12-20,android,25756
2020-12-20,ios,35166
2020-12-27,android,27899
2020-12-27,ios,35761
2021-01-03,android,28581
2021-01-03,ios,41695
2021-01-10,android,35539
2021-01-10,ios,59663
2021-01-17,android,28510
2021-01-17,ios,44000
2021-01-24,android,18570
2021-01-24,ios,25178
2021-01-31,android,16617
2021-01-31,ios,24683
2021-02-07,android,12508
2021-02-07,ios,15451
2021-02-14,android,32013
2021-02-14,ios,66666
2021-02-21,android,12167
2021-02-21,ios,15575
2021-02-28,android,11287
2021-02-28,ios,12009
2021-03-07,android,10099
2021-03-07,ios,10690
2021-03-14,android,9920
2021-03-14,ios,8728
2021-03-21,android,12909
2021-03-21,ios,9563
2021-03-28,android,13437
2021-03-28,ios,8655
2021-04-04,android,11353
2021-04-04,ios,9736
2021-04-11,android,9384
2021-04-11,ios,10755
2021-04-18,android,6439
2021-04-18,ios,11082
2021-04-25,android,6100
2021-04-25,ios,9986
2021-05-02,android,6052
2021-05-02,ios,9894
2021-05-09,android,5438
2021-05-09,ios,8166
2021-05-16,android,4657
2021-05-16,ios,6278
2021-05-23,android,3967
2021-05-23,ios,4908
2021-05-30,android,3950
2021-05-30,ios,5095
2021-06-06,android,3336
2021-06-06,ios,3466
2021-06-13,android,3318
2021-06-13,ios,3185
2021-06-20,android,3500
2021-06-20,ios,3200
2021-06-27,android,3630
2021-06-27,ios,3061
2021-07-04,android,3473
2021-07-04,ios,2632
2021-07-11,android,3923
2021-07-11,ios,3397
2021-07-18,android,3609
2021-07-18,ios,3135
2021-07-25,android,3629
2021-07-25,ios,3321
