date,os-se,count-nombre
2021-06-27,android,<20
2021-06-27,ios,<20
2021-07-04,android,<20
2021-07-04,ios,<20
2021-07-11,android,155656
2021-07-11,ios,927413
2021-07-18,android,404752
2021-07-18,ios,1657845
2021-07-25,android,498697
2021-07-25,ios,1765737
2021-08-01,android,496792
2021-08-01,ios,1834753
2021-08-08,android,506741
2021-08-08,ios,1495905
2021-08-15,android,526853
2021-08-15,ios,992329
2021-08-22,android,467342
2021-08-22,ios,1431851
2021-08-29,android,421068
2021-08-29,ios,1440491
2021-09-05,android,426107
2021-09-05,ios,1617387
2021-09-12,android,407583
2021-09-12,ios,1667403
2021-09-19,android,405736
2021-09-19,ios,1669591
2021-09-26,android,422598
2021-09-26,ios,1594644
2021-10-03,android,458751
2021-10-03,ios,1669932
2021-10-10,android,468491
2021-10-10,ios,1662536
2021-10-17,android,447328
2021-10-17,ios,1619723
2021-10-24,android,430561
2021-10-24,ios,1594064
2021-10-31,android,411500
2021-10-31,ios,1550383
2021-11-07,android,411001
2021-11-07,ios,1567496
2021-11-14,android,390548
2021-11-14,ios,1564315
2021-11-21,android,387386
2021-11-21,ios,1561386
2021-11-28,android,375076
2021-11-28,ios,1506422
2021-12-05,android,369916
2021-12-05,ios,1494563
2021-12-12,android,366653
2021-12-12,ios,1523958
2021-12-19,android,370257
2021-12-19,ios,1523789
