date,os-se,count-nombre
2021-07-18,android,<20
2021-07-18,ios,<20
2021-07-25,android,<20
2021-07-25,ios,<20
2021-08-01,android,<20
2021-08-01,ios,<20
2021-08-08,android,<20
2021-08-08,ios,<20
2021-08-15,android,<20
2021-08-15,ios,<20
2021-08-22,android,<20
2021-08-22,ios,29
2021-08-29,android,<20
2021-08-29,ios,<20
2021-09-05,android,<20
2021-09-05,ios,<20
2021-09-12,android,<20
2021-09-12,ios,<20
2021-09-19,android,<20
2021-09-19,ios,<20
2021-09-26,android,<20
2021-09-26,ios,<20
2021-10-03,android,<20
2021-10-03,ios,<20
2021-10-10,android,<20
2021-10-10,ios,<20
