date,count-nombre
2021-02-28,31370
2021-03-07,50264
2021-03-14,46640
2021-03-21,50119
2021-03-28,49487
2021-04-04,48702
2021-04-11,48755
2021-04-18,44947
2021-04-25,42292
2021-05-02,41524
2021-05-09,37119
2021-05-16,32612
2021-05-23,30615
2021-05-30,30498
2021-06-06,26908
2021-06-13,26603
2021-06-20,27390
2021-06-27,27588
2021-07-04,25434
2021-07-11,26819
2021-07-18,24619
2021-07-25,24550
2021-08-01,24577
2021-08-08,25870
2021-08-15,29113
2021-08-22,28972
2021-08-29,34672
2021-09-05,37671
2021-09-12,32174
2021-09-19,31165
2021-09-26,42028
2021-10-03,36488
2021-10-10,32330
2021-10-17,32291
2021-10-24,33563
2021-10-31,28819
2021-11-07,26649
2021-11-14,26159
2021-11-21,28538
2021-11-28,37240
2021-12-05,36949
2021-12-12,35020
2021-12-19,48276
2021-12-26,66335
2022-01-02,69036
2022-01-09,46720
2022-01-16,32672
2022-01-23,24765
2022-01-30,22558
2022-02-06,19627
2022-02-13,18131
2022-02-20,15407
