date,os-se,count-nombre
2021-02-28,android,12135
2021-02-28,ios,19155
2021-03-07,android,19195
2021-03-07,ios,30951
2021-03-14,android,17593
2021-03-14,ios,28951
2021-03-21,android,20298
2021-03-21,ios,29707
2021-03-28,android,21806
2021-03-28,ios,27534
2021-04-04,android,19863
2021-04-04,ios,28720
2021-04-11,android,19373
2021-04-11,ios,29258
2021-04-18,android,16084
2021-04-18,ios,28738
2021-04-25,android,14865
2021-04-25,ios,27309
2021-05-02,android,14402
2021-05-02,ios,26994
2021-05-09,android,12829
2021-05-09,ios,24169
2021-05-16,android,11134
2021-05-16,ios,21337
2021-05-23,android,10333
2021-05-23,ios,20118
2021-05-30,android,10027
2021-05-30,ios,20261
2021-06-06,android,8311
2021-06-06,ios,18329
