date,region,count
2021-02-28,AB,<20
2021-02-28,BC,<20
2021-02-28,MB,<20
2021-02-28,NB,<20
2021-02-28,NL,<20
2021-02-28,NT,<20
2021-02-28,NS,<20
2021-02-28,NU,<20
2021-02-28,ON,21
2021-02-28,PE,<20
2021-02-28,QC,27
2021-02-28,SK,<20
2021-02-28,YT,<20
2021-02-28,NPTS,31109
2021-03-07,AB,<20
2021-03-07,BC,<20
2021-03-07,MB,<20
2021-03-07,NB,<20
2021-03-07,NL,<20
2021-03-07,NT,<20
2021-03-07,NS,<20
2021-03-07,NU,<20
2021-03-07,ON,31
2021-03-07,PE,<20
2021-03-07,QC,43
2021-03-07,SK,<20
2021-03-07,YT,<20
2021-03-07,NPTS,49887
2021-03-14,AB,<20
2021-03-14,BC,<20
2021-03-14,MB,<20
2021-03-14,NB,<20
2021-03-14,NL,<20
2021-03-14,NT,<20
2021-03-14,NS,<20
2021-03-14,NU,<20
2021-03-14,ON,43
2021-03-14,PE,<20
2021-03-14,QC,51
2021-03-14,SK,<20
2021-03-14,YT,<20
2021-03-14,NPTS,46276
2021-03-21,AB,<20
2021-03-21,BC,<20
2021-03-21,MB,<20
2021-03-21,NB,<20
2021-03-21,NL,<20
2021-03-21,NT,<20
2021-03-21,NS,<20
2021-03-21,NU,<20
2021-03-21,ON,32
2021-03-21,PE,<20
2021-03-21,QC,38
2021-03-21,SK,<20
2021-03-21,YT,<20
2021-03-21,NPTS,49773
2021-03-28,AB,<20
2021-03-28,BC,<20
2021-03-28,MB,<20
2021-03-28,NB,<20
2021-03-28,NL,<20
2021-03-28,NT,<20
2021-03-28,NS,<20
2021-03-28,NU,<20
2021-03-28,ON,39
2021-03-28,PE,<20
2021-03-28,QC,30
2021-03-28,SK,<20
2021-03-28,YT,<20
2021-03-28,NPTS,49058
2021-04-04,AB,<20
2021-04-04,BC,<20
2021-04-04,MB,<20
2021-04-04,NB,<20
2021-04-04,NL,<20
2021-04-04,NT,<20
2021-04-04,NS,<20
2021-04-04,NU,<20
2021-04-04,ON,33
2021-04-04,PE,<20
2021-04-04,QC,39
2021-04-04,SK,<20
2021-04-04,YT,<20
2021-04-04,NPTS,48266
