date,region,appos,count
2021-02-28,AB,android,<20
2021-02-28,AB,ios,<20
2021-02-28,BC,android,<20
2021-02-28,BC,ios,<20
2021-02-28,MB,android,<20
2021-02-28,MB,ios,<20
2021-02-28,NB,android,<20
2021-02-28,NB,ios,<20
2021-02-28,NL,android,<20
2021-02-28,NL,ios,<20
2021-02-28,NT,android,<20
2021-02-28,NT,ios,<20
2021-02-28,NS,android,<20
2021-02-28,NS,ios,<20
2021-02-28,NU,android,<20
2021-02-28,NU,ios,<20
2021-02-28,ON,android,<20
2021-02-28,ON,ios,<20
2021-02-28,PE,android,<20
2021-02-28,PE,ios,<20
2021-02-28,QC,android,25
2021-02-28,QC,ios,<20
2021-02-28,SK,android,<20
2021-02-28,SK,ios,<20
2021-02-28,YT,android,<20
2021-02-28,YT,ios,<20
2021-02-28,NPTS,android,11967
2021-02-28,NPTS,ios,19108
2021-03-07,AB,android,<20
2021-03-07,AB,ios,<20
2021-03-07,BC,android,<20
2021-03-07,BC,ios,<20
2021-03-07,MB,android,<20
2021-03-07,MB,ios,<20
2021-03-07,NB,android,<20
2021-03-07,NB,ios,<20
2021-03-07,NL,android,<20
2021-03-07,NL,ios,<20
2021-03-07,NT,android,<20
2021-03-07,NT,ios,<20
2021-03-07,NS,android,<20
2021-03-07,NS,ios,<20
2021-03-07,NU,android,<20
2021-03-07,NU,ios,<20
2021-03-07,ON,android,23
2021-03-07,ON,ios,<20
2021-03-07,PE,android,<20
2021-03-07,PE,ios,<20
2021-03-07,QC,android,32
2021-03-07,QC,ios,<20
2021-03-07,SK,android,<20
2021-03-07,SK,ios,<20
2021-03-07,YT,android,<20
2021-03-07,YT,ios,<20
2021-03-07,NPTS,android,18954
2021-03-07,NPTS,ios,30883
2021-03-14,AB,android,<20
2021-03-14,AB,ios,<20
2021-03-14,BC,android,<20
2021-03-14,BC,ios,<20
2021-03-14,MB,android,<20
2021-03-14,MB,ios,<20
2021-03-14,NB,android,<20
2021-03-14,NB,ios,<20
2021-03-14,NL,android,<20
2021-03-14,NL,ios,<20
2021-03-14,NT,android,<20
2021-03-14,NT,ios,<20
2021-03-14,NS,android,<20
2021-03-14,NS,ios,<20
2021-03-14,NU,android,<20
2021-03-14,NU,ios,<20
2021-03-14,ON,android,32
2021-03-14,ON,ios,<20
2021-03-14,PE,android,<20
2021-03-14,PE,ios,<20
2021-03-14,QC,android,41
2021-03-14,QC,ios,<20
2021-03-14,SK,android,<20
2021-03-14,SK,ios,<20
2021-03-14,YT,android,<20
2021-03-14,YT,ios,<20
2021-03-14,NPTS,android,17345
2021-03-14,NPTS,ios,28881
2021-03-21,AB,android,<20
2021-03-21,AB,ios,<20
2021-03-21,BC,android,<20
2021-03-21,BC,ios,<20
2021-03-21,MB,android,<20
2021-03-21,MB,ios,<20
2021-03-21,NB,android,<20
2021-03-21,NB,ios,<20
2021-03-21,NL,android,<20
2021-03-21,NL,ios,<20
2021-03-21,NT,android,<20
2021-03-21,NT,ios,<20
2021-03-21,NS,android,<20
2021-03-21,NS,ios,<20
2021-03-21,NU,android,<20
2021-03-21,NU,ios,<20
2021-03-21,ON,android,25
2021-03-21,ON,ios,<20
2021-03-21,PE,android,<20
2021-03-21,PE,ios,<20
2021-03-21,QC,android,28
2021-03-21,QC,ios,<20
2021-03-21,SK,android,<20
2021-03-21,SK,ios,<20
2021-03-21,YT,android,<20
2021-03-21,YT,ios,<20
2021-03-21,NPTS,android,20061
2021-03-21,NPTS,ios,29647
